file_id	perseus_id	perseus_author	perseus_title	wikidata_work_id	wikidata_work_label	author_wikidata_id	author_impact_date	cliopatria_polity	genre	form_of_creative_work	instance_of	mentioned_polities_in_work	mentioned_polity_reasoning	mentioned_time_reference	mentioned_time_start_in_work	mentioned_time_end_in_work	mentioned_time_reasoning	main_language	editors	pub_date	n_words	n_characters	n_pages	file_path	selected_english_translation	historian	author_code	languages	wikidata_author_in_db	confidence	description	occupations	birthdate	deathdate	impact_date_precision
tlg0003.tlg001.1st1K-eng1	tlg0003.tlg001	Thucydides	The Peloponnesian War	Q639493	History of the Peloponnesian War	Q41683	-425		historiography		historical non-fiction work	Classical Athens; Classical Sparta and Peloponnesian League	Thucydides narrates the 27-year war between the Athenian and Peloponnesian alliances.	contemporary	-431	-411	Opens at the war's outbreak (-431) and ends mid-narrative at -411 where Thucydides stops; Thucydides served in the war.	English	Charles Foster Smith	1919-1923	243879	1414543	976	tlg0003/tlg001/tlg0003.tlg001.1st1K-eng1.xml	1	1	tlg0003	eng; grc	Thucydides	100	5th-century BC Athenian historian and general	historian; writer	-460	-394	decade
tlg0004.tlg001.perseus-eng2	tlg0004.tlg001	Diogenes Laertius	Lives of Eminent Philosophers	Q61632188	Lives of Eminent Philosophers 2.5. Socrates	Q59138	210				version, edition or translation	Greek philosophical tradition (pan-Hellenic)	The work documents the lives and doctrines of major Greek philosophical schools across various poleis.	past	-600	300	Spans from the Pre-Socratics (c. -600) to the early 3rd century CE, well before the author's likely floruit.	English	R. D. Hicks	1925	174147	998815	697	tlg0004/tlg001/tlg0004.tlg001.perseus-eng2.xml	1	1	tlg0004	eng; grc; lat; fre	Diogenes Laërtius	100	3rd-century Roman biographer of Greek philosophers	historian; philosophy historian; philosopher; biographer			
tlg0007.tlg054.perseus-eng2	tlg0007.tlg054	Plutarch	Demosthenes	Q12902599	Life of Demosthenes	Q41523	75	Roman Empire;(Roman Empire)	biography		literary work	Classical Athens	Documents the life of the Athenian orator Demosthenes and his opposition to Macedon.	past	-384	-322	Covers the lifetime of Demosthenes from his birth in -384 to his death in -322.	English	Bernadotte Perrin	1919	11145	63756	45	tlg0007/tlg054/tlg0007.tlg054.perseus-eng2.xml	1	1	tlg0007	eng; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg065.perseus-eng2	tlg0007.tlg065	Plutarch	Galba	Q12902602	Life of Galba	Q41523	75	Roman Empire;(Roman Empire)	biography		literary work	Roman Empire (Year of the Four Emperors)	Documents the brief reign of the emperor Galba during the Roman civil wars of 68-69 CE.	contemporary	68	69	Covers the events of the Year of the Four Emperors (68-69 CE), which occurred shortly before Plutarch's birth or during his infancy.	English	Bernadotte Perrin	1926	9806	55038	39	tlg0007/tlg065/tlg0007.tlg065.perseus-eng2.xml	1	1	tlg0007	eng; lat; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg062.perseus-eng2	tlg0007.tlg062	Plutarch	Comparison of Dion and Brutus	Q87778894	Comparison of Dion and Brutus	Q41523	75	Roman Empire;(Roman Empire)			literary work	Syracuse; Late Roman Republic	Compares Dion of Syracuse with Marcus Junius Brutus, the assassin of Caesar.	past	-408	-42	Spans from the birth of Dion (c. -408) to the death of Brutus in -42.	English	Bernadotte Perrin	1918	1405	8905	6	tlg0007/tlg062/tlg0007.tlg062.perseus-eng2.xml	1	1	tlg0007	eng; lat; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg009.perseus-eng2	tlg0007.tlg009	Plutarch	Comparison of Solon and Publicola	Q87778848	Comparison of Solon and Publicola	Q41523	75	Roman Empire;(Roman Empire)			literary work	Archaic Athens (Solonic); Early Roman Republic	Compares the Athenian lawgiver Solon with the early Roman consul Valerius Publicola.	past	-638	-503	Spans from Solon's birth (c. -638) to the death of Publicola (c. -503).	English	Bernadotte Perrin	1914	1421	8523	6	tlg0007/tlg009/tlg0007.tlg009.perseus-eng2.xml	1	1	tlg0007	eng; lat; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg036.perseus-eng2	tlg0007.tlg036	Plutarch	Lucullus	Q12902610	Life of Lucullus	Q41523	75	Roman Empire;(Roman Empire)	biography		literary work	Late Roman Republic	Documents the life of the Roman general Lucullus, focusing on his campaigns in the East.	past	-118	-57	Covers the lifetime of Lucullus from approximately -118 to -57.	English	Bernadotte Perrin	1914	20146	115199	81	tlg0007/tlg036/tlg0007.tlg036.perseus-eng2.xml	1	1	tlg0007	eng; lat; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg038.perseus-eng2	tlg0007.tlg038	Plutarch	Nicias	Q100449983	Comparison of Crassus with Nicias	Q41523	75	Roman Empire;(Roman Empire)			version, edition or translation	Classical Athens	Documents the life of the Athenian politician and general Nicias during the Peloponnesian War.	past	-470	-413	Covers the lifetime of Nicias from approximately -470 to his execution in Sicily in -413.	English	Bernadotte Perrin	1916	14693	83513	59	tlg0007/tlg038/tlg0007.tlg038.perseus-eng2.xml	1	1	tlg0007	eng; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg007.perseus-eng2	tlg0007.tlg007	Plutarch	Solon	Q87208306	Life of Solon	Q41523	75	Roman Empire;(Roman Empire)	biography		literary work	Archaic Athens (Solonic)	Documents the life and legislative reforms of the Athenian statesman Solon.	past	-638	-558	Covers the lifetime of Solon from approximately -638 to -558.	English	Bernadotte Perrin	1914	13241	75260	53	tlg0007/tlg007/tlg0007.tlg007.perseus-eng2.xml	1	1	tlg0007	eng; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg063.perseus-eng2	tlg0007.tlg063	Plutarch	Aratus	Q87209824	Life of Aratus	Q41523	75	Roman Empire;(Roman Empire)	biography		literary work	Achaean League; Sicyon	Documents the life of Aratus of Sicyon, a leader of the Achaean League.	past	-271	-213	Covers the lifetime of Aratus from -271 to -213.	English	Bernadotte Perrin	1926	17926	101812	72	tlg0007/tlg063/tlg0007.tlg063.perseus-eng2.xml	1	1	tlg0007	eng	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
