work_name,author,impact_year,polity,criteria,sampled_for,is_contemporary,verbatim_type,criterion_label,in_group,out_group,resource,resource_std,speaker,verbatim,matched_keywords,extraction_method,extraction_cost_usd,prompt_tokens,completion_tokens,rule_uid,file_id,rule_category,reasoning,group_generality,generality_reasoning,confidence,factuality,resource_materiality,materiality_reasoning,resource_generality,resource_generality_reasoning,resource_persistence,persistence_reasoning,group_immutability,immutability_reasoning,tautological,tautology_reasoning
Against Timarchus,Aeschines,-354,,Age,Age,1,fact,Adult exclusion from boy competitions,adult men,,Right to enter youth athletic contests,,LESS,[§12] Law [...] The superintendents of the gymnasia shall under no conditions allow any one who has reached the age of manhood to enter the contests of Hermes together with the boys.,Adult exclusion from boy competitions,gemini_v19_batch3,,,,tlg0026.tlg001.perseus-eng2#1,tlg0026.tlg001.perseus-eng2,,The law explicitly forbids adult men from participating in athletic contests designated for boys to prevent inappropriate contact.,4,The group 'adult men' is broad; the author describes a contemporary law regarding athletic contests.,10.0,4,3,Right to enter contests is access to a social practice with tangible outcomes.,2,Right to enter youth athletic contests is narrowly scoped to a particular institution and event.,3,Eligibility for youth contests is tied to the life stage of not having reached manhood.,3,"Adult men are defined by age, which changes over time, but is a durable social identity.",0,"Eligibility for athletic contests is a legal/social rule, not inherent to being an adult man."
Against Timarchus,Aeschines,-354,,Age,Age,1,fact,Choregus minimum age requirement,men under forty,,Eligibility for the choregia,,LESS,"[§11] He prescribes, namely, that the choregus, a man who is going to spend his own money for your entertainment, shall be a man of more than forty years of age when he performs this service, in order that he may have reached the most temperate time of life before he comes into contact with your children.",Choregus minimum age requirement,gemini_v19_batch3,,,,tlg0026.tlg001.perseus-eng2#2,tlg0026.tlg001.perseus-eng2,,The law restricts the office of choregus to men over forty to ensure the moral safety of children in the chorus.,4,The group 'men under forty' is broad; the author describes a contemporary law regarding the choregia.,10.0,4,3,Eligibility for a public office is access to a social role with tangible outcomes.,2,Eligibility for the choregia is narrowly scoped to a specific civic award/role.,3,"Eligibility for the choregia is tied to a specific age, a life stage.",3,"Age is a life stage, changeable over time, but a durable social identity.",0,"Eligibility for the choregia is a legal/social rule, not inherent to being a man under forty."
On the Murder of Herodes,Antiphon,-500,,Age,Age,1,opinion,Age-based legal disability,Young people,,Right to defend oneself,,LESS,[§79] my father is too old to help me: and I am far too young to be able to avenge myself as I should. [§80] You must help me: you must refuse to reach those who make a trade of prosecution to become more powerful than yourselves.,Age-based legal disability,gemini_v19_batch3,,,,tlg0028.tlg005.perseus-eng2#14,tlg0028.tlg005.perseus-eng2,,"The speaker argues that his youth (and his father's extreme age) creates a deficit in his ability to use the legal system for 'vengeance' or defense, suggesting social and potentially legal disadvantages for the very young in adversarial proceedings.",5,Canonical societal group; the author describes a contemporary social and legal disadvantage.,7.0,4,3,The right to defend oneself is access to a social practice with tangible outcomes.,3,The right to defend oneself is a specific but broadly applicable legal protection.,3,"The ability to defend oneself is tied to life stages (youth, old age).",5,"Age is a strictly immutable, biologically fixed trait.",0,"Age-based legal disability is a specific legal or social limitation, not inherent in the definition of 'young people'."
The Shepherd of Hermas,Hermas,150,,Age,Age,1,fact,Parental obligation to correct children,Parents,,Right to exercise moral correction,,MORE,"[§17] But it is not for this that God is angry with you, but in order that you should convert your family, which has sinned against the Lord, and against you, their parents. But you are indulgent, and do not correct your family, but have allowed them to become corrupt. ... Do not cease, then, correcting your children, for I know that if they repent with all their heart, they will be inscribed in the books of life with the saints.",Parental obligation to correct children,gemini_v19_batch3,,,,tlg1419.tlg001.perseus-eng1#3,tlg1419.tlg001.perseus-eng1,,The text establishes a social and religious rule where parents are responsible for the moral conduct of their children and describes the failure to provide 'correction' as a cause for divine anger.,4,Broad societal group; the author describes a contemporary parental obligation.,9.0,3,3,Exercising moral correction is a social role with tangible outcomes on family behavior.,4,Right to exercise moral correction is a broad category of parental authority.,3,Moral correction is a resource exercised during the period of raising children.,3,"Parental status is a durable social identity, though not strictly immutable.",0,Parents are not defined by exercising moral correction; this is a specific parental duty.
The Shepherd of Hermas,Hermas,150,,Age,Age,1,fact,Seating priority for elders,Old people,,Right to sit first,,MORE,"[§50] I said to her: Lady, let the elders sit first. She said: Do what I tell you, and sit down.",Seating priority for elders,gemini_v19_batch3,,,,tlg1419.tlg001.perseus-eng1#17,tlg1419.tlg001.perseus-eng1,,Hermas's invitation for the 'elders' to sit first reflects a standard social norm of age-based precedence which he attempts to follow even in the vision.,5,The group 'Old people' is a canonical societal group; the author describes a contemporary social norm.,7.0,3,2,Seating priority is a ceremonial honor with weak material payoff.,3,Specific but broadly applicable social precedence.,2,"The right to sit first is for a specific event or assembly, a brief episode.",5,"Old people are defined by age, which is a strictly immutable biological trait.",0,"The right to sit first is a social custom, not inherent in the definition of 'old people'."
The Clouds,Aristophanes,-409,,Citizenship,Citizenship,1,fact,Citizen right to legal summons,Citizens,,Right to summon debtors to court,,MORE,"[§45] Pasias. [...] but will summon Strepsiades. [...] I will depart; and be assured of this, that I will make deposit against you, or may I live no longer!",Citizen right to legal summons,gemini_v19_batch3,,,,tlg0019.tlg003.perseus-eng2#47,tlg0019.tlg003.perseus-eng2,,"Pasias, acting as a creditor, utilizes the legal mechanism of summoning a fellow-tribesman (Strepsiades) and making a financial deposit to initiate a lawsuit, a right reserved for citizens in the Athenian legal system.",5,The group 'Citizens' is a canonical societal group; the author describes contemporary legal rights.,9.0,3,4,The right to summon debtors to court is a concrete legal right with material effect.,4,Right to summon debtors to court is a major recognizable right spanning many situations.,4,The right to summon debtors to court is a long-term civic right for citizens.,4,"Citizenship is a legal status, very hard to change (requires naturalisation or exile).",0,"The right to summon debtors to court is a legal right, not inherent to being a citizen."
On the False Embassy,Demosthenes,-348,,Citizenship,Citizenship,1,fact,Secret ballot protection,Citizens,,Protection from public scrutiny of votes,,MORE,"[§234] [239] The legislator wisely discerned herein the essence of secret voting, that no suppliant shall know the name of the juror who has granted his prayer, but the gods and the divine spirit will know him who has cast an unrighteous vote.",Secret ballot protection,gemini_v19_batch3,,,,tlg0014.tlg019.perseus-eng2#38,tlg0014.tlg019.perseus-eng2,,The text describes the legal mechanism of the secret ballot which ensures that the specific choice of a juror/citizen remains unknown to the parties involved in a trial.,5,The group 'citizens' is a canonical societal group; the author describes a contemporary legal mechanism.,10.0,4,4,Protection from public scrutiny of votes is a concrete legal right with direct material effect.,3,Protection from public scrutiny of votes is a specific but broadly applicable legal protection.,4,"Protection from scrutiny of votes is a long-term legal right, applicable to all voting instances.",4,"Citizenship is a legal status, very hard to change, requiring naturalisation or exile.",0,"Protection from public scrutiny of votes is a specific legal right, not inherent in the definition of 'citizens'."
,New Testament,100,,Citizenship,Citizenship,1,fact,Roman protection from summary punishment,Roman Citizens,,Protection from public beating without trial,,MORE,"[§611] But Paul said to them, 'They have beaten us publicly, without a trial, men who are Romans, and have cast us into prison! Do they now release us secretly? No, most assuredly, but let them come themselves and bring us out!' [§612] The sergeants reported these words to the magistrates, and they were afraid when they heard that they were Romans.",Roman protection from summary punishment,gemini_v19_batch3,,,,tlg0031.tlg005.perseus-eng2#41,tlg0031.tlg005.perseus-eng2,,Paul invokes his status as a Roman citizen to highlight the illegality of his public beating and imprisonment without a trial. The fear of the magistrates confirms that Roman law provided specific protections against such treatment for citizens.,4,Broad societal group; the rule describes a contemporary legal protection for Roman citizens.,10.0,3,4,Protection from public beating without trial is a concrete legal right with direct material effect.,5,Protection from public beating without trial is a fundamental aspect of bodily integrity and legal standing.,4,"Protection from public beating is a long-term legal right of Roman citizens, revocable only by loss of citizenship.",4,"Roman citizenship is a legal status, very hard to change (requires naturalization or exile).",0,Being a Roman citizen does not inherently mean one is protected from public beating; this is a specific legal right.
,New Testament,100,,Citizenship,Citizenship,1,fact,Roman immunity from binding,Roman citizens,,Protection from being bound,,MORE,"[§830] Immediately those who were about to examine him departed from him, and the commanding officer also was afraid when he realized that he was a Roman, because he had bound him.",Roman immunity from binding,gemini_v19_batch3,,,,tlg0031.tlg005.perseus-eng2#57,tlg0031.tlg005.perseus-eng2,,The commanding officer's fear stems from the realization that even binding a Roman citizen for the purpose of examination (torture) was a violation of their rights and a punishable offense for the officer.,5,Canonical societal group; the rule describes a contemporary legal protection.,9.0,3,5,"Protection from being bound is a bodily entitlement, preventing physical restraint.",3,Protection from being bound is a specific but broadly applicable legal protection.,5,Protection from being bound is a lifelong right for Roman citizens.,4,"Roman citizenship is a legal status, very hard to change, often acquired by birth.",0,"Protection from being bound is a specific legal right, not inherent in the definition of 'Roman citizens'."
,New Testament,100,,Citizenship,Citizenship,1,fact,Citizen assembly dispute resolution,Citizens,,Right to settle matters in assembly,,MORE,"[§718] But if you seek anything about other matters, it will be settled in the regular assembly.",Citizen assembly dispute resolution,gemini_v19_batch3,,,,tlg0031.tlg005.perseus-eng2#47,tlg0031.tlg005.perseus-eng2,,"The text specifies that for general matters outside of private litigation, the 'regular assembly' (the ekklesia of citizens) is the proper legal venue for resolution.",5,Canonical societal group; the rule describes a contemporary legal process.,9.0,3,3,Access to assembly for dispute resolution produces tangible outcomes for citizens.,3,Right to settle matters in assembly is specific but recurring for a community.,3,The right to settle matters in assembly is tied to recurring assembly cycles.,4,"Citizenship is a legal status, often acquired by birth, and very hard to change.",0,"The right to settle matters in assembly is a specific legal function, not merely a restatement of being a citizen."
