rule_uid	file_id	perseus_author	perseus_title	year	period	rule	group	group_meta	criteria	resource	resource_meta	directionality	verbatim	criterion	group_matched	group_side
tlg0007.tlg118.perseus-eng3::0	tlg0007.tlg118.perseus-eng3	Plutarch	Precepts of Statecraft	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Greek exclusion from large-scale statecraft	Greeks	Greeks	['Ethnicity']	Access to high-level imperial governance	Political power	LESS	['The exercise of statecraft on a large scale was virtually limited to Romans. The ancient Greek city-states retained, however, their local self-government, subject to the supervision of the proconsul; they could enter into agreements with each other, and could send envoys to Rome if occasion arose. A man could, therefore, find useful and honourable occupation in public life, as Plutarch himself did.']	Ethnicity	Greeks	in-group (privileged)
tlg0007.tlg118.perseus-eng3::1	tlg0007.tlg118.perseus-eng3	Plutarch	Precepts of Statecraft	75	Hellenistic & Early Roman (165 BCE – 105 CE)	City-state local self-government	Citizens of Greek city-states	Citizens;Greeks	['Citizenship']	Right to local self-government	Political power	MORE	['The ancient Greek city-states retained, however, their local self-government, subject to the supervision of the proconsul; they could enter into agreements with each other, and could send envoys to Rome if occasion arose.']	Citizenship	Citizens	in-group (privileged)
tlg0007.tlg118.perseus-eng3::2	tlg0007.tlg118.perseus-eng3	Plutarch	Precepts of Statecraft	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Noble access to magistracies	Nobles	Nobles	['Nobility']	Eligibility for the archonship	Eligibility for public office	MORE	['Therefore, seeing that the desire has been aroused in you a Speaker of speeches to be, and also a doer of actions in your native State, as befits your noble birth, since you have not time to gain an understanding of a philosopher’s life in the open among affairs of State and public conflicts or to be a spectator of examples worked out in deed, not merely in word, and since you ask for some precepts of statecraft, I think it is not at all fitting that I should refuse']	Nobility	Nobles	in-group (privileged)
tlg0007.tlg118.perseus-eng3::3	tlg0007.tlg118.perseus-eng3	Plutarch	Precepts of Statecraft	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Citizen assembly voting	Citizens	Citizens	['Citizenship']	Right to vote in the Ekklesia	Right to vote in the Ekklesia	MORE	['Take care, Pericles; you are ruling free men, you are ruling Greeks, Athenian citizens, but you must also say to yourself: You who rule are a subject, ruling a State controlled by proconsuls, the agents of Caesar; these are not the spearmen of the plain, nor is this ancient Sardis, nor the famed Lydian power. You should arrange your cloak more carefully and from the office of the generals keep your eyes upon the orators’ platform, and not have great pride or confidence in your crown, since you see the boots of Roman soldiers just above your head.']	Citizenship	Citizens	in-group (privileged)
tlg0007.tlg118.perseus-eng3::5	tlg0007.tlg118.perseus-eng3	Plutarch	Precepts of Statecraft	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Proconsular annulment of local power	Citizens	Citizens	['Citizenship']	Legislative finality	Political power	LESS	['For what dominion, what glory is there for those who are victorious? What sort of power is it which a small edict of a proconsul may annul or transfer to another man and which, even if it last, has nothing in it seriously worth while?']	Citizenship	Citizens	in-group (privileged)
tlg0007.tlg119.perseus-eng3::0	tlg0007.tlg119.perseus-eng3	Plutarch	On Monarchy, Democracy, and Oligrachy	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Granting of citizenship by state vote	Foreigners	Foreigners	['Citizenship']	Right to hold citizenship	Right to citizenship	MORE	['Now the word politeia (citizenship) is defined also as having a share of the rights in a State, as we say the Megarians voted Alexander the politeia (citizenship); and when he made fun of their eagerness, they told him that up to that time they had conferred citizenship upon Heracles only and now upon himself.']	Citizenship	Foreigners	out-group (deprived)
tlg0007.tlg119.perseus-eng3::2	tlg0007.tlg119.perseus-eng3	Plutarch	On Monarchy, Democracy, and Oligrachy	75	Hellenistic & Early Roman (165 BCE – 105 CE)	Oligarchic equal power sharing	Nobles	Nobles	['Nobility']	Right to equal political power	Political power	MORE	['in the same way the real statesman will manage successfully the oligarchy that Lycurgus established at Sparta, adapting to himself the colleagues who have equal power and honour and quietly forcing them to do his will']	Nobility	Nobles	in-group (privileged)
tlg0014.tlg059.perseus-eng2::0	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	-348	Late Classical (354–165 BCE)	Citizen right to propose legislation	Citizens	Citizens	['Citizenship']	Right to bring bills to the senate	Political power	MORE	['Apollodorus, being one of its members, brought forward in the senate a bill, and carried it as a preliminary decree to the assembly, proposing that the people should decide whether the funds remaining over from the state’s expenditure should be used for military purposes or for public spectacles.']	Citizenship	Citizens	in-group (privileged)
tlg0014.tlg059.perseus-eng2::1	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	-348	Late Classical (354–165 BCE)	Liturgy and war tax obligation	The wealthy	The wealthy	['Wealth / Properties']	Exemption from state military financing	Exemption from compulsory public financing	LESS	['For the laws prescribed that, when there was war, the funds remaining over from state expenditures should be devoted to military purposes, and Apollodorus believed that the people ought to have power to do what they pleased with their own.']	Wealth / Properties	The wealthy	in-group (privileged)
tlg0014.tlg059.perseus-eng2::3	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	-348	Late Classical (354–165 BCE)	Illegal marriage of aliens	Aliens	Foreigners	['Citizenship', 'Gender']	Right to marry Athenian citizens	Right to marry	LESS	['If an alien shall live as husband with an Athenian woman in any way or manner whatsoever, he may be indicted before the Thesmothetae by anyone who chooses to do so from among the Athenians having the right to bring charges. And if he be convicted, he shall be sold, himself and his property, and the third part shall belong to the one securing his conviction. The same principle shall hold also if an alien woman shall live as wife with an Athenian, and the Athenian who lives as husband with the alien woman so convicted shall be fined one thousand drachmae.']	Citizenship	Foreigners	out-group (deprived)
