rule_uid	file_id	perseus_id	criteria	rule	group	resource	directionality	verbatim	reasoning	confidence	rule_polity	rule_polity_reasoning	rule_time_reference	rule_time_reasoning	contemporary	factuality	factuality_work	is_historical	group_specificity	group_immutability	immutability_reasoning	resource_materiality	materiality_reasoning	resource_generality	resource_generality_reasoning	resource_persistence	persistence_reasoning	tautological	tautology_reasoning	secondary_reasoning	author	wikidata_id	wikidata_name	cliopatria_polity	impact_year	impact_date	impact_date_precision	birthdate	deathdate	occupations	description	work_title	perseus_title	wikidata_work_id	wikidata_work_label	period	genre	form_of_creative_work	instance_of	main_language	editors	pub_date	n_words	n_characters	n_pages
tlg0010.tlg019.perseus-eng2#0	tlg0010.tlg019.perseus-eng2	tlg0010.tlg019	Wealth / Properties	Liturgy obligation for the wealthy	Wealthy citizens	Exemption from compulsory public financing	LESS	[§4] Then when my career was near its close, having been challenged to an exchange of property on the question of a trierarchy, and subjected to a trial on that issue... [§5] they imposed the trierarchy upon me. Now, I bore that expense in such a manner as is becoming to those who are neither too much upset by such things nor altogether reckless.	Isocrates describes being legally compelled to fund a trierarchy (filling the role of a trierarch) based on his perceived wealth. This reflects the Athenian liturgical system where the wealthiest citizens were required to fund state services.	10.0	Classical Athens	The rule describes the 'exchange of property' (antidosis) and 'trierarchy', specific institutions of Classical Athens.	contemporary	Isocrates is describing a personal experience with a contemporary Athenian legal and financial institution.	1	1	4	0	4	3	Wealth bracket is changeable with effort, but forms a durable social identity.	4	Exemption from compulsory public financing is a concrete legal right with direct material effect.	4	Exemption from compulsory public financing is a broad category of financial relief.	3	Liturgy obligations were recurring, often annual or tied to specific events, but not lifelong.	0	Exemption from public financing is a specific legal right, not inherent in being wealthy.	The group is broad but specific (wealthy citizens); the author describes a contemporary legal obligation.	Isocrates	Q221182	Isocrates	Peloponnesian League	-400	-400	year	-435.0	-337.0	orator; writer	Greek rhetorician and writer (436–338 BC)	Antidosis	Antidosis	Q4774689	Antidosis	Classical (500–360 BCE)			oration, literary work	English	George Norlin	1928	29306	162891	117
tlg0010.tlg019.perseus-eng2#1	tlg0010.tlg019.perseus-eng2	tlg0010.tlg019	Citizenship	Defendant right of defense	Citizens	Right to a legal defense	MORE	[§17] I beg you, then, neither to credit nor to discredit what has been said to you until you have heard to the end what I also have to say, bearing it in mind that there would have been no need of granting to the accused the right of making a defense, had it been possible to reach a just verdict from the arguments of the accuser.	The text explicitly mentions the established legal right for an accused person to present a defense in court to ensure a just verdict.	9.0	Classical Athens	The verbatim refers to the legal system and the right of the accused to make a defense, which was a feature of Athenian courts.	contemporary	Isocrates is addressing a contemporary Athenian audience about their legal procedures and norms.	1	1	4	0	5	4	Citizenship is a legal status, very hard to change.	4	The right to a legal defense is a concrete legal right with direct material effect on one's freedom.	5	The right to a legal defense is a foundational aspect of legal standing.	2	The right to a legal defense applies to a specific trial or legal procedure.	0	The right to a legal defense is a procedural right, not part of the definition of 'citizen'.	The group is a canonical societal category; the author describes a contemporary legal right.	Isocrates	Q221182	Isocrates	Peloponnesian League	-400	-400	year	-435.0	-337.0	orator; writer	Greek rhetorician and writer (436–338 BC)	Antidosis	Antidosis	Q4774689	Antidosis	Classical (500–360 BCE)			oration, literary work	English	George Norlin	1928	29306	162891	117
tlg0010.tlg019.perseus-eng2#2	tlg0010.tlg019.perseus-eng2	tlg0010.tlg019	Citizenship	Impartial jury hearing	Citizens	Protection from biased adjudication	MORE	[§21] while we take our solemn oath at the beginning of each year that we will hear impartially both accusers and accused, [§22] we depart so far from this in practice, that when the accuser makes his charges we give ear to whatever he may say; but when the accused endeavors to refute them, we sometimes do not endure even to hear his voice.	Isocrates refers to the Dicastic Oath taken by citizens, which creates a formal rule that both parties in a trial must be heard with equal goodwill, even if he complains that the practice often fails the rule.	9.0	Classical Athens	The rule mentions jurors taking an oath at the beginning of each year, a practice specific to the Athenian legal system.	contemporary	Isocrates is critiquing the current practice of Athenian jurors, making it contemporary to his time.	1	1	4	0	5	4	Citizenship is a legal status, very hard to change.	4	Protection from biased adjudication is a concrete legal right affecting trial outcomes.	3	Protection from biased adjudication is a specific but recurring legal protection.	2	The right to an impartial hearing applies to the duration of a specific trial.	0	Protection from biased adjudication is a legal principle, not inherent in being a 'citizen'.	The group is a canonical societal category; the author describes a contemporary legal norm.	Isocrates	Q221182	Isocrates	Peloponnesian League	-400	-400	year	-435.0	-337.0	orator; writer	Greek rhetorician and writer (436–338 BC)	Antidosis	Antidosis	Q4774689	Antidosis	Classical (500–360 BCE)			oration, literary work	English	George Norlin	1928	29306	162891	117
tlg0010.tlg019.perseus-eng2#3	tlg0010.tlg019.perseus-eng2	tlg0010.tlg019	Citizenship	Protection from summary execution	Citizens	Right to a trial	MORE	[§22] Those states in which an occasional citizen is put to death without a trial we condemn as unfit to live in, yet are blind to the fact that we are in the same case when we do not hear with equal good will both sides of the contest.	The text identifies the right to a trial before execution as a defining rule of the Athenian state, contrasting it with states where citizens are put to death summarily.	8.0	Classical Athens	The rule discusses the condemnation of states where citizens are put to death without trial, implying a standard of justice relevant to Athenian legal thought.	contemporary	Isocrates is using a general principle to critique a contemporary failing in the Athenian legal system.	1	1	4	0	5	4	Citizenship is a legal status, very hard to change.	5	The right to a trial protects bodily entitlement (life) from summary execution.	5	The right to a trial is a foundational aspect of legal standing and bodily integrity.	2	The right to a trial is a protection for a specific accusation, not a continuous state.	0	The right to a trial before execution is a legal protection, not part of the definition of 'citizen'.	The group is a canonical societal category; the author describes a contemporary legal protection.	Isocrates	Q221182	Isocrates	Peloponnesian League	-400	-400	year	-435.0	-337.0	orator; writer	Greek rhetorician and writer (436–338 BC)	Antidosis	Antidosis	Q4774689	Antidosis	Classical (500–360 BCE)			oration, literary work	English	George Norlin	1928	29306	162891	117
tlg0010.tlg019.perseus-eng2#4	tlg0010.tlg019.perseus-eng2	tlg0010.tlg019	Wealth / Properties	Exchange of property (Antidosis)	Wealthy citizens	Right to transfer financial burdens	MORE	[§4] having been challenged to an exchange of property on the question of a trierarchy, and subjected to a trial on that issue... [§8] I were to suppose that a sycophant had brought an indictment and was threatening me with trouble and that he was using the calumnies which had been urged against me in the suit about the exchange of property.	The 'Antidosis' (exchange of property) was a legal mechanism where a wealthy citizen nominated for a liturgy could challenge another deemed wealthier to either take over the burden or exchange all their possessions.	10.0	Classical Athens	The rule explicitly mentions 'exchange of property' (antidosis) and 'trierarchy', which were specific Athenian legal and financial practices.	contemporary	Isocrates is recounting a personal legal challenge related to these contemporary Athenian institutions.	1	1	4	0	4	3	Wealth bracket is changeable with effort, but forms a durable social identity.	4	The right to transfer financial burdens (Antidosis) is a concrete legal right with direct material effect.	2	The right to transfer financial burdens via Antidosis is tied to a specific legal procedure.	2	The right to transfer financial burdens (Antidosis) is a specific legal procedure.	0	The right to transfer financial burdens is a specific legal mechanism, not inherent in being wealthy.	The group is broad but specific (wealthy citizens); the author describes a contemporary legal mechanism.	Isocrates	Q221182	Isocrates	Peloponnesian League	-400	-400	year	-435.0	-337.0	orator; writer	Greek rhetorician and writer (436–338 BC)	Antidosis	Antidosis	Q4774689	Antidosis	Classical (500–360 BCE)			oration, literary work	English	George Norlin	1928	29306	162891	117
tlg0010.tlg019.perseus-eng2#5	tlg0010.tlg019.perseus-eng2	tlg0010.tlg019	Citizenship	Citizen protection from unproven charges	Citizens	Protection from charges without proof	MORE	[§32] Let me ask you, however, not to pay any attention to what you have heard about me in the past from my would-be slanderers and calumniators, not to credit charges which have been made without proof or trial, and not to be influenced by the suspicions which have been maliciously implanted in you by my enemies.	The author appeals to the legal norm that citizens should not be convicted based on slander or unproven suspicion, but rather on evidence presented during a formal trial.	9.0	Classical Athens	The rule addresses the audience directly about legal charges and trials, reflecting the judicial practices of Classical Athens.	contemporary	Isocrates is speaking to a contemporary Athenian jury about how they should evaluate accusations.	1	0	4	0	5	4	Citizenship is a legal status, very hard to change.	4	Protection from unproven charges is a concrete legal right with direct material effect on one's standing.	3	Protection from charges without proof is a specific but broadly applicable legal protection.	2	Protection from unproven charges applies to specific accusations and legal proceedings.	0	Protection from unproven charges is a legal standard, not inherent in being a 'citizen'.	The group is a canonical societal category; the author describes a contemporary legal norm.	Isocrates	Q221182	Isocrates	Peloponnesian League	-400	-400	year	-435.0	-337.0	orator; writer	Greek rhetorician and writer (436–338 BC)	Antidosis	Antidosis	Q4774689	Antidosis	Classical (500–360 BCE)			oration, literary work	English	George Norlin	1928	29306	162891	117
tlg0010.tlg019.perseus-eng2#6	tlg0010.tlg019.perseus-eng2	tlg0010.tlg019	Citizenship	Citizen right to legal reparations	Citizens	Right to obtain legal reparation	MORE	[§34] ...especially since all they have to do is to testify to the wrongs I have done them in order to obtain the fullest reparation.	The text implies that if a citizen can prove they have been wronged, the Athenian legal system provides a mechanism for them to receive full reparation.	9.0	Classical Athens	The rule refers to obtaining 'fullest reparation' through testimony, indicating a legal system with mechanisms for redress, characteristic of Classical Athens.	contemporary	Isocrates is discussing the legal rights and processes available to citizens in his contemporary Athenian society.	1	1	4	0	5	4	Citizenship is a legal status, very hard to change.	4	The right to obtain legal reparation is a concrete legal right with direct material effect.	3	The right to obtain legal reparation is a specific but broadly applicable legal protection.	2	The right to legal reparation is for a specific wrong and its resolution.	0	The right to legal reparation is a legal entitlement, not inherent in being a 'citizen'.	The group is a canonical societal category; the author describes a contemporary legal right.	Isocrates	Q221182	Isocrates	Peloponnesian League	-400	-400	year	-435.0	-337.0	orator; writer	Greek rhetorician and writer (436–338 BC)	Antidosis	Antidosis	Q4774689	Antidosis	Classical (500–360 BCE)			oration, literary work	English	George Norlin	1928	29306	162891	117
tlg0010.tlg019.perseus-eng2#7	tlg0010.tlg019.perseus-eng2	tlg0010.tlg019	Occupation	Forensic speechwriter exclusion from pupils	Forensic speechwriters	Right to have pupils	LESS	[§41] Nay, everyone is aware of this also, that there is a superabundance of men who produce speeches for litigants in the courts. Nevertheless you will not find that any one of them, numerous as they are, has ever been thought worthy to have pupils.	Isocrates distinguishes between his own profession (philosophy/political oratory) and that of forensic speechwriters, noting that the latter are socially or professionally barred from the prestige of having students.	8.0	Classical Athens	The rule distinguishes between forensic speechwriters and those worthy of pupils, reflecting the educational and professional landscape of Classical Athens.	contemporary	Isocrates is commenting on the contemporary status and reputation of different types of orators in Athens.	1	1	4	0	3	3	Occupation/profession acquired through training, changeable with effort.	3	Access to pupils for forensic speechwriters affects their professional role and potential income.	2	The right to have pupils is tied to a particular institution/profession.	4	The inability to have pupils is a long-term professional restriction, potentially career-long.	0	The right to have pupils is a professional status, not inherent in being a 'forensic speechwriter'.	The group is a specific profession; the author describes a contemporary social exclusion.	Isocrates	Q221182	Isocrates	Peloponnesian League	-400	-400	year	-435.0	-337.0	orator; writer	Greek rhetorician and writer (436–338 BC)	Antidosis	Antidosis	Q4774689	Antidosis	Classical (500–360 BCE)			oration, literary work	English	George Norlin	1928	29306	162891	117
tlg0010.tlg019.perseus-eng2#8	tlg0010.tlg019.perseus-eng2	tlg0010.tlg019	Occupation	Philosophical orator prestige	Philosophical orators	Social esteem and honor	MORE	[§48] ...that while those who are thought to be adept in court procedure are tolerated only for the day when they are engaged in the trial, the devotees of philosophy are honored and held in high esteem in every society and at all times.	The author contrasts the social standing of those who practice 'philosophy' (higher eloquence) against those who practice forensic oratory, claiming the former access continuous social honor.	8.0	Classical Athens	The rule contrasts the esteem for 'court procedure' with 'philosophy', reflecting the intellectual and social values prevalent in Classical Athens.	contemporary	Isocrates is arguing for the superior social standing of philosophical orators in his contemporary society.	1	0	4	0	3	3	Occupation/profession acquired through training, changeable with effort.	2	Social esteem and honor are primarily symbolic, with weak material payoff.	4	Social esteem and honor is a broad category of social recognition.	4	Social esteem and honor for philosophical orators are long-term, lasting across their career/life.	0	Social esteem is a cultural outcome, not inherent in the definition of 'philosophical orator'.	The group is a specific profession; the author describes a contemporary social hierarchy.	Isocrates	Q221182	Isocrates	Peloponnesian League	-400	-400	year	-435.0	-337.0	orator; writer	Greek rhetorician and writer (436–338 BC)	Antidosis	Antidosis	Q4774689	Antidosis	Classical (500–360 BCE)			oration, literary work	English	George Norlin	1928	29306	162891	117
tlg0010.tlg019.perseus-eng2#9	tlg0010.tlg019.perseus-eng2	tlg0010.tlg019	Age	Elderly exemption from prolonged speaking	Old people	Exemption from continuous public speaking	MORE	[§59] Now I thought that I should be able to go through these passages myself, but I find that my age hampers me and causes me to give out easily. So then, in order that I may not break down utterly while there are still many things which I must say, let the clerk begin at the place marked and read the passage.	The author cites his advanced age as a reason to have a clerk read his prepared texts, indicating a social or procedural allowance for the elderly to use assistance due to physical frailty.	9.0	Classical Athens	The rule describes a practical accommodation for an elderly speaker in a public setting, consistent with Athenian assembly or court practices.	contemporary	Isocrates is describing his own experience and the practicalities of public speaking in his contemporary Athenian context.	1	1	4	0	5	5	Age is a biologically fixed trait, strictly immutable.	3	Exemption from continuous public speaking affects participation in a public practice.	2	Exemption from continuous public speaking is tied to a specific setting and condition (age).	3	Exemption due to age is tied to a life stage (old age) and lasts for that period.	0	Exemption from prolonged speaking is a practical accommodation, not inherent in being 'old'.	The group is a canonical societal category; the author describes a contemporary social allowance.	Isocrates	Q221182	Isocrates	Peloponnesian League	-400	-400	year	-435.0	-337.0	orator; writer	Greek rhetorician and writer (436–338 BC)	Antidosis	Antidosis	Q4774689	Antidosis	Classical (500–360 BCE)			oration, literary work	English	George Norlin	1928	29306	162891	117
