cell_sig	resource_meta	LESS	MORE	net	n_total	period3
*/*/*/*/*/*	Right to free speech	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Access to religious rites	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Access to the gymnasium	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Protection from capital punishment	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Protection from corporal punishment	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Protection from legal prosecution	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Right to address the assembly	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Right to bodily autonomy	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Right to professional judgement	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/Foreign/*/*	Protection from capital punishment	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/Foreign/*/*	Right to a legal trial	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/Foreign/Resident/*	Eligibility for public office	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/Foreign/Resident/*	Right to citizenship	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/Native/*/*	Right to valid professional opinion	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Enslaved/*/Resident/Low	Protection from corporal punishment	10.0	1.0	-9.0	11.0	P1: Classical Greek (500–360 BCE)
*/*/Enslaved/*/Resident/Low	Right to a legal trial	0.0	2.0	2.0	2.0	P1: Classical Greek (500–360 BCE)
*/*/Enslaved/*/Resident/Low	Access to the gymnasium	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Enslaved/*/Resident/Low	Exemption from manual labor	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Enslaved/*/Resident/Low	Political power	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Enslaved/*/Resident/Low	Protection from legal prosecution	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Enslaved/*/Resident/Low	Right to free speech	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Enslaved/*/Resident/Low	Right to retain own earnings	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Enslaved/*/Resident/Low	Right to retain property	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Enslaved/Foreign/Resident/Low	Right to a legal trial	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/*/Resident/*	Access to religious rites	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/*/Resident/*	Right to address the assembly	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/*/Resident/*	Right to bodily autonomy	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/*/Resident/*	Right to citizenship	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/*/Resident/High	Right to dispose of property	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/*/Resident/High	Right to retain property	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/*/Resident/Low	Eligibility for public office	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/*/Resident/Low	Right to address the assembly	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/*/Resident/Low	Right to citizenship	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/Foreign/*/*	Eligibility for public office	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/Foreign/*/*	Protection from enslavement	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/Foreign/*/*	Right to a legal trial	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/Foreign/*/*	Right to citizenship	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/Foreign/*/*	Right to retain property	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/Foreign/Non resident/*	Right to a legal trial	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/Foreign/Non resident/*	Right to dispose of property	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/Foreign/Resident/*	Political power	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/Foreign/Resident/*	Protection from corporal punishment	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/Foreign/Resident/*	Right to a legal trial	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/Foreign/Resident/*	Right to own property	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/Foreign/Resident/*	Right to retain own earnings	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/Foreign/Resident/*	Right to retain property	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/Mixed/Resident/*	Right to citizenship	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/Native/*/*	Right to citizenship	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/Native/*/*	Right to inherit property	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/Native/*/*	Right to retain own earnings	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/Native/Non resident/*	Right to retain property	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/Free/Native/Resident/*	Protection from capital punishment	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/*/High	Eligibility for public office	0.0	2.0	2.0	2.0	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/Resident/*	Right to retain own earnings	0.0	2.0	2.0	2.0	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/Resident/*	Exemption from military service	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/Resident/*	Right to citizenship	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/Resident/*	Right to professional judgement	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/Resident/High	Exemption from compulsory public financing	7.0	0.0	-7.0	7.0	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/Resident/High	Right to retain property	4.0	1.0	-3.0	5.0	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/Resident/High	Right to retain own earnings	2.0	0.0	-2.0	2.0	P1: Classical Greek (500–360 BCE)
