perseus_id	perseus_author	author_impact_date	wikidata_work_label	perseus_title	genre	form_of_creative_work	instance_of	factuality	factuality_reason
tlg0006.tlg009	Euripides	-445	Heracles Mad	Heracles			version, edition or translation, translation work	1	Euripides' 'Heracles Mad' is a Greek tragedy, which falls under the mythic/speculative category.
tlg0006.tlg007	Euripides	-445	Hecuba	Hecuba	Greek tragedy	play	dramatic work	1	Euripides' 'Hecuba' is a Greek tragedy, which falls under the mythic/speculative category.
tlg0006.tlg001	Euripides	-445	Cyclops	The Cyclops	satyr play	play	dramatic work	1	Euripides' 'Cyclops' is a satyr play, which typically draws on mythological themes and falls under the mythic/speculative category.
tlg0006.tlg006	Euripides	-445	Andromache	Andromache	Greek tragedy	play	dramatic work	1	Euripides' 'Andromache' is a Greek tragedy, which falls under the mythic/speculative category.
tlg0006.tlg008	Euripides	-445	The Suppliants	The Suppliants	Greek tragedy	play	dramatic work	1	Euripides' 'The Suppliants' is a Greek tragedy, which falls under the mythic/speculative category.
tlg0006.tlg012	Euripides	-445	Electra	Electra	Greek tragedy	play	dramatic work	1	Euripides' 'Electra' is a Greek tragedy, which falls under the mythic/speculative category.
tlg0006.tlg014	Euripides	-445	Helen	Helen	Greek tragedy	play	dramatic work	1	Euripides' 'Helen' is a Greek tragedy, which falls under the mythic/speculative category.
tlg0006.tlg003	Euripides	-445	Medea	Medea	Greek tragedy	play	dramatic work	1	Euripides' 'Medea' is a Greek tragedy, which falls under the mythic/speculative category.
tlg0006.tlg005	Euripides	-445	Hippolytus	Hippolytus	Greek tragedy	play	dramatic work	1	Euripides' 'Hippolytus' is a Greek tragedy, which falls under the mythic/speculative category.
tlg0006.tlg002	Euripides	-445	Alcestis	Alcestis	tragicomedy, Greek tragedy	play	dramatic work, literary work	1	Euripides' 'Alcestis' is a Greek tragedy, which falls under the mythic/speculative category.
tlg0006.tlg011	Euripides	-445	The Trojan Women	The Trojan Women	Greek tragedy	play	dramatic work	1	Euripides' 'The Trojan Women' is a Greek tragedy, which falls under the mythic/speculative category.
tlg0006.tlg016	Euripides	-445	Orestes	Orestes	Greek tragedy	play	dramatic work	1	Euripides' 'Orestes' is a Greek tragedy, which falls under the mythic/speculative category.
tlg0006.tlg018	Euripides	-445	Iphigenia in Aulis	Iphigenia in Aulis	Greek tragedy	play	dramatic work	1	Euripides' 'Iphigenia in Aulis' is a Greek tragedy, which falls under the mythic/speculative category.
tlg0006.tlg019	Euripides	-445	Rhesus	Rhesus			version, edition or translation, translation work	1	Euripides' 'Rhesus' is a Greek tragedy, which falls under the mythic/speculative category.
tlg0006.tlg017	Euripides	-445	The Bacchae	Bacchae	Greek tragedy	play	dramatic work	1	Euripides' 'The Bacchae' is a Greek tragedy, which falls under the mythic/speculative category.
tlg0006.tlg010	Euripides	-445	Ion	Ion	Greek tragedy, melodrama	play	dramatic work	1	Euripides' 'Ion' is a Greek tragedy, which falls under the mythic/speculative category.
tlg0006.tlg015	Euripides	-445	The Phœnician Maidens	The Phoenician Maidens			version, edition or translation	1	Euripides' 'The Phœnician Maidens' is a Greek tragedy, which falls under the mythic/speculative category.
tlg0006.tlg004	Euripides	-445	Herakles	Heracleidae	Greek tragedy	play	dramatic work	1	Euripides' 'Herakles' is a Greek tragedy, which falls under the mythic/speculative category.
tlg0006.tlg013	Euripides	-445	Iphigenia in Tauris	Iphigenia Among the Tauri	Greek tragedy, tragicomedy	play	dramatic work	1	Euripides' 'Iphigenia in Tauris' is a Greek tragedy, which falls under the mythic/speculative category.
tlg0008.tlg001	Athenaeus	205	Deipnosophistae	The Deipnosophists		anthology	written work	3	Athenaeus' 'Deipnosophistae' is an anthology of discussions on various topics, including contemporary life, making it contemporary documentation.
tlg0010.tlg009	Isocrates	-400	Helen	Helen			literary work	4	Isocrates' 'Helen' is a forensic oration, which invokes specific contemporary laws or legal procedures.
tlg0010.tlg007	Isocrates	-400	To Demonicus	To Demonicus			literary work	4	Isocrates' 'To Demonicus' is a forensic oration, which invokes specific contemporary laws or legal procedures.
tlg0010.tlg001	Isocrates	-400	Against Euthynus	Against Euthynus			literary work, oration	4	Isocrates' 'Against Euthynus' is a forensic oration, which invokes specific contemporary laws or legal procedures.
tlg0010.tlg006	Isocrates	-400	Aegineticus	Aegineticus			literary work, oration	4	Isocrates' 'Aegineticus' is a forensic oration, which invokes specific contemporary laws or legal procedures.
tlg0010.tlg030	Isocrates	-400	Philip	Letter 3. To Philip, II			literary work	4	Isocrates' 'Philip' is a forensic oration, which invokes specific contemporary laws or legal procedures.
tlg0010.tlg008	Isocrates	-400	Against the Sophists	Against the Sophists			literary work, oration	4	Isocrates was a forensic orator, and his orations, even if not strictly legal, invoke contemporary social and legal norms.
tlg0010.tlg015	Isocrates	-400	Evagoras	Evagoras			literary work	4	Isocrates was a forensic orator, and his orations, even if not strictly legal, invoke contemporary social and legal norms.
tlg0010.tlg012	Isocrates	-400	Plataicus	Plataicus			literary work, oration	4	Isocrates was a forensic orator, and his orations, even if not strictly legal, invoke contemporary social and legal norms.
tlg0010.tlg024	Isocrates	-400	Archidamus	Letter 9. To Archidamus			literary work	4	Isocrates was a forensic orator, and his orations, even if not strictly legal, invoke contemporary social and legal norms.
tlg0010.tlg022	Isocrates	-400	To Dionysius	Letter 1. To Dionysius			letter, literary work	3	As a letter, this work provides contemporary documentation of social rules through its direct address and content.
tlg0010.tlg013	Isocrates	-400	To Nicocles	To Nicocles			literary work, oration	4	Isocrates was a forensic orator, and his orations, even if not strictly legal, invoke contemporary social and legal norms.
tlg0010.tlg014	Isocrates	-400	Nicocles	Nicocles or the Cyprians	treatise	prose	translated work, literary work	3	As a treatise, this work provides contemporary documentation of social rules.
tlg0010.tlg003	Isocrates	-400	Against Lochites	Against Lochites			literary work, oration	4	Isocrates was a forensic orator, and his orations, even if not strictly legal, invoke contemporary social and legal norms.
tlg0010.tlg005	Isocrates	-400	Trapeziticus	Trapeziticus			literary work, oration	4	Isocrates was a forensic orator, and his orations, even if not strictly legal, invoke contemporary social and legal norms.
tlg0010.tlg002	Isocrates	-400	Against Callimachus	Against Callimachus			literary work, oration	4	Isocrates was a forensic orator, and his orations, even if not strictly legal, invoke contemporary social and legal norms.
tlg0010.tlg011	Isocrates	-400	Panegyricus	Panegyricus	panegyric		literary work, oration	4	Isocrates was a forensic orator, and his orations, even if not strictly legal, invoke contemporary social and legal norms.
tlg0010.tlg016	Isocrates	-400	Archidamus	Archidamus			literary work	4	Isocrates was a forensic orator, and his orations, even if not strictly legal, invoke contemporary social and legal norms.
tlg0010.tlg029	Isocrates	-400	To Antipater	Letter 4. To Antipater			letter, literary work	3	As a letter, this work provides contemporary documentation of social rules through its direct address and content.
tlg0010.tlg020	Isocrates	-400	Philip	To Philip			literary work	4	Isocrates was a forensic orator, and his orations, even if not strictly legal, invoke contemporary social and legal norms.
tlg0010.tlg027	Isocrates	-400	Philip	Letter 2. To Philip, I			literary work	4	Isocrates was a forensic orator, and his orations, even if not strictly legal, invoke contemporary social and legal norms.
tlg0010.tlg018	Isocrates	-400	Areopagiticus	Areopagiticus			literary work, oration	4	Isocrates was a forensic orator, and his orations, even if not strictly legal, invoke contemporary social and legal norms.
tlg0010.tlg026	Isocrates	-400	To Timotheus	Letter 7. To Timotheus			letter, literary work	3	As a letter, this work provides contemporary documentation of social rules through its direct address and content.
tlg0010.tlg019	Isocrates	-400	Antidosis	Antidosis			oration, literary work	4	Isocrates was a forensic orator, and his orations, even if not strictly legal, invoke contemporary social and legal norms.
tlg0010.tlg021	Isocrates	-400	Panathenaicus	Panathenaicus			literary work, oration	4	Isocrates was a forensic orator, and his orations, even if not strictly legal, invoke contemporary social and legal norms.
tlg0010.tlg017	Isocrates	-400	On the peace	On the Peace			literary work, oration	4	Isocrates was a forensic orator, and his orations, even if not strictly legal, invoke contemporary social and legal norms.
tlg0010.tlg028	Isocrates	-400	To Alexander	Letter 5. To Alexander			letter, literary work	3	As a letter, this work provides contemporary documentation of social rules through its direct address and content.
tlg0010.tlg010	Isocrates	-400	Busiris	Busiris			literary work	4	Isocrates was a forensic orator, and his orations, even if not strictly legal, invoke contemporary social and legal norms.
tlg0010.tlg004	Isocrates	-400	On the Team of Horses	Concerning the Team of Horses			literary work, oration	4	Isocrates was a forensic orator, and his orations, even if not strictly legal, invoke contemporary social and legal norms.
tlg0010.tlg025	Isocrates	-400	To the kings of the Mytilenians	Letter 8. To the Rulers of the Mytilenaeans			letter, literary work	3	As a letter, this work provides contemporary documentation of social rules through its direct address and content.
tlg0010.tlg023	Isocrates	-400	To the sons of Jason	Letter 6. To the Children of Jason			letter, literary work	3	As a letter, this work provides contemporary documentation of social rules through its direct address and content.
tlg0011.tlg007	Sophocles	-460	Oedipus at Colonus	Oedipus at Colonus	Greek tragedy	play	dramatic work	1	Sophocles' 'Oedipus at Colonus' is a Greek tragedy, which is a mythic/speculative genre.
tlg0011.tlg001	Sophocles	-460	Trachiniae	Trachiniae	Greek tragedy	play	dramatic work	1	Sophocles' 'Trachiniae' is a Greek tragedy, which is a mythic/speculative genre.
tlg0011.tlg006	Sophocles	-460	Philoctetes	Philoctetes	Greek tragedy	play	dramatic work	1	Sophocles' 'Philoctetes' is a Greek tragedy, which is a mythic/speculative genre.
tlg0011.tlg003	Sophocles	-460	Ajax	Ajax	Greek tragedy	play	dramatic work	1	Sophocles' 'Ajax' is a Greek tragedy, which is a mythic/speculative genre.
tlg0011.tlg005	Sophocles	-460	Electra	Electra	Greek tragedy, thriller	play	dramatic work	1	Sophocles' 'Electra' is a Greek tragedy, which is a mythic/speculative genre.
tlg0011.tlg002	Sophocles	-460	Antigone	Antigone	Greek tragedy	play	dramatic work	1	Sophocles' 'Antigone' is a Greek tragedy, which is a mythic/speculative genre.
tlg0011.tlg004	Sophocles	-460	Oedipus Rex	Oedipus Tyrannus	Greek tragedy	play	dramatic work	1	Sophocles' 'Oedipus Rex' is a Greek tragedy, which is a mythic/speculative genre.
tlg0011.tlg008	Sophocles	-460	Trachinki	Tracking Satyrs			version, edition or translation	1	Sophocles' 'Trachinki' is a version of a Greek tragedy, which is a mythic/speculative genre.
tlg0012.tlg001	Homer	-750	Iliad	Iliad	epic poem	long poem	literary work, oral poetry	1	Homer's 'Iliad' is an epic poem, which is a mythic/speculative genre.
tlg0012.tlg003	Homer	-750	Epigrams	Epigrams		poetry collection	literary work	1	Homer's 'Epigrams' are likely to be mythic or speculative, consistent with his other works.
tlg0012.tlg002	Homer	-750	Odyssey	Odyssey	epic poem		literary work	1	Homer's 'Odyssey' is an epic poem, which is a mythic/speculative genre.
tlg0014.tlg054	Demosthenes	-348	Against Conon	Against Conon			literary work, oration	4	Demosthenes' 'Against Conon' is a legal oration, directly invoking contemporary laws and procedures.
tlg0014.tlg053	Demosthenes	-348	Against Nicostratus	Apollodorus Against Nicostratus			literary work, oration	4	Demosthenes' 'Against Nicostratus' is a legal oration, directly invoking contemporary laws and procedures.
tlg0014.tlg062	Demosthenes	-348	Exordia	Exordia			written work, group of literary works	4	Demosthenes' 'Exordia' are likely forensic or political speeches, directly invoking contemporary laws and procedures.
