criterion	group_side	group_matched	n
Age	in-group (privileged)	Elders	8
Age	out-group (deprived)	Minors	34
Citizenship	in-group (privileged)	Citizens	266
Citizenship	out-group (deprived)	Foreigners	74
Citizenship	out-group (deprived)	Women	10
Citizenship	out-group (deprived)	Slaves	6
Education	in-group (privileged)	The educated	2
Education	out-group (deprived)	Citizens	3
Ethnicity	in-group (privileged)	Greeks	2
Ethnicity	out-group (deprived)	Scythians	3
Ethnicity	out-group (deprived)	Persians	1
Freedom	in-group (privileged)	Citizens	29
Freedom	out-group (deprived)	Slaves	77
Gender	in-group (privileged)	Men	15
Gender	out-group (deprived)	Women	75
Lineage	in-group (privileged)	Heirs	22
Lineage	out-group (deprived)	Citizens	14
Nobility	in-group (privileged)	Nobles	32
Nobility	out-group (deprived)	Citizens	1
Occupation	in-group (privileged)	Artisans	21
Occupation	out-group (deprived)	Citizens	10
Religion	in-group (privileged)	Priests	8
Religion	out-group (deprived)	Citizens	4
Wealth / Properties	in-group (privileged)	The wealthy	100
Wealth / Properties	out-group (deprived)	The poor	51
