rule_uid	criteria	rule	group	resource	directionality	verbatim	reasoning	confidence	rule_polity	rule_polity_reasoning	rule_time_reference	rule_date	rule_time_reasoning	contemporary	factuality	is_historical	group_specificity	group_immutability	resource_materiality	resource_generality	resource_persistence	tautological	author	cliopatria_polity	impact_year	impact_date	occupations	description	work_title	perseus_title	wikidata_work_label	period	genre	form_of_creative_work	main_language	pub_date	n_words	file_id	wikidata_id
tlg1443.tlg001.perseus-eng1#49	Gender	Widow protection by the bishop	Widows	Protection from neglect	MORE	[§295] Let not the widows be neglected. Be yourself their protector after the Lord. Let nothing be done without your approval, and do nothing yourself without God, as indeed you do nothing; stand fast.	The author specifically identifies widows as a group requiring the institutional protection and oversight of the bishop to ensure they are not neglected within the community.	10.0	Early Christian communities in the Roman Empire	Ignatius of Antioch, a Christian author, is writing to the Christian community in Tralles, within the Roman Empire, documenting their contemporary ecclesiastical norms.	contemporary	70 to 110	The rule is stated by Ignatius of Antioch, whose floruit is around 70-110 CE, and reflects the contemporary practices of the early Christian church.	1	1	0	5	3	4	3	5	0	Ignatius of Antioch	Roman Empire;(Roman Empire)	70	70.0	theologian; presbyter	late 1st/early 2nd century Christian author and Patriarch of Antioch	Epistle of Ignatius to the Trallians	Epistles	Epistle of Ignatius to the Trallians	Hellenistic & Early Roman (165 BCE – 105 CE)	epistle		English	1912	12356	tlg1443.tlg001.perseus-eng1	Q44170
tlg0086.tlg010.perseus-eng2#40	Nobility	Monarchical proclamation of measures	Kings	Political decision-making power	MORE	[§271] This maybe illustrated by the ancient constitutions represented in Homer: the kings used to proclaim to the people the measures they had chosen to adopt.	Aristotle references historical/literary 'ancient constitutions' where kings held the exclusive power to choose measures and simply proclaim them to the populace.	9.0	Mythological / legendary setting	"The rule explicitly references ""ancient constitutions represented in Homer,"" indicating a mythological or legendary setting rather than a specific historical polity."	past	mythological	The rule describes practices from the Homeric age, which is a legendary past relative to Aristotle's time.	0	1	1	3	3	4	5	4	1	Aristotle	Thebans	-348	-348.0	philosopher	4th-century BCE Classical Greek philosopher and polymath	Nicomachean Ethics	Nicomachean Ethics	Nicomachean Ethics	Late Classical (354–165 BCE)	treatise		English	1926	104386	tlg0086.tlg010.perseus-eng2	Q868
tlg0014.tlg019.perseus-eng2#45	Occupation	Ambassadorial accountability for bribes	Ambassadors	Protection from capital punishment	LESS	[§268] I am sure you have all heard the story of their treatment of Callias, son of Hipponicus, who negotiated the celebrated peace... At the inquiry into his conduct they came near to putting him to death, and mulcted him in fifty talents, because he was said to have taken bribes on embassy.	The text establishes that men serving as ambassadors are subject to the death penalty or heavy fines if they are found to have accepted bribes during their mission.	10.0	Classical Athens	Demosthenes refers to a historical event concerning Callias, a figure from Classical Athens, to illustrate a point about ambassadorial conduct.	past	-449	The event described concerns Callias and the Peace of Callias, which occurred around -449 BCE, well before Demosthenes' time.	0	1	0	3	2	5	5	4	0	Demosthenes	Second Athenian League	-348	-348.0	orator; diplomat; writer; politician	classical Athenian statesman and orator (384–322 BC)	On the False Embassy	On the Embassy	On the False Embassy	Late Classical (354–165 BCE)			English	1926	33333	tlg0014.tlg019.perseus-eng2	Q117253
tlg0057.tlg010.perseus-eng2#23	Freedom	Slave comedic characterization	Slaves	Right to moral reputation	LESS	[§18] [17] PART 17 Now such of the younger men as have dignified themselves with the names of these two authorities by taking the appellations Erasistrateans or Asclepiadeans are like the Davi and Getae — the slaves introduced by the excellent Menander into his comedies. As these slaves held that they had done nothing fine unless they had cheated their master three times, so also the men I am discussing have taken their time over the construction of impudent sophisms	Galen references a contemporary cultural norm and literary convention where slaves (specifically Davi and Getae in New Comedy) are defined by their status as deceitful actors against their masters, stripping them of the resource of being perceived as honest or virtuous.	9.0	Roman Empire	Galen criticizes contemporary young men by comparing them to comedic slave characters from Menander's plays, reflecting both contemporary and past cultural references.	mixed	164|-300	The rule refers to contemporary young men (164 CE) and draws an analogy to characters from Menander's comedies (c. -300 BCE).	1	1	0	5	4	1	5	5	0	Galen	Roman Empire;(Roman Empire)	164	164.0	physician; philosopher; physician writer; neuroscientist; surgeon; biologist	1st-century Greek physician, surgeon and philosopher	On the Natural Faculties	On the Natural Faculties.	On the Natural Faculties	High Roman Empire (135–205 CE)			English	1916	48788	tlg0057.tlg010.perseus-eng2	Q8778
tlg0027.tlg004.perseus-eng2#21	Age	Youth access to gymnasia	Young people	Access to the gymnasium	LESS	[§41] That of the young, upon whom he has brought the disfavour of the people by his insolence, by his emptying of the gymnasia, and by behaviour which his years do not warrant?	The passage identifies the young as a specific group that has lost access to their traditional resource (the gymnasium) due to the influence/actions of Alcibiades.	8.0	Classical Athens	Andocides, an Athenian politician, describes a social observation about youth access to gymnasia in Athens.	contemporary	-400	The rule is contemporary to Andocides, who was active around 400 BCE, and reflects social norms of his time.	1	1	0	5	5	3	2	3	0	Andocides	Greek City-States	-500	-500.0	politician	5th c. BCE Athenian politician and admiral		Against Alcibiades		Classical (500–360 BCE)			English	1941	5226	tlg0027.tlg004.perseus-eng2	Q492228
tlg0086.tlg035.perseus-eng2#110	Citizenship	Mass participation in assemblies and audits	Common citizens	Deliberative and judicial functions	MORE	[§65] it remains therefore for them to share the deliberative and judicial functions. For this reason Solon and certain other lawgivers appoint the common citizens to the election of the magistrates and the function of calling them to audit.	The text establishes that even those without great wealth or excellence are granted the resource of participating in collective political functions like the assembly and jury.	10.0	Classical Athens	Aristotle explicitly references Solon, a key figure in Athenian law, and discusses Athenian political structures.	mixed	-348|-594	Aristotle (floruit -348) discusses contemporary practices while explicitly referencing Solon's laws from Archaic Athens (-594).	1	1	0	4	3	3	4	4	0	Aristotle	Thebans	-348	-348.0	philosopher	4th-century BCE Classical Greek philosopher and polymath	Politics	Politics	Politics	Late Classical (354–165 BCE)	treatise		English	1944	106476	tlg0086.tlg035.perseus-eng2	Q868
tlg0086.tlg035.perseus-eng2#60	Freedom	Serf exclusion from leisure	Serfs	Right to leisure from menial occupations	LESS	[§38] Now it is a thing admitted that a state that is to be well governed must be provided with leisure from menial occupations; but how this is to be provided it is not easy to ascertain. The serf class in Thessaly repeatedly rose against its masters, and so did the Helots at Sparta.	The text establishes that leisure is a resource reserved for the governing class, while the 'serf class' is defined by the performance of the menial occupations that provide it, excluding them from this resource.	10.0	Thessaly | Sparta	Aristotle discusses the serf class in Thessaly and the Helots in Sparta as examples of societies with 'menial occupations'.	past	-600 to -348	Aristotle refers to historical conditions of serfs in Thessaly and Helots in Sparta, which existed before or during his floruit (-348).	1	1	0	3	4	3	4	5	1	Aristotle	Thebans	-348	-348.0	philosopher	4th-century BCE Classical Greek philosopher and polymath	Politics	Politics	Politics	Late Classical (354–165 BCE)	treatise		English	1944	106476	tlg0086.tlg035.perseus-eng2	Q868
tlg0086.tlg035.perseus-eng2#193	Ethnicity	Colonist priority over additional settlers	Citizens	Right to own land	MORE	[§112] ...and at Thurii Sybarites quarrelled with those who had settled there with them, for they claimed to have the larger share in the country as being their own, and were ejected; and at Byzantium the additional settlers were discovered plotting against the colonists and were expelled by force of arms.	Aristotle notes that difference in race/origin leads to rules where original settlers claim superior rights to resources like land ('share in the country') compared to later 'additional settlers' (foreigners/newcomers).	9.0	Thurii|Byzantium	Aristotle refers to specific historical conflicts in Thurii and Byzantium regarding land and citizenship.	past	-443|-350	Aristotle refers to historical events in Thurii (founded -443) and Byzantium, likely from the 4th century BCE.	0	1	0	4	3	5	5	5	0	Aristotle	Thebans	-348	-348.0	philosopher	4th-century BCE Classical Greek philosopher and polymath	Politics	Politics	Politics	Late Classical (354–165 BCE)	treatise		English	1944	106476	tlg0086.tlg035.perseus-eng2	Q868
tlg0086.tlg035.perseus-eng2#170	Occupation	Military service citizenship	Soldiers	Right to participate in government	MORE	[§99] In some states the citizen-body consists not only of those who are serving as heavy-armed soldiers, but also of those who have so served; and at Malea the citizen-body consisted of these	The text describes a rule where the status of being a 'heavy-armed soldier' (hoplite) is the criterion for inclusion in the governing citizen body.	9.0	Malea	Aristotle explicitly names Malea as a state where this rule applied.	past	-400 to -350	Aristotle refers to a past or existing practice in Malea, likely from before or during his floruit (-348).	0	1	0	3	3	3	5	4	0	Aristotle	Thebans	-348	-348.0	philosopher	4th-century BCE Classical Greek philosopher and polymath	Politics	Politics	Politics	Late Classical (354–165 BCE)	treatise		English	1944	106476	tlg0086.tlg035.perseus-eng2	Q868
tlg0014.tlg019.perseus-eng2#14	Occupation	Public official legal scrutiny	ambassadors	Protection from legal scrutiny	LESS	[§82] These are the questions for a scrutiny of an embassy: What has been accomplished? What did you report? If the truth,—go in peace; if falsehood,—take your punishment.	The text defines the legal standard for ambassadors (a specific occupational group) in Athens: they are subject to a formal scrutiny where they are punished if their reports are found to be false.	10.0	Second Athenian League	Demosthenes, an Athenian orator, outlines the legal scrutiny applied to public officials, specifically ambassadors, in his contemporary Athenian society.	contemporary	-348	The rule describes the legal processes for public officials in Athens during Demosthenes' time, dated to his floruit in -348 BCE.	1	1	0	3	3	4	3	2	0	Demosthenes	Second Athenian League	-348	-348.0	orator; diplomat; writer; politician	classical Athenian statesman and orator (384–322 BC)	On the False Embassy	On the Embassy	On the False Embassy	Late Classical (354–165 BCE)			English	1926	33333	tlg0014.tlg019.perseus-eng2	Q117253
