spec	cell_sig	groups	via_flip_from	resources	n_resources	period3
0	*/*/*/*/*/*	The mute		Right to free speech	1	P1: Classical Greek (500–360 BCE)
1	*/*/*/*/Resident/*	Slaves, metics, and women; Suppliants; The healthy; The sick		Access to the gymnasium; Protection from capital punishment; Protection from corporal punishment; Right to address the assembly; Right to bodily autonomy	5	P1: Classical Greek (500–360 BCE)
1	*/*/*/Foreign/*/*	Non-citizens	Greeks	Protection from capital punishment; Right to a legal trial; Right to valid professional opinion	3	P1: Classical Greek (500–360 BCE)
1	*/*/*/*/Non resident/*		Accidental killers; Homicide suspects; Musicians	Access to religious rites; Protection from legal prosecution; Right to professional judgement	3	P1: Classical Greek (500–360 BCE)
2	Female/*/*/*/Resident/*	Women		Access to religious rites; Right to a dowry; Right to address the assembly; Right to bodily autonomy; Right to retain own earnings; Right to retain property	6	P1: Classical Greek (500–360 BCE)
2	*/*/Free/Native/*/*	Legitimate children; Lineal descendants	Foreigners	Protection from enslavement; Right to a legal trial; Right to citizenship; Right to inherit property; Right to retain property	5	P1: Classical Greek (500–360 BCE)
2	Male/*/*/*/Resident/*		Women	Eligibility for public office; Protection from legal prosecution; Right to freedom of movement; Right to retain own earnings	4	P1: Classical Greek (500–360 BCE)
2	Male/Adult/*/*/*/*	Men		Eligibility for public office; Political power; Right to citizenship	3	P1: Classical Greek (500–360 BCE)
2	*/*/Free/Foreign/*/*	Foreigners		Eligibility for public office; Right to citizenship	2	P1: Classical Greek (500–360 BCE)
2	*/*/*/Foreign/Resident/*	Scythians; Slaves and foreigners		Eligibility for public office; Right to citizenship	2	P1: Classical Greek (500–360 BCE)
2	Female/Adult/*/*/*/*	Women	Men	Right to bodily autonomy; Right to own property	2	P1: Classical Greek (500–360 BCE)
2	*/*/Free/*/Resident/*	Free persons		Right to bodily autonomy	1	P1: Classical Greek (500–360 BCE)
3	*/*/Free/*/Resident/Low	The poor	Slaves	Access to the gymnasium; Eligibility for public office; Exemption from manual labor; Political power; Protection from corporal punishment; Right to address the assembly; Right to free speech; Right to retain own earnings	8	P1: Classical Greek (500–360 BCE)
3	*/*/Free/Native/Resident/*	Athenians	Metics; Resident aliens	Political power; Protection from capital punishment; Right to a legal trial; Right to own property; Right to retain own earnings; Right to retain property	6	P1: Classical Greek (500–360 BCE)
3	*/*/Enslaved/*/Resident/Low	Slaves		Protection from corporal punishment; Protection from legal prosecution; Right to a legal trial; Right to retain property	4	P1: Classical Greek (500–360 BCE)
3	*/*/Free/Native/Non resident/*	Exiles	Foreigners	Right to a legal trial; Right to dispose of property; Right to retain property	3	P1: Classical Greek (500–360 BCE)
3	*/Adult/Free/*/Resident/*	Doctors; Philosophers; Priests		Exemption from military service; Right to professional judgement; Right to retain own earnings	3	P1: Classical Greek (500–360 BCE)
3	Male/*/Free/*/Resident/*	Adopted sons		Political power; Right to inherit property	2	P1: Classical Greek (500–360 BCE)
