right	citizen_male	citizen_female	slave	metic	basis
Voting in the assembly	1	0	0	0	Ekklesia restricted to adult male citizens.
Speaking in the assembly	1	0	0	0	Isēgoria for male citizens; atimoi barred (sub-pop).
Deliberative authority	1	0	0	0	Boulē / political deliberation: male citizens only.
Eligibility for public office	1	0	0	0	Office reserved to male citizens; some by census class.
Eligibility for the archonship	1	0	0	0	Archonship: male citizens, originally upper census classes.
Eligibility for jury service	1	0	0	0	Dikastai drawn from male citizens over 30.
Right to a trial	1	0	0	1	Male citizen and metic (via polemarch) have standing; astē acts only through a kyrios → 0; slave none.
Testifying in court	1	0	0	1	Women effectively excluded; slaves only under torture; free metics could testify.
Protection from execution without trial	1	1	0	1	Citizens & free persons protected; slaves could be killed/punished without trial.
Protection from judicial torture	1	1	0	1	Basanos applied to slaves; free persons exempt.
Protection from penal corporal punishment	1	1	0	1	Citizens not subject to the whip; slaves were.
Protection from private assault	1	1	0	1	Free persons protected by the hubris law; a slave, as property, had no held protection from bodily coercion → 0.
Personal liberty	1	1	0	1	Free status for citizens & metics; slaves are property.
Freedom of movement	1	1	0	1	Free persons move freely; slaves constrained.
Owning land	1	0	0	0	Enktēsis (land) limited to citizens; women & metics excluded barring special grant.
Owning and retaining property	1	0	0	1	Men and metics control property; a citizen woman's property is managed by her kyrios (no alienation above trivial value) → 0.
Inheriting property	1	0	0	1	Sons and metics inherit; the epiklēros transmits property to her son but does not inherit in her own right → 0.
Right to engage in business	1	1	0	1	Trade open to free persons incl. women (petty retail) & metics; slaves work for masters, not as a right.
Right to citizenship	1	1	0	0	Astē holds citizen status (no political rights); slaves & metics excluded.
Right to marry a citizen	1	1	0	0	After Pericles' 451 law citizen marriage requires two citizen parents; metics excluded.
Freedom of choice in marriage	1	0	0	1	Citizen women's marriages arranged by the kyrios; men & free metics freer.
