rule_uid,file_id,work_name,author,impact_year,polity,criteria,sampled_for,is_contemporary,verbatim_type,factuality,criterion_label,in_group,out_group,resource,resource_std,speaker,verbatim,matched_keywords,rule_category,reasoning,group_generality,generality_reasoning,resource_materiality,materiality_reasoning,resource_generality,resource_generality_reasoning,resource_persistence,persistence_reasoning,group_immutability,immutability_reasoning,tautological,tautology_reasoning,confidence,extraction_method,extraction_cost_usd,prompt_tokens,completion_tokens,vote,comment
tlg0027.tlg004.perseus-eng2::11,tlg0027.tlg004.perseus-eng2,Against Alcibiades,Andocides,-500,,Wealth / Properties,gemini_v20_sample60_round4,0,fact,5,Wealthy citizen liturgy obligation,Wealthy citizens,,Right to retain own earnings,,LESS,"Of my public services I do not intend to speak. I will say only this: the expenditure required of me I meet, not from monies belonging to the state, but from my own pocket. And yet I have in fact gained victories in the contest of physique, in the torch-race, and at the tragic competitions without striking rival Choregi, and without feeling shame at my possessing less power than the laws.",,,"The author refers to 'public services' (liturgies) and 'expenditure required of me' which he must pay from his 'own pocket' (private wealth). This describes the Athenian system where wealthy citizens were legally mandated to fund state competitions and festivals, thereby losing a portion of their private wealth to the state.",,,5,Paying from 'own pocket' involves the direct loss of private money.,4,Liturgy obligations are a broad recurring category of wealth redistribution.,4,"As long as one remains in the top wealth bracket, the susceptibility to liturgy remains.",3,Wealthy citizen is a durable status but fundamentally changeable through economic loss.,0,Wealth does not definitionally include the obligation to fund state tragic competitions.,9.0,gemini_v20_core_v1_random100,,,,up,
tlg0007.tlg014.perseus-eng2::0,tlg0007.tlg014.perseus-eng2,Comparison of Pericles and Fabius Maximus,Plutarch,75,,Citizenship|Nobility|Lineage,gemini_v20_sample60_round4,1,fact,5,Ostracism and banishment of elites,Prominent citizens,,Protection from arbitrary banishment,,LESS,"Nevertheless, the courteous and gentle conduct of Fabius towards Minucius contrasts forcibly with the factious opposition of Pericles to Cimon and Thucydides, who were both good and true men and of the highest birth, and yet were subjected by him to ostracism and banishment.",,,"The text identifies that in Pericles' Athens, even high-born, prominent citizens (Cimon and Thucydides) were subject to ostracism and banishment, indicating a systematic lack of protection for one's right to remain in the city if they were political rivals to the leading statesman.",,,5,"Banishment involves loss of home, land, and access to one's wealth and community.",5,Protection from exile is a foundational aspect of legal personhood.,4,Ostracism was typically a 10-year (long-term) but revocable status.,3,Prominence/high-birth is hard to change but involves social standing and reputation.,0,Being 'prominent' is not defined by being banished.,9.0,gemini_v20_core_v1_random100,,,,up,
tlg0062.tlg045.perseus-eng2::10,tlg0062.tlg045.perseus-eng2,The Dance,Lucian of Samosata,155,,Occupation|Education,gemini_v20_sample60_round4,0,fact,4,Dancer comprehensive mythological knowledge mandate,Pantomime dancers,,Access to professional certification,,LESS,"Beginning with Chaos and the primal origin of the world, he must know everything down to the story of Cleopatra the Egyptian. ... Let this be the range we prescribe for the dancer’s learning, and let him know thoroughly all that lies within it: the castration of Uranus, the begetting of Aphrodite, the battle of the Titans...",,,"Lucian outlines the 'prescribed' intellectual requirements for a professional dancer, establishing a rule that the practitioner must possess an exhaustive memory of classical mythology from the origin of the world to the end of the Ptolemaic era.",,,3,Mythological knowledge is an intellectual requirement for professional qualification and practice.,3,Covers an exhaustive range of themes applicable across many performances.,4,This baseline of knowledge is a permanent requirement for professional standing.,3,Professional role; learning is the process of entering the group.,0,Being a dancer does not inherently define knowing the history of Cleopatra.,9.0,gemini_v20_core_v1_random100,,,,down,
tlg0004.tlg001.perseus-eng2::103,tlg0004.tlg001.perseus-eng2,Lives of Eminent Philosophers,Diogenes Laertius,210,,Gender,gemini_v20_sample60_round4,0,fact,5,Female semen sterility,Women,,Generative capacity of semen,,LESS,"That of the female is according to them sterile, being, as Sphaerus says, without tension, scanty, and watery.",,,"The text describes a biological rule within Stoic thought where women are denied the 'resource' of fertile/generative semen compared to the male equivalent, based on the criterion of gender.",,,5,Relates to biological reproduction and physical bodily functions.,3,Specific to a biological/medical theory of generation.,5,This is treated as a lifelong biological fact of the group.,5,Women is a biologically/sex-fixed group.,0,Female biological definition does not necessarily include 'sterile semen' in all theories.,9.0,gemini_v20_core_v1_random100,,,,down,
tlg0004.tlg001.perseus-eng2::92,tlg0004.tlg001.perseus-eng2,Lives of Eminent Philosophers,Diogenes Laertius,210,,Age,gemini_v20_sample60_round4,1,fact,5,Exemption from service for seniors,Minors,,Exemption from military cadet service,,LESS,"Eratosthenes tells us that by Hipparchia, of whom we shall presently speak, he had a son born to him named Pasicles, and after he had ceased to be a cadet on service, Crates took him to a brothel.",,,"The mention of a son 'ceasing to be a cadet' implies a mandatory period of service (ephebeia) tied to a specific age group (young men), contrasting with the lack of such obligation for children or older adults.",,,4,Military service is a major demand on bodily freedom/labor.,5,Mandatory service is a foundational duty/exemption axis.,3,Exemption holds after a specific age-related life stage ends.,5,Age groups (cadet age) are biologically fixed at a given time.,0,Military service is not the definition of 'minor' or 'son'.,7.0,gemini_v20_core_v1_random100,,,,up,
tlg0062.tlg026.perseus-eng4::8,tlg0062.tlg026.perseus-eng4,The Double Indictment,Lucian,155,,Citizenship,gemini_v20_sample60_round4,0,fact,5,Citizen access to lawcourts,Citizens,,Eligibility for jury service,,MORE,"Gentlemen, you will remain and hear this second case, and will receive a double fee.",,,"The text describes the standard practice of compensating citizens for jury service with a fee, confirming their exclusive right to participate in the judicial process of the polis.",,,3,Eligibility to serve on a jury is access to a civic role.,3,Specific but recurring access to the judicial system.,3,Eligibility is a status that lasts for a specific life stage.,4,Citizenship is a hard-to-change legal birth-status.,0,"Juror eligibility is a right, not the definition of a citizen.",9.0,gemini_v20_core_v1_random100,,,,up,
tlg0004.tlg001.perseus-eng2::34,tlg0004.tlg001.perseus-eng2,Lives of Eminent Philosophers,Diogenes Laertius,210,,Religion|Citizenship,gemini_v20_sample60_round4,1,fact,5,Citizen obligation to state gods,Citizens,,Right to introduce new divinities,,LESS,"Socrates is guilty of refusing to recognize the gods recognized by the state, and of introducing other new divinities. He is also guilty of corrupting the youth. The penalty demanded is death.",,,The official indictment recorded in the text shows a legal rule in Athens prohibiting citizens from substituting state-recognized gods with new ones upon pain of death.,,,5,The resource is life itself (protection from execution).,5,The right to introduce/refuse gods is foundational to legal personhood.,5,The penalty (death) is a permanent structural loss.,4,Citizenship is a structural legal birth-status.,0,Citizenship does not definitionally include an obligation to state gods.,10.0,gemini_v20_core_v1_random100,,,,up,
tlg0026.tlg001.perseus-eng2::26,tlg0026.tlg001.perseus-eng2,Against Timarchus,Aeschines,-354,,Citizenship,gemini_v20_sample60_round4,0,fact,5,Audit of outgoing magistrates,Citizens,,Accountability of public officials,,MORE,"The Athenian constitution provided for a rigorous system of accounting by all public officers at the close of their year of office. Not only their handling of public funds, but every official act, was passed upon by a board of state auditors (Λογισταί).",,,The passage describes the legal requirement for all public officials to undergo a mandatory audit (logistai) upon leaving office to ensure financial and behavioral accountability.,,,3,Legal audits of officials produce tangible outcomes like fines or exemptions.,4,Foundational constitutional check across all public offices.,2,The audit occurs once at the close of an office term.,2,"Public officer is a temporary, term-limited role.",0,Holding office does not inherently define undergoing an audit (though it was law).,10.0,gemini_v20_core_v1_random100,,,,up,
tlg0007.tlg082.perseus-eng3::5,tlg0007.tlg082.perseus-eng3,Sayings of Spartans,Plutarch,75,,Gender,gemini_v20_sample60_round4,1,fact,5,Female exercise requirement,Women,,Access to physical training,,MORE,"When someone else desired to know why he instituted strenuous exercise for the bodies of the maidens in races and wrestling and throwing the discus and javelin, he said, So that the implanted stock of their offspring... may attain a noble growth.",,,"Lycurgus is stated to have created a rule granting Spartan women (maidens) access to the gymnasium and athletic training, a resource often restricted to men in other Greek societies.",,,3,Access to athletic training involves use of facilities and physical development.,3,Specific to the institution of the gymnasium and athletic festivals.,3,Bounded to the life stage of 'maidens' (pre-marriage or youth).,5,Gender is biologically fixed.,0,Being a woman has no conceptual link to wrestling or discus throwing.,9.0,gemini_v20_core_v1_random100,,,,up,
tlg0014.tlg001.perseus-eng2::1,tlg0014.tlg001.perseus-eng2,First Olynthiac,Demosthenes,-348,,Citizenship,gemini_v20_sample60_round4,0,fact,5,Citizen assembly voting,Citizens,,Right to vote in the Ekklesia,,MORE,"For not only if someone comes forward with a well-considered plan, could you hear and accept it, but also I count it part of your good fortune that more than one speaker may be inspired with suitable suggestions on the spur of the moment, so that out of the multitude of proposals the choice of the best should not be difficult. My own idea would be to vote an expedition at once, to make instant preparation for its dispatch, thus avoiding our previous blunder, and to send ambassadors to state our intentions and watch events.",,,"The text is an address to the Athenian assembly where citizens exercise their right to hear advice, deliberate on policy, and vote on military expeditions and the dispatch of ambassadors.",,,4,The power to vote on war and ambassadors is a concrete political right with material effects.,5,Foundational societal axis: political personhood and sovereignty.,5,The right to vote in the assembly is a lifelong citizen right.,4,Citizenship is a birth-status.,0,The group definition (citizen) does not tautologically define the 'vote'.,10.0,gemini_v20_core_v1_random100,,,,up,
