archetype	region	period	resource_granular	n_more	n_less	broad_less	exc_groups	explanation
citizen_female	Classical Athens	Classical (500–360 BCE)	Inheriting property	1	1	1		genuine/unexplained
citizen_female	Classical Athens	Classical (500–360 BCE)	Right to engage in business	1	1	1		genuine/unexplained
citizen_male	Classical Athens	Classical (500–360 BCE)	Deliberative authority	1	1	1		genuine/unexplained
citizen_male	Classical Athens	Classical (500–360 BCE)	Protection from execution without trial	3	3	3		genuine/unexplained
citizen_male	Classical Athens	Classical (500–360 BCE)	Right of residence	1	1	1		genuine/unexplained
citizen_male	Classical Athens	Classical (500–360 BCE)	Testifying in court	1	1	1		genuine/unexplained
citizen_male	Classical Athens	Late Classical (354–165 BCE)	Exemption from military service	1	1	1		genuine/unexplained
citizen_male	Classical Athens	Late Classical (354–165 BCE)	Participation in sacred rites	1	1	1		genuine/unexplained
citizen_male	Classical Athens	Late Classical (354–165 BCE)	Right to engage in business	1	1	1		genuine/unexplained
citizen_male	Classical Athens	Late Classical (354–165 BCE)	Speaking in the assembly	7	8	7	Men who have prostituted themselves	atimia/conduct
citizen_male	Second Temple Judea	Hellenistic & Early Roman (165 BCE – 105 CE)	Participation in sacred rites	1	1	1		genuine/unexplained
foreigner	Classical Athens	Classical (500–360 BCE)	Eligibility for public office	1	1	1		genuine/unexplained
foreigner	Classical Athens	Late Classical (354–165 BCE)	Exemption from taxes	1	1	1		genuine/unexplained
foreigner	Classical Athens	Late Classical (354–165 BCE)	Right to a trial	1	1	1		genuine/unexplained
foreigner	Middle Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Personal liberty	1	1	1		genuine/unexplained
slave	Classical Athens	Late Classical (354–165 BCE)	Protection from private assault	1	1	1		genuine/unexplained
