work_name,author,impact_year,polity,criteria,sampled_for,is_contemporary,verbatim_type,criterion_label,in_group,out_group,resource,resource_std,speaker,verbatim,matched_keywords,extraction_method,extraction_cost_usd,prompt_tokens,completion_tokens,rule_uid,file_id,rule_category,reasoning,group_generality,generality_reasoning,confidence,factuality,resource_materiality,materiality_reasoning,resource_generality,resource_generality_reasoning,group_immutability,immutability_reasoning
,Andocides,-500,,Age,Age,1,opinion,Military service exemption for youth,young people,,Exemption from active combat,,MORE,"[§24] [22] ...that is why our old men fight our battles, while our young men make speeches— they take Alcibiades as their model",Military service exemption for youth,gemini_v19_batch2,,,,tlg0027.tlg004.perseus-eng2#15,tlg0027.tlg004.perseus-eng2,,"The passage suggests a breakdown in the traditional rule where young men are the primary combatants, noting that currently, old men are fighting while young men stay in the city.",5,Canonical societal group; the author describes a contemporary shift in social roles.,7.0,4,4,Exemption from military service has direct material effect on personal safety and livelihood.,3,Exemption from active combat is a specific but recurring protection.,5,"Age is a biologically fixed trait, strictly immutable."
The Clouds,Aristophanes,-409,,Age,Age,1,fact,Seniority seat preference,old people,,Right to prioritized seating,,MORE,"[§31] ...and to rise up from seats before your seniors when they approach, and not to behave ill toward your parents, and to do nothing else that is base.",Seniority seat preference,gemini_v19_batch2,,,,tlg0019.tlg003.perseus-eng2#36,tlg0019.tlg003.perseus-eng2,,"The text describes a societal norm where younger people must yield their seats to older people, indicating a resource (priority seating) granted to the elderly.",5,The group 'old people' is a canonical societal group; the author describes a contemporary social norm.,10.0,3,2,Prioritized seating is a minor social privilege with weak material payoff.,3,Right to prioritized seating is a specific but recurring social privilege.,3,"Old age is a life stage, changeable over time, but a durable social identity."
The Clouds,Aristophanes,-409,,Age,Age,1,fact,Elder immunity from physical abuse,old people,,Protection from corporal punishment,,MORE,"[§57] Strepsiades. It is nowhere ordained by law that a father should suffer this. ...Phidippides. Why then is it less lawful for me also in turn to propose henceforth a new law for the sons, that they should beat their fathers in turn?",Elder immunity from physical abuse,gemini_v19_batch2,,,,tlg0019.tlg003.perseus-eng2#52,tlg0019.tlg003.perseus-eng2,,"The character Phidippides attempts to dismantle an existing societal and legal norm where elderly fathers are protected from being beaten by their sons, arguing for a 'new law' to replace the established one.",5,The group 'old people' is a canonical societal group; the author describes a contemporary challenge to their immunity.,9.0,3,5,Protection from corporal punishment is a fundamental bodily entitlement.,4,Protection from corporal punishment is a major recognizable right spanning many situations.,3,"Old age is a life stage, changeable over time, but a durable social identity."
On the Natural Faculties,Galen,164,,Age,Age,1,fact,Elderly humor accumulation,old people,,Protection from phlegm accumulation,,LESS,"[§28] Thus, the white-coloured substance which everyone else calls phlegm, and which Prodicus calls blenna [mucus], is the well-known cold, moist humour which collects mostly in old people and in those who have been chilled in some way...",Elderly humor accumulation,gemini_v19_batch2,,,,tlg0057.tlg010.perseus-eng2#43,tlg0057.tlg010.perseus-eng2,,"Galen describes a physiological rule where the 'cold, moist' humor (phlegm/mucus) specifically accumulates in individuals based on their age (the elderly), contrasted with younger people or those in their 'prime'.",5,Canonical age group; the rule describes a timeless physiological process.,9.0,3,5,Protection from phlegm accumulation directly impacts bodily health.,2,Protection from phlegm accumulation is specific to a particular bodily humor.,5,"Age is a biologically fixed trait, strictly immutable."
Antidosis,Isocrates,-400,,Age,Age,1,fact,Youthful self-governance requirements,young men,,Right to govern one's own thoughts,,LESS,"[§290] namely, that if one is to govern his youth rightly and worthily and make the proper start in life, he must give more heed to himself than to his possessions, he must not hasten and seek to rule over others before he has found a master to direct his own thoughts.",Youthful self-governance requirements,gemini_v19_batch2,,,,tlg0010.tlg019.perseus-eng2#41,tlg0010.tlg019.perseus-eng2,,The societal norm described requires young men to submit to a 'master' (teacher) before they are permitted the resource of independent action or the right to lead others.,5,The group is a canonical age category; the author describes a contemporary societal expectation for self-governance.,8.0,4,1,"Right to govern one's own thoughts is an abstract, internal capacity.",4,Right to govern one's own thoughts is a broad category of personal autonomy.,5,"Age is a biologically fixed trait, strictly immutable."
Nicomachean Ethics,Aristotle,-348,,Citizenship,Citizenship,1,fact,State-mandated moral training for citizens,Citizens,,Training in habits of right action,,MORE,"[§174] This truth is attested by the experience of states: lawgivers make the citizens good by training them in habits of right action—this is the aim of all legislation, and if it fails to do this it is a failure; this is what distinguishes a good form of constitution from a bad one.",State-mandated moral training for citizens,gemini_v19_batch2,,,,tlg0086.tlg010.perseus-eng2#26,tlg0086.tlg010.perseus-eng2,,Aristotle describes a general political rule of Greek states where the law and the constitution are designed to provide citizens with moral training throughhabituation.,5,Canonical societal group; Aristotle describes a general principle of statecraft in his time.,10.0,3,3,Training in habits of right action is a social practice with tangible outcomes.,4,Training in habits of right action is a broad category of right.,4,"Citizenship is a legal status, very hard to change, requiring naturalisation or exile."
Politics,Aristotle,-348,,Citizenship,Citizenship,1,fact,Enslavement of conquered foreigners,Foreigners,,Protection from enslavement,,LESS,"[§8] for there is also such a thing as a slave or a man that is in slavery by law, for the law is a sort of agreement under which the things conquered in war are said to belong to their conquerors. | [§8] Therefore they do not mean to assert that Greeks themselves if taken prisoners are slaves, but that barbarians are.",Enslavement of conquered foreigners,gemini_v19_batch2,,,,tlg0086.tlg035.perseus-eng2#15,tlg0086.tlg035.perseus-eng2,,"The text describes a legal convention where non-Greeks (barbarians) captured in war are treated as property (slaves), a rule from which Greeks seek to exempt themselves.",5,Canonical societal group; Aristotle describes a contemporary legal convention for enslavement.,9.0,3,5,Protection from enslavement is a fundamental bodily entitlement and freedom from being property.,4,Protection from enslavement is a major recognizable right.,4,"Being a foreigner subject to enslavement is a legal/structural status, very hard to change."
Politics,Aristotle,-348,,Citizenship,Citizenship,1,fact,Citizen right to public accounting,Citizens,,Right to inspect public funds,,MORE,"[§135] and also rendering account of receipts and expenditure, as some tyrants have done already （for this careful management would make a ruler seem a steward of the state and not a tyrant).",Citizen right to public accounting,gemini_v19_batch2,,,,tlg0086.tlg035.perseus-eng2#229,tlg0086.tlg035.perseus-eng2,,"As a rule for becoming 'more regal,' Aristotle suggests the tyrant provide accounts of public money to the citizens, treating them as stakeholders rather than subjects of a private estate.",5,The group 'Citizens' is a canonical societal group; Aristotle describes contemporary advice for rulers.,8.0,3,4,Right to inspect public funds is a concrete legal right with direct material effect.,3,Right to inspect public funds is a specific but broadly applicable legal protection.,4,"Citizenship is a legal/structural birth-status, very hard to change."
Epistle of Ignatius to the Trallians,Ignatius of Antioch,70,,Citizenship,Citizenship,1,fact,Christian traveler refreshment requirement,Foreigners,,Right to hospitality and support,,MORE,[§199] [2] Concerning those who have preceded me from Syria to Rome to the glory of God... it is right for you to refresh them in every way.,Christian traveler refreshment requirement,gemini_v19_batch2,,,,tlg1443.tlg001.perseus-eng1#31,tlg1443.tlg001.perseus-eng1,,The text establishes a rule of conduct for the Roman church to provide 'refreshment' (support/hospitality) to foreign travelers ('those who have preceded me from Syria') on the basis of their shared religious identity.,5,The group 'Foreigners' is a canonical societal group; the rule describes a contemporary social obligation.,8.0,3,3,Right to hospitality and support provides tangible benefits like food and shelter.,3,Right to hospitality and support is a specific but broadly applicable social protection.,3,"Foreigners (travelers) is a status that can change, but is a durable social identity while in that state."
,New Testament,100,,Citizenship,Citizenship,1,fact,Foreigner restriction on new teachings,Foreigners,,Right to introduce new deities,,LESS,"[§633] Others said, ""He seems to be advocating foreign demons,"" because he preached Jesus and the resurrection. [§634] They took hold of him, and brought him to the Areopagus, saying, ""May we know what this new teaching is, which is spoken by you?""",Foreigner restriction on new teachings,gemini_v19_batch2,,,,tlg0031.tlg005.perseus-eng2#45,tlg0031.tlg005.perseus-eng2,,"In Athens, Paul (a newcomer) is detained and brought before a governing council (the Areopagus) to account for preaching 'foreign' deities, indicating that non-citizens did not have the unrestricted right to introduce new religious doctrines without official inquiry.",4,Broad societal group; the rule describes a contemporary restriction on religious innovation for foreigners.,8.0,3,3,Right to introduce new deities affects access to a social role/practice with tangible outcomes.,3,The right to introduce new deities is a specific but recurring religious freedom.,3,"Foreigner status is changeable with effort (e.g., naturalization), but durable."
