rule_uid,file_id,work_name,author,impact_year,polity,criteria,sampled_for,is_contemporary,verbatim_type,factuality,criterion_label,in_group,out_group,resource,resource_std,speaker,verbatim,matched_keywords,rule_category,reasoning,group_generality,generality_reasoning,resource_materiality,materiality_reasoning,resource_generality,resource_generality_reasoning,resource_persistence,persistence_reasoning,group_immutability,immutability_reasoning,tautological,tautology_reasoning,confidence,extraction_method,extraction_cost_usd,prompt_tokens,completion_tokens,vote,comment
tlg0086.tlg035.perseus-eng2::140,tlg0086.tlg035.perseus-eng2,Politics,Aristotle,-348,,Wealth / Properties|Citizenship,gemini_v20_sample60,0,fact,5,Wealthy exclusion from magistracies,The wealthy,,Eligibility for high office,,LESS,"And revolutions also take place from the ancestral form of democracy to one of the most modern kind; for where the magistracies are elective, but not on property-assessments, and the people elect, men ambitious of office by acting as popular leaders bring things to the point of the people’s being sovereign even over the laws.",,,"Aristotle identifies a rule in radical democracies where property requirements for office are removed, resulting in a loss of exclusive or guaranteed access to magistracies for the wealthy class.",,,4,Access to high office provides direct legal power and management of state wealth.,5,Eligibility for high office is a foundational axis of political organization.,5,The removal of property assessments is a permanent structural shift in law.,3,The wealthy are a durable social group based on property ownership.,0,"Exclusivity in office is a legal privilege, not a definition of being wealthy.",9,gemini_v20_core_v1,,,,up,"I need to make sure this verbaitl is used alos as a positive rights for citizens (becadu thet are mentionned), and also as propety owner more in the padt (because thyze are cited)"
tlg0086.tlg035.perseus-eng2::175,tlg0086.tlg035.perseus-eng2,Politics,Aristotle,-348,,Citizenship,gemini_v20_sample60,0,fact,5,Equal participation in executive governance,Citizens,,Eligibility for the archonship,,MORE,"the following institutions are democratic in character: election of officials by all from all; government of each by all, and of all by each in turn; election by lot either to all magistracies or to all that do not need experience and skill",,,"The text outlines the democratic rule that any citizen can potentially hold office through election or lottery, ensuring a rotation of power.",,,4,Access to magistracies permits control over state law and wealth.,4,Broad access to executive/administrative roles.,4,Eligibility lasts for the duration of adult citizenship.,4,Citizenship is a structural legal status.,0,Eligibility to be an archon is not the definition of citizenship.,10,gemini_v20_core_v1,,,,up,"the ressource is not clear here eve,n if the overall rule is alright"
tlg0062.tlg047.perseus-eng2::2,tlg0062.tlg047.perseus-eng2,The Eunuch,Lucian of Samosata,155,,Gender,gemini_v20_sample60,0,mixed,3,Male physical endowment for teaching,Men,,Eligibility for governance of boys,,MORE,"That was what the judges dwelt upon, and the point thenceforward at issue was whether the seal of approval should be set upon a eunuch who was proposing himself for a career in philosophy and requesting that the governance of boys be committed to him. One said that presence and a fine physical endowment should be among the attributes of a philosopher, and that above all else he should have a long beard that would inspire confidence in those who visited him and sought to become his pupils.",,,"The judges' debate establishes that the role of instructing boys (the governance of boys) required specific masculine physical traits, specifically a beard and perceived 'manhood,' which were viewed as essential for the authority of the position.",,,3,The governance of boys is a social role involving authority and career.,2,Scoped to the specific profession of teaching boys.,4,Eligibility lasts throughout a male adult's professional life.,5,Sexual/physical gender is biologically fixed.,0,Instruction of boys is not part of the definition of 'man'.,8,gemini_v20_core_v1,,,,down,
tlg0062.tlg034.perseus-eng2::4,tlg0062.tlg034.perseus-eng2,"Anacharsis, or Athletics",Lucian of Samosata,155,,Citizenship,gemini_v20_sample60,1,fact,5,Citizen right to legal counsel,Citizens,,Right to professional legal representation,,MORE,"Whenever it goes up to the Areopagus and holds a sitting to judge a case of manslaughter or premeditated wounding or arson, an opportunity to be heard is given to each party to the case, and the plaintiff and defendant plead in turn, either in person or through professional speakers whom they bring to the bar to plead in their behalf.",,,"Solon describes the standard operating procedure of the Areopagus court, where litigants have the established right to be represented by professional speakers (rhetoricians) rather than just representing themselves.",,,4,Legal representation is a concrete right with direct effects on material outcomes (trials).,3,Specific to the procedure of the Areopagus court.,4,Persistent right available in any relevant legal case.,4,Citizenship status determines legal standing; hard to change.,0,The definition of citizen does not automatically include legal counsel.,10,gemini_v20_core_v1,,,,up,"the reasoning is strange,this is not Solon ? or how do we know if it is Solon?"
tlg0086.tlg035.perseus-eng2::194,tlg0086.tlg035.perseus-eng2,Politics,Aristotle,-348,,Ethnicity,gemini_v20_sample60,0,fact,4,Scythian festival drinking restriction,Scythians,,Access to communal drinking cups,,LESS,Among Scythian tribes at a certain festival a cup was carried round from which a man that had not killed an enemy was not allowed to drink.,,,This is a social/customary rule within Scythian society where access to a specific communal resource (the festival cup) is denied to those who have not fulfilled a specific behavioral requirement (killing an enemy).,,,2,Participation in a ceremonial cup-drinking is symbolic/ritualistic.,1,Tied to a single festival and a specific behavioral condition.,2,Brief episode during a recurring festival.,5,Refers to Scythian tribes as an ethnic/national group.,0,Access to a cup is not the definition of a Scythian.,9,gemini_v20_core_v1,,,,down,
tlg0007.tlg118.perseus-eng3::0,tlg0007.tlg118.perseus-eng3,Precepts of Statecraft,Plutarch,75,,Ethnicity,gemini_v20_sample60,0,fact,5,Greek exclusion from large-scale statecraft,Greeks,,Access to high-level imperial governance,,LESS,"The exercise of statecraft on a large scale was virtually limited to Romans. The ancient Greek city-states retained, however, their local self-government, subject to the supervision of the proconsul; they could enter into agreements with each other, and could send envoys to Rome if occasion arose. A man could, therefore, find useful and honourable occupation in public life, as Plutarch himself did.",,,"The text describes a systematic restriction where 'large scale' statecraft is reserved for Romans, while Greeks (the group to which the author and the recipient belong) are limited to local administrative roles under Roman supervision (the proconsul).",,,3,High-level governance involves tangible administrative power and resource control.,4,Imperial statecraft is a broad category of political power.,4,Exclusion from high office is a durable career-long constraint.,5,Greek ethnicity is a birth-fixed biological/cultural trait.,0,Ethnicity does not inherently define level of statecraft involvement.,9,gemini_v20_core_v1,,,,up,
tlg0059.tlg008.perseus-eng2::12,tlg0059.tlg008.perseus-eng2,Statesman,Plato,-393,,Education,gemini_v20_sample60,0,fact,4,Dialectical training for students,Education,,Access to advanced dialectical training,,MORE,"Suppose we were asked the following question about a group of pupils learning their letters: When a pupil is asked of what letters some word or other composed, is the question asked for the sake of the one particular word before him or rather to make him more learned about all words in the lesson? [...] And how about our own investigation of the statesman? Has it been undertaken for the sake of his particular subject or rather to make us better thinkers about all subjects? [...] By far our first and most important object should be to exalt the method itself of ability to divide by classes, and therefore, if a discourse, even though it be very long, makes the hearer better able to discover the truth, we should accept it eagerly.",,,Plato describes the educational norm of the Academy where the primary resource is not the specific knowledge of a subject (like weaving or statesmanship) but the development of the 'ability to divide by classes' (dialectic). The 'pupils' are the group receiving this methodological resource to improve their overall reasoning capacity.,,,3,Advanced dialectical training/methodology is a significant intellectual resource/schooling.,3,Specific to a particular high-level educational method.,5,Training results in a permanent lifelong cognitive ability.,3,Pupils are in a changeable life-stage (learning).,0,Being a pupil does not automatically grant dialectical skill.,9,gemini_v20_core_v1,,,,down,Eucation is not a group
tlg0062.tlg034.perseus-eng2::2,tlg0062.tlg034.perseus-eng2,"Anacharsis, or Athletics",Lucian of Samosata,155,,Citizenship,gemini_v20_sample60,1,fact,5,State-sponsored athletic competition prizes,Citizens,,Eligibility for the archonship,,MORE,"At the Olympic games, a wreath made of wild olive, at the Isthmian one of pine, and at the Nemean one of parsley, at the Pythian some of the apples sacred to Apollo, and with us at the Panathenaea, the oil from the holy olive. . . We have other such athletic exercises, too—boxing, throwing the discus, and jumping—in all of which we hold contests, and the winner is considered best in his class and carries off the prizes.",,,"Solon describes the formal prize system of the Greek games. While the resource is phrased as specific prizes (oil, wreaths), the broader context is the right of citizens to compete for state-sanctioned honors and material rewards (holy oil).",,,5,Prizes like olive oil (Panathenaea) were significant material goods in antiquity.,2,Tied to specific festivals and athletic competitions.,2,The outcome is a single occasion (winning a contest/prize).,4,Citizenship is a hard-to-change legal birth-status.,0,Winning prizes is not part of the definition of citizenship.,9,gemini_v20_core_v1,,,,down,"the reasoning does not look food, andenither the ressource"
tlg0014.tlg059.perseus-eng2::9,tlg0014.tlg059.perseus-eng2,Apollodorus Against Neaera,Demosthenes,-348,,Nobility|Citizenship|Gender,gemini_v20_sample60,0,fact,5,Queenly requirement for Athenian birth,Wife of the King-Archon,,Eligibility for priestly office (Basilissa),,MORE,"they established a law that his wife should be of Athenian birth, and that he should marry a virgin who had never known another man, to the end that after the custom of our fathers the sacred rites that none may name may be celebrated on the city’s behalf",,,The most sacred religious rites performed by the Basilissa (wife of the King-Archon) were strictly reserved for women who were both citizens by birth and virgins at marriage.,,,3,Highest priestly office provides elite social status and material benefits.,2,Tied to a very specific institutional role (Basilissa).,4,The eligibility for and duration of priesthood was structural.,4,A wife of a specific official; citizenship is birth-fixed.,0,Being a 'wife' or 'citizen' does not define priestly qualifications.,10,gemini_v20_core_v1,,,,down,"no, this is about the the ""he""? There is not enought citnent here"
tlg0007.tlg118.perseus-eng3::3,tlg0007.tlg118.perseus-eng3,Precepts of Statecraft,Plutarch,75,,Citizenship,gemini_v20_sample60,0,fact,4,Citizen assembly voting,Citizens,,Right to vote in the Ekklesia,,MORE,"Take care, Pericles; you are ruling free men, you are ruling Greeks, Athenian citizens, but you must also say to yourself: You who rule are a subject, ruling a State controlled by proconsuls, the agents of Caesar; these are not the spearmen of the plain, nor is this ancient Sardis, nor the famed Lydian power. You should arrange your cloak more carefully and from the office of the generals keep your eyes upon the orators’ platform, and not have great pride or confidence in your crown, since you see the boots of Roman soldiers just above your head.",,,"Plutarch reminds the statesman that he deals with 'Athenian citizens' who are 'free men', implying their inherent right to be governed as a collective with political participation, even under the shadow of Roman authority.",,,4,Voting in the assembly is a concrete legal right with material effects.,5,Assembly voting is a foundational axis of Greek political life.,5,Citizen voting rights are generally lifelong for free adult males.,4,Status as 'Athenian citizens' and 'free men' is a legal birth-status.,0,Being 'free' or 'Greek' does not automatically entail specific assembly rights.,8,gemini_v20_core_v1,,,,down,the concept of Right to vote in the Ekklesia is not diureclty mentionned in the verbatim
