rule_id	c_sex	c_sex_evidence	c_age	c_age_evidence	c_ownership_status	c_ownership_status_evidence	c_ancestry	c_ancestry_evidence	c_residence	c_residence_evidence	c_wealth	c_wealth_evidence	c_occupation	c_occupation_evidence	emic_label_in_text	criterion_reasoning_text
tlg0007.tlg118.perseus-eng3::0	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	native	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Romans	The verbatim limits statecraft to 'Romans', which implies native ancestry; no other criteria are explicitly named or lexically required.
tlg0007.tlg118.perseus-eng3::1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	foreign	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Greek city-states	The verbatim refers to 'Greek city-states' in the context of the Roman Empire, implying foreign (non-Roman) ancestry for the group members.
tlg0007.tlg118.perseus-eng3::2	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	resident	implied	high	implied	unspecified	unspecified	noble birth	'Noble birth' lexically presupposes high wealth/status; acting in 'your native State' implies residence. Sex/age are not named.
tlg0007.tlg118.perseus-eng3::3	male	implied	unspecified	unspecified	free	stated	native	implied	resident	implied	unspecified	unspecified	unspecified	unspecified	free men, Greeks, Athenian citizens	The verbatim states 'free men' (sex=male, ownership=free) and 'Athenian citizens', which implies native ancestry and residence.
tlg0007.tlg118.perseus-eng3::5	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	those who are victorious	The verbatim uses general terms like 'those who are victorious' and does not constrain specific demographic axes.
tlg0007.tlg119.perseus-eng3::0	unspecified	unspecified	unspecified	unspecified	free	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	politeia (citizenship)	The term 'politeia' (citizenship) lexically presupposes free ownership status; other axes remain unspecified.
tlg0007.tlg119.perseus-eng3::2	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	colleagues who have equal power and honour	The verbatim describes 'colleagues' in an 'oligarchy', which does not explicitly name sex, age, or ancestry in this text segment.
tlg0014.tlg059.perseus-eng2::0	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	senate member	stated	senate member	The verbatim names the occupation 'senate member' (being one of its members); other demographic criteria are not stated.
tlg0014.tlg059.perseus-eng2::1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	the people	The verbatim refers broadly to 'the people' without specifying individual demographic criteria.
tlg0014.tlg059.perseus-eng2::2	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	owing thirty talents to the treasury	The verbatim describes the condition of state debt ('owing... to the treasury') but does not specify the debtor's gender, age, or ancestry.
tlg0014.tlg059.perseus-eng2::3	any	stated	adult	implied	free	implied	foreign	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	alien	The text names 'alien' (ancestry=foreign). It mentions both men and women as 'husband' or 'wife' (sex=any, age=adult implied, status=free implied).
tlg0014.tlg059.perseus-eng2::5	female	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	resident	stated	unspecified	unspecified	unspecified	unspecified	she	The verbatim uses 'she' (sex=female) and states she was 'eager to live at Athens' (residence=resident).
tlg0014.tlg059.perseus-eng2::6	female	implied	unspecified	unspecified	free	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	free woman	The verbatim explicitly labels the subject a 'free woman', stating both sex=female (implied) and ownership=free (stated).
tlg0014.tlg059.perseus-eng2::7	female	implied	adult	implied	free	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	wife	The word 'wife' lexically presupposes female sex, adult age, and free status; no other axes are named.
tlg0014.tlg059.perseus-eng2::8	female	implied	unspecified	unspecified	unspecified	unspecified	foreign	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	alien woman	The verbatim states 'alien woman', naming ancestry=foreign and implying sex=female.
