cell_sig	resource_meta	LESS	MORE	net	n_total	period3
*/*/*/*/*/*	Right to a legal trial	0.0	12.0	12.0	12.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Eligibility for public office	0.0	8.0	8.0	8.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Political power	3.0	4.0	1.0	7.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Protection from legal prosecution	3.0	3.0	0.0	6.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Protection from capital punishment	3.0	2.0	-1.0	5.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Access to religious rites	1.0	3.0	2.0	4.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to retain own earnings	0.0	4.0	4.0	4.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to retain property	2.0	2.0	0.0	4.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Exemption from military service	0.0	3.0	3.0	3.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Protection from corporal punishment	2.0	1.0	-1.0	3.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to address the assembly	2.0	1.0	-1.0	3.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Exemption from compulsory public financing	2.0	0.0	-2.0	2.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Protection from public libel	1.0	1.0	0.0	2.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to professional judgement	1.0	1.0	0.0	2.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to remuneration for office	0.0	2.0	2.0	2.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Access to the gymnasium	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Exemption from legal audit	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Exemption from manual labor	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Exemption from taxes	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to bear arms	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to bodily autonomy	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to dispose of property	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to free speech	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to freedom of movement	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to inherit property	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to reside in the city	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to vote in the Ekklesia	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/High	Exemption from compulsory public financing	3.0	0.0	-3.0	3.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/High	Right to retain property	2.0	0.0	-2.0	2.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/High	Access to the gymnasium	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/High	Eligibility for public office	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/High	Exemption from legal audit	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/High	Political power	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/High	Protection from public libel	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/High	Right to citizenship	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/High	Right to retain own earnings	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/High	Right to valid professional opinion	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/Low	Access to public honors	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/Low	Eligibility for public office	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/Low	Right to address the assembly	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/Low	Right to citizenship	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/Non resident/*	Protection from legal prosecution	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/Non resident/High	Right to retain property	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Access to public honors	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Protection from arbitrary banishment	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Protection from legal prosecution	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Right to a legal trial	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Right to address the assembly	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/*	Right to citizenship	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/Resident/High	Right to retain own earnings	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/Foreign/*/*	Right to a legal trial	2.0	2.0	0.0	4.0	P1: Classical Greek (500–360 BCE)
*/*/*/Foreign/*/*	Eligibility for public office	0.0	2.0	2.0	2.0	P1: Classical Greek (500–360 BCE)
*/*/*/Foreign/*/*	Political power	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/Foreign/Resident/*	Political power	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/Foreign/Resident/*	Right to a legal trial	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
