rule_id	perseus_author	perseus_title	period	source_type	source_type_description	rule	verbatim	reasoning	directionality	llm_confidence_in_answer	group	group_meta	resource	resource_meta	resource_type	rule_polity	rule_polity_reasoning	rule_date	rule_date_reasoning	resource_materiality	materiality_reasoning	resource_generality	generality_reasoning	resource_persistence	persistence_reasoning	group_immutability	immutability_reasoning	rule_contemporarity	contemporarity_reasoning	opinion_vs_fact	opinion_vs_fact_reasoning	tautology	tautology_reasoning
tlg0007.tlg118.perseus-eng3::0	Plutarch	Precepts of Statecraft	Hellenistic & Early Roman (165 BCE – 105 CE)	contemporary_treatise	Contemporary philosophical / political treatise implying the rule exists	Greek exclusion from large-scale statecraft	['The exercise of statecraft on a large scale was virtually limited to Romans. The ancient Greek city-states retained, however, their local self-government, subject to the supervision of the proconsul; they could enter into agreements with each other, and could send envoys to Rome if occasion arose. A man could, therefore, find useful and honourable occupation in public life, as Plutarch himself did.']	The text describes a systematic restriction where 'large scale' statecraft is reserved for Romans, while Greeks (the group to which the author and the recipient belong) are limited to local administrative roles under Roman supervision (the proconsul).	LESS	9.0	Greeks	Greeks	Access to high-level imperial governance	Political power	Political Power	Roman Empire	Plutarch writes about the contemporary reality where Greeks are subjects of the Roman Empire and excluded from imperial governance.	100	Plutarch wrote 'Precepts of Statecraft' around 100 CE, during the peak of his literary and public career.	3	High-level governance involves tangible administrative power and resource control.	4	Imperial statecraft is a broad category of political power.	4	Exclusion from high office is a durable career-long constraint.	5	Greek ethnicity is a birth-fixed biological/cultural trait.	1	Plutarch describes the current Roman administrative reality of his time.	5	Verbatim states the limitation as a plain historical/political fact.	0	Ethnicity does not inherently define level of statecraft involvement.
tlg0007.tlg118.perseus-eng3::1	Plutarch	Precepts of Statecraft	Hellenistic & Early Roman (165 BCE – 105 CE)	contemporary_treatise	Contemporary philosophical / political treatise implying the rule exists	City-state local self-government	['The ancient Greek city-states retained, however, their local self-government, subject to the supervision of the proconsul; they could enter into agreements with each other, and could send envoys to Rome if occasion arose.']	Under Roman rule, Greek citizens retained specific legal rights to manage local affairs, enter treaties with other cities, and petition the central Roman authority through envoys.	MORE	10.0	Citizens of Greek city-states	Citizens;Greeks	Right to local self-government	Political power	Political Power	Roman Empire	The text describes the specific administrative autonomy granted to Greek cities while under the authority of the Roman proconsul.	100	Dated to Plutarch's floruit around 100 CE, reflecting the administrative status of Greek cities in his time.	4	Local self-government includes managing funds, treaties, and local law.	4	Covers a wide range of local administrative and legal powers.	5	A city's status and its citizens' collective rights are structural and lifelong.	4	Citizenship in a Greek city-state is a rigid legal birth-status.	1	Refers to the existing status of Greek cities under the Roman Empire.	5	Describes the retention of local rights as a recognized legal fact.	0	Being a citizen of a city does not inherently guarantee self-government under empire.
tlg0007.tlg118.perseus-eng3::2	Plutarch	Precepts of Statecraft	Hellenistic & Early Roman (165 BCE – 105 CE)	contemporary_treatise	Contemporary philosophical / political treatise implying the rule exists	Noble access to magistracies	['Therefore, seeing that the desire has been aroused in you a Speaker of speeches to be, and also a doer of actions in your native State, as befits your noble birth, since you have not time to gain an understanding of a philosopher’s life in the open among affairs of State and public conflicts or to be a spectator of examples worked out in deed, not merely in word, and since you ask for some precepts of statecraft, I think it is not at all fitting that I should refuse']	Plutarch addresses Menemachus, stating that public leadership and political action are appropriate specifically due to his 'noble birth', indicating that high lineage grants the right and expectation to participate in statecraft.	MORE	9.0	Nobles	Nobles	Eligibility for the archonship	Eligibility for public office	Political Power	Roman Empire	Plutarch discusses the civic duties of a contemporary Greek aristocrat (Menemachus) within the Roman provincial system.	100	The text is an address to a contemporary of Plutarch, written circa 100 CE.	3	Archonship grants access to social roles with material outcomes.	3	Specific to the role of magistrate or archon in the city.	4	Elite status and eligibility for office are typically lifelong.	5	'Noble birth' is a strictly immutable lineage-based trait.	1	Plutarch addresses a living recipient about his current political role.	4	Frames eligibility as a matter of birthright, implying a social/legal fact.	0	Nobility does not always formally mandate political office in all systems.
tlg0007.tlg118.perseus-eng3::3	Plutarch	Precepts of Statecraft	Hellenistic & Early Roman (165 BCE – 105 CE)	contemporary_treatise	Contemporary philosophical / political treatise implying the rule exists	Citizen assembly voting	['Take care, Pericles; you are ruling free men, you are ruling Greeks, Athenian citizens, but you must also say to yourself: You who rule are a subject, ruling a State controlled by proconsuls, the agents of Caesar; these are not the spearmen of the plain, nor is this ancient Sardis, nor the famed Lydian power. You should arrange your cloak more carefully and from the office of the generals keep your eyes upon the orators’ platform, and not have great pride or confidence in your crown, since you see the boots of Roman soldiers just above your head.']	Plutarch reminds the statesman that he deals with 'Athenian citizens' who are 'free men', implying their inherent right to be governed as a collective with political participation, even under the shadow of Roman authority.	MORE	8.0	Citizens	Citizens	Right to vote in the Ekklesia	Right to vote in the Ekklesia	Political Power	Roman Empire	The author addresses the governance of contemporary Athenian citizens subject to Roman proconsuls and 'the boots of Roman soldiers'.	100	Plutarch writes this advice to a contemporary politician around 100 CE.	4	Voting in the assembly is a concrete legal right with material effects.	5	Assembly voting is a foundational axis of Greek political life.	5	Citizen voting rights are generally lifelong for free adult males.	4	Status as 'Athenian citizens' and 'free men' is a legal birth-status.	1	Refers to the current population of Athens ruled by Roman agents.	4	While hortatory, it identifies the group as 'free men' with specific status.	0	Being 'free' or 'Greek' does not automatically entail specific assembly rights.
tlg0007.tlg118.perseus-eng3::5	Plutarch	Precepts of Statecraft	Hellenistic & Early Roman (165 BCE – 105 CE)	contemporary_treatise	Contemporary philosophical / political treatise implying the rule exists	Proconsular annulment of local power	['For what dominion, what glory is there for those who are victorious? What sort of power is it which a small edict of a proconsul may annul or transfer to another man and which, even if it last, has nothing in it seriously worth while?']	Plutarch explains that any local political power or decision gained by citizens can be immediately annulled by a Roman proconsul's edict, showing a lack of final legislative resource for the local group.	LESS	10.0	Citizens	Citizens	Legislative finality	Political power	Political Power	Roman Empire	This describes the legal hierarchy where a Roman proconsul's edict overrides local Greek political decisions.	100	Dated to Plutarch's career around 100 CE, describing the contemporary relationship between Roman power and Greek local rule.	4	Proconsular edicts have direct force of law over property and status.	4	Describes the broad power of imperial edicts over local law.	4	An annulment has a permanent or long-term effect on a legal measure.	4	Refers to citizens under Roman dominion, a legal status.	1	Describes the current legal hierarchy in the Roman East.	4	Asserted as a factual reality of imperial power dynamics.	0	Local citizenship does not conceptually define imperial veto power.
tlg0007.tlg119.perseus-eng3::0	Plutarch	On Monarchy, Democracy, and Oligrachy	Hellenistic & Early Roman (165 BCE – 105 CE)	contemporary_treatise	Contemporary philosophical / political treatise implying the rule exists	Granting of citizenship by state vote	['Now the word politeia (citizenship) is defined also as having a share of the rights in a State, as we say the Megarians voted Alexander the politeia (citizenship); and when he made fun of their eagerness, they told him that up to that time they had conferred citizenship upon Heracles only and now upon himself.']	The text describes citizenship (politeia) as a concrete 'share of the rights in a State' that can be granted to individuals (like Alexander) through a formal vote by the existing citizen body (the Megarians). This defines the process for an out-group member to gain the resource of citizenship.	MORE	10.0	Foreigners	Foreigners	Right to hold citizenship	Right to citizenship	Legal Standing; Political Power	Hellenistic Greece	The author cites an anecdote about the Megarians granting citizenship to Alexander the Great to define the concept of citizenship.	-330	The rule describes a specific historical action taken by Megara during the career of Alexander the Great, circa -330.	4	Citizenship is a bundle of material rights (property, legal standing).	5	Citizenship is a foundational societal axis.	5	Once granted, citizenship is typically lifelong.	3	Foreigners can acquire citizenship via state vote (naturalisation).	1	Plutarch uses the Megarian example to define the concept in his time.	5	Provides a clear definition of 'politeia' and a specific historical/legal mechanism.	0	Being a 'foreigner' does not define the mechanism of gaining citizenship.
tlg0007.tlg119.perseus-eng3::2	Plutarch	On Monarchy, Democracy, and Oligrachy	Hellenistic & Early Roman (165 BCE – 105 CE)	contemporary_treatise	Contemporary philosophical / political treatise implying the rule exists	Oligarchic equal power sharing	['in the same way the real statesman will manage successfully the oligarchy that Lycurgus established at Sparta, adapting to himself the colleagues who have equal power and honour and quietly forcing them to do his will']	In the description of the Spartan oligarchy established by Lycurgus, the author notes that the governing group (the colleagues/nobles) possesses equal power and honor by rule. While a statesman may try to influence them, the starting legal/normative position is one of shared, equal authority among the group.	MORE	9.0	Nobles	Nobles	Right to equal political power	Political power	Political Power	Classical Sparta	The text explicitly discusses the oligarchy established by Lycurgus at Sparta and the power sharing among peers.	-348	Though written later, it describes the traditional Spartan constitution viewed as an operative historical model; -348 is a representative classical date.	4	Equal power in an oligarchy includes control over state resources.	4	Broad sharing of political authority within the ruling class.	5	Spartan 'homoioi' status was lifelong and structural.	5	Spartan nobility/eligibility was strictly tied to birth and training.	0	Refers back to the Lycurgan establishment in Sparta's past.	4	Reported as a factual feature of the Spartan constitution.	0	Being a noble does not inherently imply equal power sharing.
tlg0014.tlg059.perseus-eng2::0	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	oration	Court speech or political oration invoking a specific extant law or procedure	Citizen right to propose legislation	['Apollodorus, being one of its members, brought forward in the senate a bill, and carried it as a preliminary decree to the assembly, proposing that the people should decide whether the funds remaining over from the state’s expenditure should be used for military purposes or for public spectacles.']	The text describes Apollodorus, a citizen and senator, exercising the legal right to propose a decree. This was a specific political resource tied to citizen status and selection for the senate.	MORE	10.0	Citizens	Citizens	Right to bring bills to the senate	Political power	Political Power	Classical Athens	Demosthenes describes a specific legislative action taken by a member of the Athenian senate.	-340	The speech 'Against Neaera' was delivered in the mid-4th century BCE, approximately -340.	4	Right to bring bills influences the allocation of state funds.	3	Specific to a particular legislative procedure.	4	The status of being a senator/citizen enabled recurring legislative action.	4	Citizen status in Athens was a legal birth-status.	1	Demosthenes is speaking about a contemporary legal action in Athens.	5	Verbatim describes a legal procedure as pure attested fact.	0	Being a citizen does not define the specific procedure of senate bills.
tlg0014.tlg059.perseus-eng2::1	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	oration	Court speech or political oration invoking a specific extant law or procedure	Liturgy and war tax obligation	['For the laws prescribed that, when there was war, the funds remaining over from state expenditures should be devoted to military purposes, and Apollodorus believed that the people ought to have power to do what they pleased with their own.']	The text explains the legal requirement that state surplus (theoric funds) be diverted to military needs during war, which directly relates to how the wealthy/state managed financial resources for public defense.	LESS	9.0	The wealthy	The wealthy	Exemption from state military financing	Exemption from compulsory public financing	Material Wealth	Classical Athens	This refers to the legal procedures for state funds and war taxes (eisphora) in 4th-century Athens.	-340	These statutes were invoked in a trial occurring around -340.	5	Allocation of state funds to military vs. spectacles is highly material.	4	Covers a broad category of state financial and military policy.	3	The application of this fiscal rule is triggered by periods of war.	3	The wealthy are defined by a changeable (though durable) wealth bracket.	1	Demosthenes refers to current Athenian laws on theoric funds.	5	States 'the laws prescribed' the fund allocation as a fact.	0	Being wealthy does not define the legislative allocation of state surpluses.
tlg0014.tlg059.perseus-eng2::2	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	oration	Court speech or political oration invoking a specific extant law or procedure	Disfranchisement for state debt	['He would not listen to us, but fixed the fine at fifteen talents in order to deprive Apollodorus and his children of their civic rights, and to bring my sister and all of us into extremest distress and utter destitution. For the property of Apollodorus did not amount to as much as three talents to enable him to pay in full a fine of such magnitude, yet if it were not paid by the ninth prytany the fine would have been doubled and Apollodorus would have been inscribed as owing thirty talents to the treasury, all the property that he has would have been scheduled as belonging to the state.']	Under Athenian law, a person who owed a debt to the treasury was stripped of their 'atimia' (civic rights) and their property was liable for confiscation. This is a clear legal rule where the resource of civic standing is lost based on the criterion of debt status.	LESS	10.0	State debtors	The poor	Possession of civic rights	Right to citizenship	Legal Standing; Political Power	Classical Athens	The rule describes 'atimia' (disfranchisement) for debtors to the Athenian treasury.	-340	This is a contemporary legal consequence described in Demosthenes’ speech around -340.	4	Loss of civic rights (atimia) excludes one from all legal protections.	5	Civic rights are a foundational societal axis.	4	Atimia lasts until the debt is paid, often effectively permanent.	2	State debtors is a status acquired through a specific legal event (fine).	1	Describes the active legal situation of the speaker's opponent.	5	States the legal consequences of debt (atimia, confiscation) as plain fact.	0	Debt does not conceptually mean 'loss of rights' in all societies.
