rule_uid	file_id	criteria	rule	group	resource	directionality	verbatim	contemporary	factuality	reasoning	confidence	author	sampled_for
tlg0019.tlg003.perseus-eng2#25	tlg0019.tlg003.perseus-eng2	Age	Paternal right of eviction	Old people	Right to evict adult children	MORE	[§24] Strepsiades. Well, I have a fine, handsome son, but he is not willing to learn. What must I do? Chorus. But do you permit him? Strepsiades. Yes, for he is robust in body, and in good health... I will go for him, and if he be not willing, I will certainly drive him from my house.	1	1	Strepsiades, as the patriarch/father, asserts the legal or social right to physically expel an adult son from the family home if the son refuses to obey his commands.	9.0	Aristophanes	Age
tlg0019.tlg003.perseus-eng2#29	tlg0019.tlg003.perseus-eng2	Age	Youth silence before elders	Minors	Right to speak	LESS	[§27] In the first place it was incumbent that no one should hear the voice of a boy uttering a syllable; and next, that those from the same quarter of the town should march in good order through the streets to the school of the harp-master.	0	1	The 'Just Cause' describes the traditional Athenian educational norms of the previous generation, where boys were strictly forbidden from speaking in public or in the presence of adults.	9.0	Aristophanes	Age
tlg0062.tlg068.perseus-eng4#24	tlg0062.tlg068.perseus-eng4	Age	Parental right to corporal punishment	Young people	Protection from corporal punishment	LESS	[§69] You must do as your father bids you, like a good boy. Run along now to Argos and Boeotia; don’t loiter, or you will get a whipping.	1	1	Maia warns Hermes that failing to obey his father's orders will result in a whipping, reflecting the societal norm where children/sons are subject to physical discipline by parents.	9.0	Lucian	Age
tlg0031.tlg005.perseus-eng2#1	tlg0031.tlg005.perseus-eng2	Age	Prophetic capacity of youth	Young people	Access to divine visions	MORE	[§45] 'It will be in the last days, says God, I will pour out my Spirit on all flesh. Your sons and your daughters will prophesy. Your young men will see visions.'	1	0	The text cites a prophetic rule where divine inspiration (visions) is specifically granted to the young as a distinct group within the community.	10.0	New Testament	Age
tlg0033.tlg002.perseus-eng3#23	tlg0033.tlg002.perseus-eng3	Age	Youth eligibility for footraces	young people	Eligibility for the Pythian games	MORE	[§10] the gorge of Parnassus proclaimed him to the people that live around as the greatest of the boys in the double-course footrace.	1	1	The text identifies a specific resource (participation and victory in the footrace) categorised by the age group 'boys'.	9.0	Pindar	Age
tlg0027.tlg004.perseus-eng2#18	tlg0027.tlg004.perseus-eng2	Citizenship	Citizen protection via ostracism	Citizens	Protection from over-powerful individuals	MORE	[§37] Observing that whenever members of the community are more powerful than the magistrates and the laws, it is impossible for an individual to obtain redress from them, he arranged that punishment for their misdeeds should be exacted by the state.	1	1	The institution of ostracism is described as a rule allowing the state to remove individuals who exceed the power of the laws, providing the general citizenry with a resource of protection and redress.	9.0	Andocides	Citizenship
tlg0027.tlg004.perseus-eng2#17	tlg0027.tlg004.perseus-eng2	Citizenship	State-funded entertainment for victors	Citizens	Access to free entertainment in the Prytaneum	MORE	[§33] Alcibiades... after behaving as I have described, he was rewarded with free entertainment in the Prytaneum; and not content with that, he is for ever taking credit for his victory, as though he had not so much brought Athens into disgrace as won her a garland of honour.	1	1	The text confirms that high-achieving citizens (Olympic victors or those credited with public success) are granted the material resource of state-funded meals/entertainment in the Prytaneum.	9.0	Andocides	Citizenship
tlg0014.tlg019.perseus-eng2#4	tlg0014.tlg019.perseus-eng2	Citizenship	Right to address the Assembly	Citizens	Right to be heard by the Assembly	MORE	[§8] I can establish by clear proofs that the reports of the defendant, Aeschines, were entirely untruthful, and that he prevented the Assembly from hearing the truth from me; [§23] Then I rose, and said that the whole story was news to me... but Aeschines and Philocrates posted themselves one on either side of me—shouting, interrupting, and finally jeering. You were all laughing; you would not listen to me.	1	1	The text demonstrates that while citizens (including ambassadors) have a legal right to address the Assembly, this resource can be practically limited through 'shouting, interrupting, and jeering' which prevents the 'hearing the truth'.	8.0	Demosthenes	Citizenship
tlg0010.tlg019.perseus-eng2#22	tlg0010.tlg019.perseus-eng2	Citizenship	Foreigner tax obligations	Metics / Foreigners	Exemption from foreign resident taxes	LESS	[§156] ...he [Gorgias] had no fixed domicile in any city and therefore paid out nothing for public weal nor was he subject to any tax; moreover, he did not marry and beget children, but was free from this, the most unremitting and expensive of burdens...	0	1	By contrasting Gorgias' mobile lifestyle, the text implies that those with a 'fixed domicile' (resident aliens/metics) were subject to specific taxes and public burdens they could not otherwise avoid.	7.0	Isocrates	Citizenship
tlg0061.tlg001.perseus-eng1#17	tlg0061.tlg001.perseus-eng1	Citizenship	Judicial recourse for elite families	Nobility	Right to personal hearing by governors	MORE	[§46] [54] ...I ran to the governor of the province... and prayed him to put me under guard until I should persuade him that I had told him my true history. [§47] [55] ...When the magistrate heard this he cried, 'You are the son of a family who are very dear to me, and my guest-friends. ... And he sprang from his seat, embraced me, kissed me again and again, and conducted me to his home.'	1	1	While the crowd calls for the protagonist's execution for sorcery, his lineage and the 'guest-friendship' of his noble family with the governor grant him immediate safety, a personal hearing, and official exoneration that a commoner would not receive.	10.0	Pseudo-Lucian	Citizenship
tlg0086.tlg010.perseus-eng2#155	tlg0086.tlg010.perseus-eng2	Education	Artistic production through rational study	Artisans	Access to creative production	MORE	[§820] All Art deals with bringing some thing into existence; and to pursue an art means to study how to bring into existence a thing which may either exist or not, and the efficient cause of which lies in the maker and not in the thing made	1	1	Aristotle defines 'Art' as a specific rational quality concerned with making. He identifies a group ('the maker' or those who 'pursue an art') who, through study, gain the capacity (resource) to bring things into existence that nature does not produce.	8.0	Aristotle	Education
tlg0086.tlg035.perseus-eng2#152	tlg0086.tlg035.perseus-eng2	Education	Education-based office eligibility	Educated citizens	Right to hold office	MORE	[§91] people customarily give the name of constitutional government only to those among such mixed constitutions that incline towards democracy, and entitle those that incline more towards oligarchy aristocracies, because education and good birth go more with the wealthier classes.	1	1	The text explicitly links the resource of high office (aristocracy) to the criteria of education and nobility, which are associated with the wealthier classes in certain regimes.	8.0	Aristotle	Education
tlg0059.tlg034.perseus-eng2#133	tlg0059.tlg034.perseus-eng2	Education	Educational criteria for high office	educated men	Eligibility for high offices	MORE	[§113] ...the stuff of the warp must be of better quality—for it is strong and is made firm by its twistings, whereas the woof is softer and shows a due degree of flexibility—from this we may see that in some such way we must mark out those who are to hold high offices in the State and those who are to hold low offices, after applying in each case an adequate educational test.	1	1	Plato asserts that the state must use educational tests to distinguish between those qualified for superior 'warp' (high) offices and inferior 'woof' (low) offices.	9.0	Plato	Education
tlg0059.tlg034.perseus-eng2#453	tlg0059.tlg034.perseus-eng2	Education	Magistracy contingent on theological knowledge	wardens	Eligibility for the archonship	LESS	[§336] ...one must exclude from office those who are eligible for wardenship, unless they labor to grasp all the proofs there are about the existence of gods? Such exclusion from office consists in refusing ever to choose as a Law-warden, or to number among those approved for excellence, a man who is not divine himself, nor has spent any labor over things divine.	1	1	The author outlines a specific exclusionary rule where individuals otherwise eligible for high office are barred if they lack specific theological education and proof-based knowledge of the divine.	10.0	Plato	Education
tlg0059.tlg034.perseus-eng2#450	tlg0059.tlg034.perseus-eng2	Education	Merit-based assembly membership	uneducated people	Eligibility for the nocturnal synod	LESS	[§331] The ten senior members, at the moment, of the body of Law-wardens shall form the synod, in company with all who have won the award of merit... after undergoing a searching test, be deemed worthy to take part in the synod?	1	1	Membership in the highest governing body is reserved for those who have won awards of merit and passed 'searching tests', excluding those without the requisite training or proven civic excellence.	9.0	Plato	Education
tlg0057.tlg010.perseus-eng2#9	tlg0057.tlg010.perseus-eng2	Ethnicity	Regional bladder game customs	Ionians	Access to specific cultural games (bladder distension)	MORE	[§8] Children take the bladders of pigs, fill them with air, and then rub them on ashes near the fire... This is a common game in the district of Ionia, and among not a few other nations.	1	1	The author identifies a specific social/recreational practice (a game) that is characteristic of certain ethnic/regional groups, specifically Ionians.	8.0	Galen	Ethnicity
tlg0062.tlg066.perseus-eng3#33	tlg0062.tlg066.perseus-eng3	Ethnicity	Barbarian exclusion from equestrian status	Metics / Foreigners	Right to ride in transit	LESS	[§104] However, Arsaces was annoyed at having no more honour than the rest, and wanted to come down on horseback. | [§105] Oroetes had very tender feet, and couldn’t even stand on the ground, much less walk. All Medes are just like that, once they’re off their horses; like men walking on thistles, they go on tiptoe and can hardly move.	1	1	The text highlights a distinction where 'barbarian' elites (Medes/Persians) are stripped of their usual mode of transport (horses) upon entering the Greek-conceived underworld, reducing them to the same status as common pedestrians.	7.0	Lucian of Samosata	Ethnicity
tlg0540.tlg013.perseus-eng2#4	tlg0540.tlg013.perseus-eng2	Ethnicity	Alien birth status trial	Metics / Foreigners	Exemption from trial on count of birth	LESS	[§59] Some, indeed, desired that Aristophanes should be put to the torture, as one who was not of pure Athenian stock. [§60] Well, after that the persons who then had control of affairs came to Aristophanes and appealed to him to save himself by a denunciation, and not to run the risk of the extreme penalty by standing his trial on the count of alien birth.	1	1	The text describes a specific legal vulnerability (standing trial for alien birth) and a severe penalty for those who are found not to be of 'pure Athenian stock' yet participating in civic life.	9.0	Lysias	Ethnicity
tlg0031.tlg005.perseus-eng2#15	tlg0031.tlg005.perseus-eng2	Ethnicity	Hebrew priority in charitable distribution	Grecian Jews	Equal access to daily food service	LESS	[§184] Now in those days, when the number of the disciples was multiplying, there arose a grumbling of the Grecian Jews against the Hebrews because their widows were neglected in the daily service.	1	1	The text identifies a systemic discrepancy in the distribution of resources based on the linguistic/cultural background (Grecian vs. Hebrew) of the recipients, where the minority group received less.	10.0	New Testament	Ethnicity
tlg0031.tlg005.perseus-eng2#39	tlg0031.tlg005.perseus-eng2	Ethnicity	Gentile exemption from Jewish law	Gentiles	Exemption from circumcision and Mosaic law	MORE	[§561] For it seemed good to the Holy Spirit, and to us, to lay no greater burden on you than these necessary things: [§562] that you abstain from things sacrificed to idols, from blood, from things strangled, and from sexual immorality, from which if you keep yourselves, it will be well with you.	1	1	The text explicitly establishes a formal decree from the leadership in Jerusalem that non-Jewish converts (Gentiles) are not required to follow the full Mosaic law (circumcision), only a specific set of moral and dietary prohibitions.	10.0	New Testament	Ethnicity
tlg0086.tlg010.perseus-eng2#63	tlg0086.tlg010.perseus-eng2	Freedom	Involuntary combat duty	Slaves	Freedom from corporal punishment	LESS	[§401] Their masters compel them to be brave, after Hector’s fashion: Let me see any skulking off the field— He shall not save his carcase from the dogs! [§402] The same is done by commanders who draw up their troops in front of them and beat them if they give ground... all these are using compulsion.	1	1	The text refers to 'masters' (despotai) compelling those under them to fight through physical force and threats of death/mutilation, indicating that those in a state of bondage or absolute subjection lack protection from corporal punishment for failing to show bravery.	9.0	Aristotle	Freedom
tlg1419.tlg001.perseus-eng1#85	tlg1419.tlg001.perseus-eng1	Freedom	Slave eligibility for inheritance	Slaves	Right to inherit property	MORE	[§442] And he said to them: I promised this servant his freedom if he kept the orders which I gave him. Now he has kept my orders, and has added good work in the vineyard, and greatly pleased me. So in reward for this work which he has done I wish to make him joint heir with my son.	1	1	The master rewards the servant's exceptional initiative (exceeding orders) by elevating him to the status of a joint heir alongside the biological son, showing that a freed or favored slave could be granted inheritance rights.	9.0	Hermas	Freedom
