file_id	author	title	pages	author_impact_date	group	group_category	resource	resource_category	rule_category	direction	rule_name	confidence	specificity
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Youths	Age	Protection from epidemic contagion	Body integrity	Age-based health exposure	LESS	Gymnastic spatial health risk	9	4
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Children	Age	Protection from fatal disease	Body integrity	Age-based mortality risk	LESS	Childhood disease vulnerability	10	3
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Women	Gender	Survival after childbirth	Body integrity	Gender-based health risk	LESS	Post-childbirth medical vulnerability	9	4
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Pregnant women	Gender	Right to carry pregnancy to term	Marriage and family	Gender-based family loss	LESS	Pregnancy-based fetal loss	9	5
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Slaves	Freedom status	Inclusion in medical case studies	Legal standing	Status-based legal standing	MORE	Slave labor medical recording	8	3
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Infants	Age	Protection from fatal infection	Body integrity	Age-based health exclusion	LESS	Post-weaning mortality risk	9	6
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Young men	Age	Access to wrestling schools and gymnasia	Economic privileges	Access to public resources	MORE	Male access to gymnasia	9	4
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Women	Gender	Access to wrestling schools and gymnasia	Economic privileges	Social spatial exclusion	LESS	Female exclusion from gymnasia	9	3
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	The sick	Health	Right to receive medical care	Legal standing	Medical procedure obligation	LESS	Patient cooperation requirement	9	3
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	The sick	Health	Protection from medical harm	Body integrity	Access to safe treatment	MORE	Physician duty of care	10	2
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Infants	Age	Protection from lethal disease	Body integrity	Survival outcome	LESS	Infant mortality vulnerability	9	4
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Sick persons	Health	Right to active participation in treatment	Legal standing	Medical protocol	MORE	Patient cooperation requirement	9	2
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Physicians	Occupation	Protection from causing harm to patients	Legal standing	Professional obligation	LESS	Physician duty of care	10	8
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Youths	Age	Protection from fatal fever outcomes	Body integrity	Age-based health outcomes	MORE	Youth immunity to hemorrhage	9	3
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Women	Gender	Protection from delivery-related death	Body integrity	Gender-based legal/social vulnerability	LESS	Maternal mortality risk	10	4
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Pregnant women	Gender	Right to reach full term gestation	Marriage and family	Gender-based reproductive loss	LESS	Pregnancy-induced fetal loss	10	5
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Children	Age	Protection from fever mortality	Body integrity	Age-based health outcomes	MORE	Child survival advantage	9	3
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	The reckless	Wealth	Protection from acute fatal illness	Body integrity	Lifestyle-based health outcomes	LESS	Reckless living mortality	7	4
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Women	Gender	Access to menstrual crisis recovery	Body integrity	Gender-based clinical privilege	MORE	Menstrual crisis recovery	9	2
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Postpartum women	Gender	Protection from fatal disease	Body integrity	Health-based mortality risk	LESS	Post-childbirth medical vulnerability	9	4
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Pregnant women	Gender	Right to maintain pregnancy during illness	Marriage and family	Reproductive loss	LESS	Systematic abortion during illness	10	4
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Youths	Age	Protection from lethal internal hemorrhage	Body integrity	Age-based medical outcome	LESS	Youth susceptibility to hemorrhage	8	3
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Children	Age	Protection from fatal fever outcomes	Body integrity	Age-based health advantage	MORE	Child mortality protection	9	3
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Fair-skinned or smooth individuals	Health	Protection from fatal disease	Body integrity	Physical trait-based death risk	LESS	Physiognomic death susceptibility	8	5
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Women	Gender	Medical intervention for postpartum complications	Legal standing	Access to medical care	MORE	Maternal healthcare access	10	4
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Women	Gender	Assistance from medical attendants	Legal standing	Social support systems	MORE	Maternal attendant assistance	9	5
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Women	Gender	Freedom of movement during recovery	Freedom	Restriction of personal freedom	LESS	Postpartum mobility restriction	8	3
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Sick persons	Health	Medical monitoring and attendance	Economic privileges	Access to healthcare	MORE	Athenian medical attendance	8	2
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Sick persons	Health	Direct physical examination by physicians	Legal standing	Access to medical evaluation	MORE	Clinical diagnostic visibility	9	3
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Women	Gender	Gynecological medical treatment	Economic privileges	Access to healthcare	MORE	Puerperal medical intervention	10	4
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	The dying	Health	Symptomatic relief and observation	Body integrity	Access to healthcare	MORE	End-of-life care	9	3
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Women	Gender	Right to clinical recognition and documented medical care	Health	Access to medical documentation	MORE	Female medical case recording	10	2
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Pregnant women	Gender, Health	Right to specialized medical attention during illness	Health	Access to specialized medical care	MORE	Pregnant women medical priority	9	4
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Post-partum women	Gender	Access to medical observation and treatment	Health	Access to healthcare	MORE	Post-natal medical care	10	4
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Children approaching puberty	Age	Protection from fatal bowel disease	Body integrity	Age-based health outcomes	LESS	Adolescent death vulnerability	9	3
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Physicians	Occupation	Right to professional standing through specialized knowledge	Economic privileges	Professional duty	MORE	Medical study obligation	9	8
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Seniors	Age	Protection from virulent infection	Body integrity	Age-based health outcomes	LESS	Elderly disease vulnerability	9	5
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Patients with acute fever	Health	Access to surgical intervention (bloodletting)	Legal standing	Medical intervention	MORE	Therapeutic venesection access	10	6
