rule_uid	file_id	criteria	rule	group	resource	directionality	verbatim	contemporary	factuality	reasoning	confidence	author	work_title	impact_year	group_specificity	is_historical	secondary_reasoning	resource_materiality	materiality_reasoning	group_immutability	immutability_reasoning	resource_generality	resource_generality_reasoning	resource_persistence	persistence_reasoning	tautological	tautology_reasoning	perseus_id	work_factuality	sampled_for
tlg0027.tlg004.perseus-eng2#21	tlg0027.tlg004.perseus-eng2	Age	Youth access to gymnasia	Young people	Access to the gymnasium	LESS	[§41] That of the young, upon whom he has brought the disfavour of the people by his insolence, by his emptying of the gymnasia, and by behaviour which his years do not warrant?	1	1	The passage identifies the young as a specific group that has lost access to their traditional resource (the gymnasium) due to the influence/actions of Alcibiades.	8.0	Andocides		-500	5	0	Canonical societal group; the author describes a contemporary social change.	3	Access to a public institution for physical and social development.	5	Age is a biologically fixed trait, strictly immutable.	2	Access to the gymnasium is tied to a particular institution and setting.	3	Access to the gymnasium is typically associated with a life stage (youth).	0	Being young does not inherently mean exclusion from gymnasia; this is a societal shift.	tlg0027.tlg004	4	Age
tlg0627.tlg006.perseus-eng4#62	tlg0627.tlg006.perseus-eng4	Age	Youth medical surveillance	young people	General medical care	MORE	[§92] CASE XVI In Meliboea a youth took to his bed after being for a long time heated by drunkenness and sexual indulgence. He had shivering fits, nausea, sleeplessness, but no thirst.	1	1	The author provides a detailed clinical history of a 'youth', showing that individuals categorized by their young age were eligible for and received professional medical diagnostic attention and monitoring.	9.0	Hippocrates	Epidemics	-465	5	0	Canonical societal group; the author describes contemporary medical observations.	3	General medical care is access to a social practice with tangible outcomes.	5	Young people are defined by age, which is biologically fixed.	4	General medical care is a broad category of health services.	3	General medical care for youth is tied to that life stage.	0	General medical care is a medical resource, not inherent in the definition of 'young people'.	tlg0627.tlg006	3	Age
tlg0627.tlg006.perseus-eng4#6	tlg0627.tlg006.perseus-eng4	Age	Childhood susceptibility to fatal fever	Children	Protection from fatal disease	LESS	[§6] From all the diseases some died, but the greatest number from these fevers, especially children—those just weaned, older children of eight or ten years, and those approaching puberty.	1	1	The text identifies children as a specific biological group that suffered a higher mortality rate during the epidemic in Thasos, indicating a lack of the 'resource' of survival/protection compared to other age groups.	9.0	Hippocrates	Epidemics	-465	5	0	The group 'Children' is a canonical age-based societal group; the author describes contemporary epidemiological observations.	3	Protection from fatal disease has tangible outcomes for bodily integrity.	5	Children is an age-defined group; membership is biologically fixed.	3	Protection from fatal disease is a specific but broadly applicable protection.	3	Vulnerability to fatal disease is tied to the life stage of childhood.	0	Protection from fatal disease is a health outcome, not inherent in the definition of 'Children'.	tlg0627.tlg006	3	Age
tlg0627.tlg010.perseus-eng2#16	tlg0627.tlg010.perseus-eng2	Age	Stunted growth due to spinal deformity	young people	Right to full physical development	LESS	[§41] And when the gibbosity occurs in youth before the body has attained its full growth, in these cases the body does not usually grow along the spine, but the legs and the arms are fully developed, whilst the parts (about the back) are arrested in their development.	1	1	The text describes a specific medical rule/outcome where the young (those who haven't reached full growth) lose the resource of full spinal development if they suffer from certain spinal diseases, contrasting them with those who attain the condition as adults.	8.0	Hippocrates	The Art	-465	5	0	The group 'young people' is a canonical age-based societal group; the author describes contemporary medical observations.	5	Full physical development is a fundamental bodily entitlement, impacting overall capacity.	5	Young people are defined by age, a strictly immutable biological trait.	3	Right to full physical development is a specific but broadly applicable physical protection.	5	Stunted physical development due to spinal deformity during youth is a lifelong condition.	0	Stunted growth due to spinal deformity is a medical outcome, not the definition of being a young person.	tlg0627.tlg010	3	Age
tlg1443.tlg001.perseus-eng1#11	tlg1443.tlg001.perseus-eng1	Age	Respect for youthful bishops	young people	Right to exercise ecclesiastical authority	MORE	[§81] Now it becomes you not to presume on the youth of the bishop, but to render him all respect according to the power of God the Father, as I have heard that even the holy presbyters have not taken advantage of his outwardly youthful appearance, but yield to him in their godly prudence, yet not to him, but to the Father of Jesus Christ, to the bishop of all.	1	1	The text explicitly commands the community not to let the age of the bishop (youth) undermine his authority or the respect due to his office, suggesting that in this society, age was a potential barrier to authority that the rule explicitly overrides.	10.0	Ignatius of Antioch	Epistle of Ignatius to the Trallians	70	5	0	The group 'young people' is a canonical societal group; the rule addresses a contemporary social dynamic within the church.	3	Right to exercise ecclesiastical authority is access to a social role with tangible outcomes.	5	Age ('young people') is a strictly immutable, biologically fixed trait.	4	Right to exercise ecclesiastical authority is a major recognizable right within a religious structure.	4	The right to exercise ecclesiastical authority is long-term, lasting for the duration of the bishop's tenure.	0	The right to exercise ecclesiastical authority is a specific power, not inherent in the definition of 'young people'.	tlg1443.tlg001	3	Age
tlg0086.tlg010.perseus-eng2#305	tlg0086.tlg010.perseus-eng2	Citizenship	State-regulated education in Sparta	Citizens	Publicly regulated nurture and exercise	MORE	[§1307] But Sparta appears to be the only or almost the only state in which the lawgiver has paid attention to the nurture and exercises of the citizens; in most states such matters have been entirely neglected, and every man lives as he likes.	1	1	Specifically for the Spartan context mentioned, being a citizen grants access to a state-organized system of physical and moral training (a resource of development), which is absent for citizens in other states.	9.0	Aristotle	Nicomachean Ethics	-348	5	0	The group 'Citizens' is a canonical societal group; Aristotle describes a contemporary social arrangement in Sparta.	3	Publicly regulated nurture and exercise is access to a social practice with tangible outcomes (training).	4	Citizenship is a legal/structural birth-status, very hard to change.	3	Publicly regulated nurture and exercise is a specific but broadly applicable legal protection.	3	Publicly regulated nurture and exercise applies during the period of citizenship in Sparta.	0	Publicly regulated nurture and exercise is a state policy, not inherent in being a citizen.	tlg0086.tlg010	3	Citizenship
tlg0086.tlg035.perseus-eng2#279	tlg0086.tlg035.perseus-eng2	Citizenship	Citizen exclusivity in statehood	Resident aliens	Right to be considered a part of the state	LESS	[§162] ...this ought not to be done with regard to the multitude of any and every class (for states are doubtless bound to contain a large number of slaves and resident aliens and foreigners), but the test should be the number of those who are a part of the state—the special parts of which a state consists.	1	1	The author distinguishes between the mere population of a territory and the 'parts of the state,' explicitly excluding resident aliens and foreigners from the latter category.	10.0	Aristotle	Politics	-348	5	0	Canonical societal group; Aristotle describes a contemporary political distinction.	4	Right to be considered part of the state is a concrete legal right with direct material effect.	4	Non-citizen status is a legal/structural birth-status, very hard to change.	5	Right to be considered a part of the state is a foundational societal good.	5	The right to be considered part of the state is a lifelong, structural status (citizenship).	0	The right to be considered part of the state is a legal status, not part of the definition of a resident alien.	tlg0086.tlg035	3	Citizenship
tlg0086.tlg035.perseus-eng2#65	tlg0086.tlg035.perseus-eng2	Citizenship	Universal eligibility for the Ephorate	Citizens	Eligibility for high office (Ephorate)	MORE	[§41] Moreover the regulations for the Ephorate are also bad. For this office has absolute control over their most important affairs, but the Ephors are appointed from the entire people, so that quite poor men often happen to get into the office.	1	1	Aristotle describes the eligibility for the Ephorate as being open to 'the entire people' (meaning all citizens), regardless of wealth, which he contrasts with other more restrictive offices.	10.0	Aristotle	Politics	-348	5	0	Citizens are a canonical societal group; Aristotle describes a contemporary Spartan political system.	3	Eligibility for high office provides access to a social role with tangible outcomes and influence.	4	Citizenship is a legal/structural birth-status, very hard to change.	5	Eligibility for high office (Ephorate) is a form of political power, a very general resource.	4	Eligibility for office is a long-term right, lasting for one's political career.	0	Eligibility for office is a specific political right, not inherent to the definition of 'citizen'.	tlg0086.tlg035	3	Citizenship
tlg0014.tlg019.perseus-eng2#32	tlg0014.tlg019.perseus-eng2	Citizenship	Ambassadorial accountability (euthyna)	Citizens	Right to hold officials accountable	MORE	[§210] Thus in my consciousness of innocence I thought it my duty to render my account and accept my full legal liability, while Aeschines did not. ... ever since mankind and the criminal law first came into being, no culprit has ever been convicted while confessing his guilt.	1	1	The text discusses the legal requirement for ambassadors (who must be citizens) to submit to a scrutiny/account of their actions, asserting the state's right to enforce legal liability on its officials.	9.0	Demosthenes	On the False Embassy	-348	5	0	The group 'citizens' is a canonical societal group; the author describes a contemporary legal requirement.	3	The right to hold officials accountable is a social practice with tangible outcomes for governance.	4	Citizenship is a legal status, very hard to change, requiring naturalisation or exile.	5	The right to hold officials accountable is a foundational aspect of political power.	4	The right to hold officials accountable is a long-term civic right, exercised as needed throughout a career.	0	The right to hold officials accountable is a specific civic right, not inherent in the definition of 'citizen'.	tlg0014.tlg019	4	Citizenship
tlg0010.tlg019.perseus-eng2#30	tlg0010.tlg019.perseus-eng2	Citizenship	Foreigner access to Athenian education	Metics / Foreigners	Right to study in Athens	MORE	[§224] I should like to ask those who disapprove of me what they think about the students who cross the sea from Sicily, from the Pontus, and from other parts of the world in order to enjoy my instruction. ... [§226] No, it is evident that these students cross the sea and pay out money and go to all manner of trouble because they think that they themselves will be the better for it and that the teachers here are much more intelligent than those in their own countries.	1	1	The passage confirms that foreigners from across the Mediterranean had the right and ability to enter Athens specifically to access the resource of higher education (philosophy/oratory).	9.0	Isocrates	Antidosis	-400	4	0	The group is broad (foreigners); the author describes a contemporary practice of Athenian education.	3	Access to education produces tangible outcomes like social mobility and professional opportunities.	4	Foreign residency (metic) is very hard to change, requiring legal/structural status.	3	Right to study in a specific city is a specific but broadly applicable protection.	3	The right to study in Athens would last for the duration of their education.	0	The right to study in Athens is a legal/social allowance, not inherent to being a 'foreigner'.	tlg0010.tlg019	4	Citizenship
