perseus_id	perseus_author	author_impact_date	perseus_title	wikidata_work_label	genre	form_of_creative_work	instance_of	factuality	factuality_reason	annotation_factuality	annotation_notes
tlg0006.tlg008	Euripides	-445	The Suppliants	The Suppliants	Greek tragedy	play	dramatic work	1	Euripides' 'The Suppliants' is a Greek tragedy, which falls under the mythic/speculative category.		
tlg0085.tlg007	Aeschylus	-489	Eumenides	Eumenides	Greek tragedy	play	dramatic work	1	Aeschylus' 'Eumenides' is a Greek tragedy, which is mythic and speculative in nature.		
tlg0006.tlg013	Euripides	-445	Iphigenia Among the Tauri	Iphigenia in Tauris	Greek tragedy, tragicomedy	play	dramatic work	1	Euripides' 'Iphigenia in Tauris' is a Greek tragedy, which falls under the mythic/speculative category.		
tlg0006.tlg009	Euripides	-445	Heracles	Heracles Mad			version, edition or translation, translation work	1	Euripides' 'Heracles Mad' is a Greek tragedy, which falls under the mythic/speculative category.		
tlg0012.tlg003	Homer	-750	Epigrams	Epigrams		poetry collection	literary work	1	Homer's 'Epigrams' are likely to be mythic or speculative, consistent with his other works.		
tlg0014.tlg063	Demosthenes	-348	Letters	Letters			correspondence, written work	2	Demosthenes' 'Letters' are personal essays where contemporary norms might be mentioned in passing.		
tlg0014.tlg012	Demosthenes	-348	Philip’s Letter	Letters			correspondence, written work	2	Demosthenes' 'Letters' are personal essays where contemporary norms might be mentioned in passing, making them indirect contemporary inference.		
tlg0014.tlg011	Demosthenes	-348	Answer to Philip’s Letter	Letters			correspondence, written work	2	Demosthenes' 'Letters' are personal essays where contemporary norms might be mentioned in passing, making them indirect contemporary inference.		
tlg0627.tlg006	Hippocrates	-465	Epidemics I and III	Epidemics			written work	3	Hippocrates' 'Epidemics' is a medical text, providing contemporary documentation of medical observations and practices.		
tlg0062.tlg016	Lucian of Samosata	155	The Downward Journey, or the Tyrant	The Dream			treatise, literary work	3	This work is a rhetorical piece or essay, providing contemporary documentation of thought or experience.		
tlg0557.tlg002	Epictetus	85	The Enchiridion	Enchiridion of Epictetus	philosophy		literary work	3	Epictetus' 'Enchiridion' is a philosophical treatise, providing contemporary documentation of philosophical thought and social norms.		
tlg0059.tlg033	Plato	-393	Minos	Minos	dialogue		written work	3	Plato's 'Minos' is a philosophical dialogue discussing the nature of law, which falls under 'Contemporary Documentation'.		
tlg0062.tlg043	Lucian	155	The Runaways	The runaways			literary work	3	Lucian's 'The Runaways' is a satirical piece that likely comments on contemporary social issues or philosophical schools, fitting 'contemporary documentation'.		
tlg0014.tlg033	Demosthenes	-348	Against Apaturius	Against Apatourius			literary work, oration	4	Demosthenes' 'Against Apatourius' is a legal oration that invokes specific contemporary laws and legal procedures.		
tlg0540.tlg028	Lysias	-409	Against Ergocles	Against Ergocles			oration, literary work	4	Lysias was a forensic orator, and his works, including 'Against Ergocles', are legal orations that invoke specific contemporary laws or legal procedures.		
tlg0026.tlg002	Aeschines	-354	On the Embassy	On the Embassy			literary work, oration	4	Aeschines was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.		
tlg0017.tlg006	Isaeus	-384	On the Estate of Philoctemon	On the Estate of Philoctemones			literary work, oration	4	Isaeus' 'On the Estate of Philoctemones' is a legal oration that invokes specific contemporary laws and legal procedures concerning inheritance.		
tlg0540.tlg004	Lysias	-409	On A Wound By Premeditation	On a Wound by Premeditation			literary work, oration	4	This is a forensic oration by Lysias, directly invoking contemporary laws and legal procedures.		
