group	group_meta
60-year-old men	Men;Elders
Accidental killers	Citizens
Achaean citizens	Citizens
Actors	Artisans
Actors and musicians	Artisans
Administrators	Magistrates
Adopted children	Minors;Heirs
Adopted sons	Men;Heirs
Adult sons of widowed mothers	Men;Heirs
Adulterous women	Women
Adults	Citizens
Advanced students	The educated
Advisors	Magistrates
Aged philosophers	Elders;Philosophers
Agents of their own death	Citizens
Agiads and Eurypontids	Kings;Nobles
Aliens	Foreigners
All people	The multitude
Allied states	Foreigners
Ambassadors	Magistrates
Ancient family members	Nobles
Architects	Artisans
Argive subjects under tyranny	The multitude
Aristocrats	Nobles
Artisans	Artisans
Artisans and craftsmen	Artisans
Artisans and soldiers	Artisans;Soldiers
Artists	Artisans
Aspiring tyrants	Nobles
Atheists	The multitude
Athenian citizens	Citizens
Athenians	Citizens
Athenians and resident aliens	Citizens;Foreigners
Athenians of 'polluted' lineage	Citizens
Athletes	Artisans
Athletic contestants	Artisans
Bachelors and Maidens	Men;Women
Bankers	Artisans
Barbarians	Foreigners
Bastards	Heirs
Beginners	The multitude
Benefactors	Nobles
Bishops	Priests
Boys	Men;Minors
Boys with both parents living	Men;Minors
Builders	Artisans
Captains of the horse	Soldiers;Magistrates
Carthaginians	Carthaginians
Cavalrymen	Soldiers
Charioteers	Soldiers
Childless men	Men
Children	Minors
Children of non-citizen mothers	Minors;Foreigners
Children of one citizen parent	Minors;Citizens
Children of one non-citizen parent	Minors;Foreigners
Children of slaves	Minors;Slaves
Children of those who died in war	Minors;Orphans
Children who maltreat parents	Minors
Choragi and Trierarchs	Magistrates
Chorus members	Poets
Christians	Christians
Cilicians	Cilicians
Citizens	Citizens
Citizens fit for military service	Citizens;Soldiers
Citizens in public service	Citizens;Magistrates
Citizens of Greek city-states	Citizens;Greeks
Citizens of non-citizen parentage	Citizens;Foreigners
Citizenship	Citizens
Colonial citizens	Citizens
Colonists	Foreigners
Comic poets	Poets
Commercial lenders	The wealthy
Common people	The multitude
Common sailors	Sailors
Companions	Nobles
Conquered foreigners	Foreigners
Consuls	Magistrates;Kings
Cooks	Artisans
Corn-controllers	Magistrates
Corn-dealers	Artisans
Councillors	Magistrates
Court physicians	Physicians
Courtesans	Women;Artisans
Creditors	The wealthy
Cynic philosophers	Philosophers
Dancers	Artisans
Daughters	Women
Daughters of citizens	Women;Citizens
