author_code	work_code	filename	file_path	title	author	editors	publisher	pub_place	pub_date	source_bibl	languages	extent	funder	principal	text_length	word_count	source_date
tlg0057	tlg010	tlg0057.tlg010.perseus-grc2.xml	tlg0057/tlg010/tlg0057.tlg010.perseus-grc2.xml	Περί φυσικῶν δυνάμεων	Galen	A. J. Brock; A. J. Brock	Cultural Heritage Langauge Technologies	Kansas City Missouri	November 1, 2005		grc		National Library of Medicine History of Medicine Division	Gregory Crane	198303	31809	1916
tlg0057	tlg010	tlg0057.tlg010.perseus-eng2.xml	tlg0057/tlg010/tlg0057.tlg010.perseus-eng2.xml	On the Natural Faculties.	Galen	Arthur John Brock; Arthur John Brock	Cultural Heritage Langauge Technologies	Kansas City Missouri	July 1, 2005		eng; grc; xgreek; dut; fre		National Library of Medicine History of Medicine Division	Gregory Crane	282349	48788	1916
tlg0061	tlg001	tlg0061.tlg001.perseus-eng1.xml	tlg0061/tlg001/tlg0061.tlg001.perseus-eng1.xml	Loukios, Or, the Ass	Pseudo-Lucian	Emily James Smith; Emily James Smith	Tufts University	United States	2023-08-01		eng		National Endowment for the Humanities	Gregory Crane	54817	10431	1892
tlg0061	tlg006	tlg0061.tlg006.perseus-eng1.xml	tlg0061/tlg006/tlg0061.tlg006.perseus-eng1.xml	The Cynic	Pseudo-Lucian	Henry Watson Fowler; Francis George Fowler; Henry Watson Fowler; Francis George Fowler	Tufts University	Medford, MA, USA	2023-08-01		eng		National Endowment for the Humanities	Gregory Crane	15543	2855	1905
tlg0061	tlg003	tlg0061.tlg003.perseus-eng1.xml	tlg0061/tlg003/tlg0061.tlg003.perseus-eng1.xml	Demosthenes an Encomium	Lucian of Samosota	Henry Watson Fowler; Francis George Fowler; Henry Watson Fowler; Francis George Fowler	Tufts University	Medford, MA, USA	2023-08-01	Euripides, Hecuba. See Polyxena in Notes.	eng		National Endowment for the Humanities	Gregory Crane	37931	6843	1905
tlg0061	tlg004	tlg0061.tlg004.perseus-eng1.xml	tlg0061/tlg004/tlg0061.tlg004.perseus-eng1.xml	The Halcyon	Pseudo-Lucian	Emily James Smith; Emily James Smith	Tufts University	United States	2023-08-01		eng		National Endowment for the Humanities	Gregory Crane	6380	1149	1892
tlg0059	tlg009	tlg0059.tlg009.perseus-grc2.xml	tlg0059/tlg009/tlg0059.tlg009.perseus-grc2.xml	Παρμενίδης	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996		grc; eng		The Annenberg CPB/Project	Gregory Crane	83889	15102	1910
tlg0059	tlg009	tlg0059.tlg009.perseus-eng2.xml	tlg0059/tlg009/tlg0059.tlg009.perseus-eng2.xml	Parmenides	Plato	Harold North Fowler; Harold North Fowler; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996		eng; grc		The Annenberg CPB/Project	Gregory Crane	105343	19701	1926
tlg0059	tlg036	tlg0059.tlg036.perseus-grc2.xml	tlg0059/tlg036/tlg0059.tlg036.perseus-grc2.xml	Ἐπιστολαί	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	Eur. Fr. 956	grc; eng		The Annenberg CPB/Project	Gregory Crane	105462	16876	1915
tlg0059	tlg036	tlg0059.tlg036.perseus-eng2.xml	tlg0059/tlg036/tlg0059.tlg036.perseus-eng2.xml	Letters	Plato	R. G. Bury; Robert Gregg Bury	Trustees of Tufts University	Medford, MA	1996	Plat. Gorg. 495e	eng; grc		The Annenberg CPB/Project		156218	28191	1929
tlg0059	tlg031	tlg0059.tlg031.perseus-eng2.xml	tlg0059/tlg031/tlg0059.tlg031.perseus-eng2.xml	Timaeus	Plato	Robert Gregg Bury; Robert Gregg Bury	Trustees of Tufts University	Medford, MA	1996		eng; grc		The Annenberg CPB/Project	Gregory Crane	214590	37118	1929
tlg0059	tlg031	tlg0059.tlg031.perseus-grc2.xml	tlg0059/tlg031/tlg0059.tlg031.perseus-grc2.xml	Τίμαιος	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996		grc; eng		The Annenberg CPB/Project	Gregory Crane	146818	23755	1905
tlg0059	tlg007	tlg0059.tlg007.perseus-grc2.xml	tlg0059/tlg007/tlg0059.tlg007.perseus-grc2.xml	Σοφιστής	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	Hom. Od. 17.485-7	grc; eng		The Annenberg CPB/Project	Gregory Crane	103020	17211	1905
tlg0059	tlg007	tlg0059.tlg007.perseus-eng2.xml	tlg0059/tlg007/tlg0059.tlg007.perseus-eng2.xml	Sophist	Plato	Harold North Fowler	Trustees of Tufts University	Medford, MA	1996	Hom. Od. 9.271;	eng; grc		The Annenberg CPB/Project	Gregory Crane	136516	24634	1921
tlg0059	tlg001	tlg0059.tlg001.perseus-eng2.xml	tlg0059/tlg001/tlg0059.tlg001.perseus-eng2.xml	Euthyphro	Plato	Harold North Fowler; Harold North Fowler; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996	Stasinus, author of the Cypria (Fragm. 20, ed. Kinkel)	eng; grc; lat		The Annenberg CPB/Project	Gregory Crane	38739	7066	1914
tlg0059	tlg001	tlg0059.tlg001.perseus-grc1.xml	tlg0059/tlg001/tlg0059.tlg001.perseus-grc1.xml	Εὐθύφρων	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	Stasinus Cypria Fr. 20	grc; eng		The Annenberg CPB/Project	Gregory Crane	36152	5395	1905
tlg0059	tlg006	tlg0059.tlg006.perseus-grc2.xml	tlg0059/tlg006/tlg0059.tlg006.perseus-grc2.xml	Θεαίτητος	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	ηομ. ιλ. 14.201, 302.	grc; eng		The Annenberg CPB/Project		160025	23533	1905
