work_name,author,impact_year,polity,criteria,sampled_for,is_contemporary,verbatim_type,criterion_label,in_group,out_group,resource,resource_std,speaker,verbatim,matched_keywords,extraction_method,extraction_cost_usd,prompt_tokens,completion_tokens,rule_uid,file_id,rule_category,reasoning,specificity,specificity_reasoning,confidence,factuality
The Clouds,Aristophanes,-409,,Age,Age,1,fact,Paternal right of eviction,Old people,,Right to evict adult children,,MORE,"[§24] Strepsiades. Well, I have a fine, handsome son, but he is not willing to learn. What must I do? Chorus. But do you permit him? Strepsiades. Yes, for he is robust in body, and in good health... I will go for him, and if he be not willing, I will certainly drive him from my house.",Paternal right of eviction,gemini_v19,,,,tlg0019.tlg003.perseus-eng2#25,tlg0019.tlg003.perseus-eng2,,"Strepsiades, as the patriarch/father, asserts the legal or social right to physically expel an adult son from the family home if the son refuses to obey his commands.",,,9.0,1
The Clouds,Aristophanes,-409,,Age,Age,0,fact,Youth silence before elders,Minors,,Right to speak,,LESS,"[§27] In the first place it was incumbent that no one should hear the voice of a boy uttering a syllable; and next, that those from the same quarter of the town should march in good order through the streets to the school of the harp-master.",Youth silence before elders,gemini_v19,,,,tlg0019.tlg003.perseus-eng2#29,tlg0019.tlg003.perseus-eng2,,"The 'Just Cause' describes the traditional Athenian educational norms of the previous generation, where boys were strictly forbidden from speaking in public or in the presence of adults.",,,9.0,1
Dialogues of the Gods,Lucian,155,,Age,Age,1,fact,Parental right to corporal punishment,Young people,,Protection from corporal punishment,,LESS,"[§69] You must do as your father bids you, like a good boy. Run along now to Argos and Boeotia; don’t loiter, or you will get a whipping.",Parental right to corporal punishment,gemini_v19,,,,tlg0062.tlg068.perseus-eng4#24,tlg0062.tlg068.perseus-eng4,,"Maia warns Hermes that failing to obey his father's orders will result in a whipping, reflecting the societal norm where children/sons are subject to physical discipline by parents.",,,9.0,1
,New Testament,100,,Age,Age,1,opinion,Prophetic capacity of youth,Young people,,Access to divine visions,,MORE,"[§45] 'It will be in the last days, says God, I will pour out my Spirit on all flesh. Your sons and your daughters will prophesy. Your young men will see visions.'",Prophetic capacity of youth,gemini_v19,,,,tlg0031.tlg005.perseus-eng2#1,tlg0031.tlg005.perseus-eng2,,The text cites a prophetic rule where divine inspiration (visions) is specifically granted to the young as a distinct group within the community.,,,10.0,0
Pythian Odes,Pindar,-481,,Age,Age,1,fact,Youth eligibility for footraces,young people,,Eligibility for the Pythian games,,MORE,[§10] the gorge of Parnassus proclaimed him to the people that live around as the greatest of the boys in the double-course footrace.,Youth eligibility for footraces,gemini_v19,,,,tlg0033.tlg002.perseus-eng3#23,tlg0033.tlg002.perseus-eng3,,The text identifies a specific resource (participation and victory in the footrace) categorised by the age group 'boys'.,,,9.0,1
,Andocides,-500,,Citizenship,Citizenship,1,fact,Citizen protection via ostracism,Citizens,,Protection from over-powerful individuals,,MORE,"[§37] Observing that whenever members of the community are more powerful than the magistrates and the laws, it is impossible for an individual to obtain redress from them, he arranged that punishment for their misdeeds should be exacted by the state.",Citizen protection via ostracism,gemini_v19,,,,tlg0027.tlg004.perseus-eng2#18,tlg0027.tlg004.perseus-eng2,,"The institution of ostracism is described as a rule allowing the state to remove individuals who exceed the power of the laws, providing the general citizenry with a resource of protection and redress.",,,9.0,1
,Andocides,-500,,Citizenship,Citizenship,1,fact,State-funded entertainment for victors,Citizens,,Access to free entertainment in the Prytaneum,,MORE,"[§33] Alcibiades... after behaving as I have described, he was rewarded with free entertainment in the Prytaneum; and not content with that, he is for ever taking credit for his victory, as though he had not so much brought Athens into disgrace as won her a garland of honour.",State-funded entertainment for victors,gemini_v19,,,,tlg0027.tlg004.perseus-eng2#17,tlg0027.tlg004.perseus-eng2,,The text confirms that high-achieving citizens (Olympic victors or those credited with public success) are granted the material resource of state-funded meals/entertainment in the Prytaneum.,,,9.0,1
On the False Embassy,Demosthenes,-348,,Citizenship,Citizenship,1,fact,Right to address the Assembly,Citizens,,Right to be heard by the Assembly,,MORE,"[§8] I can establish by clear proofs that the reports of the defendant, Aeschines, were entirely untruthful, and that he prevented the Assembly from hearing the truth from me; [§23] Then I rose, and said that the whole story was news to me... but Aeschines and Philocrates posted themselves one on either side of me—shouting, interrupting, and finally jeering. You were all laughing; you would not listen to me.",Right to address the Assembly,gemini_v19,,,,tlg0014.tlg019.perseus-eng2#4,tlg0014.tlg019.perseus-eng2,,"The text demonstrates that while citizens (including ambassadors) have a legal right to address the Assembly, this resource can be practically limited through 'shouting, interrupting, and jeering' which prevents the 'hearing the truth'.",,,8.0,1
Antidosis,Isocrates,-400,,Citizenship,Citizenship,0,fact,Foreigner tax obligations,Metics / Foreigners,,Exemption from foreign resident taxes,,LESS,"[§156] ...he [Gorgias] had no fixed domicile in any city and therefore paid out nothing for public weal nor was he subject to any tax; moreover, he did not marry and beget children, but was free from this, the most unremitting and expensive of burdens...",Foreigner tax obligations,gemini_v19,,,,tlg0010.tlg019.perseus-eng2#22,tlg0010.tlg019.perseus-eng2,,"By contrasting Gorgias' mobile lifestyle, the text implies that those with a 'fixed domicile' (resident aliens/metics) were subject to specific taxes and public burdens they could not otherwise avoid.",,,7.0,1
Lucius or The Ass,Pseudo-Lucian,150,,Citizenship,Citizenship,1,fact,Judicial recourse for elite families,Nobility,,Right to personal hearing by governors,,MORE,"[§46] [54] ...I ran to the governor of the province... and prayed him to put me under guard until I should persuade him that I had told him my true history. [§47] [55] ...When the magistrate heard this he cried, 'You are the son of a family who are very dear to me, and my guest-friends. ... And he sprang from his seat, embraced me, kissed me again and again, and conducted me to his home.'",Judicial recourse for elite families,gemini_v19,,,,tlg0061.tlg001.perseus-eng1#17,tlg0061.tlg001.perseus-eng1,,"While the crowd calls for the protagonist's execution for sorcery, his lineage and the 'guest-friendship' of his noble family with the governor grant him immediate safety, a personal hearing, and official exoneration that a commoner would not receive.",,,10.0,1
