rule_uid	file_id	perseus_author	perseus_title	period	criteria	rule	group	resource	directionality	verbatim	reasoning	contemporary	factuality	confidence	resource_materiality	materiality_reasoning	resource_generality	generality_reasoning	resource_persistence	persistence_reasoning	group_immutability	immutability_reasoning	rule_contemporarity	contemporarity_reasoning	opinion_vs_fact	opinion_vs_fact_reasoning	tautology	tautology_reasoning	work_author_polity_cliopatria	work_polity	work_polity_reasoning	work_time_reference	work_time_start	work_time_end	work_time_reasoning	rule_polity	rule_polity_reasoning	rule_date	rule_time_reasoning	year	genre
tlg0027.tlg004.perseus-eng2::11	tlg0027.tlg004.perseus-eng2	Andocides	Against Alcibiades	Classical (500–360 BCE)	['Wealth / Properties']	Wealthy citizen liturgy obligation	Wealthy citizens	Right to retain own earnings	LESS	['Of my public services I do not intend to speak. I will say only this: the expenditure required of me I meet, not from monies belonging to the state, but from my own pocket. And yet I have in fact gained victories in the contest of physique, in the torch-race, and at the tragic competitions without striking rival Choregi, and without feeling shame at my possessing less power than the laws.']	The author refers to 'public services' (liturgies) and 'expenditure required of me' which he must pay from his 'own pocket' (private wealth). This describes the Athenian system where wealthy citizens were legally mandated to fund state competitions and festivals, thereby losing a portion of their private wealth to the state.	1	1	9.0	5	Paying from 'own pocket' involves the direct loss of private money.	4	Liturgy obligations are a broad recurring category of wealth redistribution.	4	As long as one remains in the top wealth bracket, the susceptibility to liturgy remains.	3	Wealthy citizen is a durable status but fundamentally changeable through economic loss.	0	Author refers to his own contemporary public service obligations in Athens.	5	The requirement to self-fund liturgies is reported as a plain legal fact.	0	Wealth does not definitionally include the obligation to fund state tragic competitions.								Classical Athens	The mention of Choregi and specific Athenian festivals confirms the polity as Classical Athens.	-416	The speech reflects the political climate and liturgical obligations of -416, the likely dramatic date.	-500	
tlg0007.tlg014.perseus-eng2::0	tlg0007.tlg014.perseus-eng2	Plutarch	Comparison of Pericles and Fabius Maximus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship', 'Nobility', 'Lineage']	Ostracism and banishment of elites	Prominent citizens	Protection from arbitrary banishment	LESS	['Nevertheless, the courteous and gentle conduct of Fabius towards Minucius contrasts forcibly with the factious opposition of Pericles to Cimon and Thucydides, who were both good and true men and of the highest birth, and yet were subjected by him to ostracism and banishment.']	The text identifies that in Pericles' Athens, even high-born, prominent citizens (Cimon and Thucydides) were subject to ostracism and banishment, indicating a systematic lack of protection for one's right to remain in the city if they were political rivals to the leading statesman.	0	1	9.0	5	Banishment involves loss of home, land, and access to one's wealth and community.	5	Protection from exile is a foundational aspect of legal personhood.	4	Ostracism was typically a 10-year (long-term) but revocable status.	3	Prominence/high-birth is hard to change but involves social standing and reputation.	1	Discusses 5th-century BCE Athenian politics.	5	Verbatim cites specific historical figures (Cimon, Thucydides) who were factually ostracized.	0	Being 'prominent' is not defined by being banished.	Roman Empire;(Roman Empire)	Classical Athens; Middle Roman Republic	Compares the Athenian statesman Pericles with the Roman general Fabius Maximus.	past	-495.0	-203.0	Spans from the birth of Pericles (~-495) to the death of Fabius Maximus in -203 BCE.	Classical Athens	The verbatim specifically contrasts Fabius with Pericles' conduct in 5th-century Athens, citing the Athenian practice of ostracism.	-443	The ostracism of Thucydides son of Melesias, mentioned in the text, occurred in -443 BCE.	75	
tlg0062.tlg045.perseus-eng2::10	tlg0062.tlg045.perseus-eng2	Lucian of Samosata	The Dance	High Roman Empire (135–205 CE)	['Occupation', 'Education']	Dancer comprehensive mythological knowledge mandate	Pantomime dancers	Access to professional certification	LESS	['Beginning with Chaos and the primal origin of the world, he must know everything down to the story of Cleopatra the Egyptian. ... Let this be the range we prescribe for the dancer’s learning, and let him know thoroughly all that lies within it: the castration of Uranus, the begetting of Aphrodite, the battle of the Titans...']	Lucian outlines the 'prescribed' intellectual requirements for a professional dancer, establishing a rule that the practitioner must possess an exhaustive memory of classical mythology from the origin of the world to the end of the Ptolemaic era.	1	1	9.0	3	Mythological knowledge is an intellectual requirement for professional qualification and practice.	3	Covers an exhaustive range of themes applicable across many performances.	4	This baseline of knowledge is a permanent requirement for professional standing.	3	Professional role; learning is the process of entering the group.	0	Lucian is describing the 'prescribed' standards for his contemporary art.	4	Prescribes a curriculum as a normative professional requirement ('he must know').	0	Being a dancer does not inherently define knowing the history of Cleopatra.								Roman Empire	Lucian 'prescribes' the educational standard for the pantomime profession in his own society.	165	Dated to Lucian's floruit (c. 165 CE), reflecting the high intellectual expectations of the Second Sophistic.	155	
tlg0004.tlg001.perseus-eng2::103	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Gender']	Female semen sterility	Women	Generative capacity of semen	LESS	['That of the female is according to them sterile, being, as Sphaerus says, without tension, scanty, and watery.']	The text describes a biological rule within Stoic thought where women are denied the 'resource' of fertile/generative semen compared to the male equivalent, based on the criterion of gender.	1	1	9.0	5	Relates to biological reproduction and physical bodily functions.	3	Specific to a biological/medical theory of generation.	5	This is treated as a lifelong biological fact of the group.	5	Women is a biologically/sex-fixed group.	0	Reports contemporary Stoic biological theories.	5	Reports the theory as a stated 'fact' of the school's belief system.	0	Female biological definition does not necessarily include 'sterile semen' in all theories.		Greek philosophical tradition (pan-Hellenic)	The work documents the lives and doctrines of major Greek philosophical schools across various poleis.	past	-600.0	300.0	Spans from the Pre-Socratics (c. -600) to the early 3rd century CE, well before the author's likely floruit.	Stoic Philosophy	The verbatim cites Sphaerus, a Stoic philosopher, defining a biological/physical rule within that tradition.	-220	Sphaerus of Borysthenes was a pupil of Zeno and Cleanthes, active in the late 3rd century BCE.	210	
tlg0004.tlg001.perseus-eng2::92	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Age']	Exemption from service for seniors	Minors	Exemption from military cadet service	LESS	['Eratosthenes tells us that by Hipparchia, of whom we shall presently speak, he had a son born to him named Pasicles, and after he had ceased to be a cadet on service, Crates took him to a brothel.']	The mention of a son 'ceasing to be a cadet' implies a mandatory period of service (ephebeia) tied to a specific age group (young men), contrasting with the lack of such obligation for children or older adults.	0	1	7.0	4	Military service is a major demand on bodily freedom/labor.	5	Mandatory service is a foundational duty/exemption axis.	3	Exemption holds after a specific age-related life stage ends.	5	Age groups (cadet age) are biologically fixed at a given time.	1	Refers to the Hellenistic institution of the ephebeia.	5	Mentions the cessation of service as a standard procedural fact.	0	Military service is not the definition of 'minor' or 'son'.		Greek philosophical tradition (pan-Hellenic)	The work documents the lives and doctrines of major Greek philosophical schools across various poleis.	past	-600.0	300.0	Spans from the Pre-Socratics (c. -600) to the early 3rd century CE, well before the author's likely floruit.	Thebes	The mention of 'cadet service' (ephebeia) for Crates' son refers to the citizen obligations in a Greek polis, likely Thebes or Athens where he lived.	-300	Dated to the time Crates' son would have reached adulthood in the late 4th/early 3rd century BCE.	210	
tlg0062.tlg026.perseus-eng4::8	tlg0062.tlg026.perseus-eng4	Lucian	The Double Indictment	High Roman Empire (135–205 CE)	['Citizenship']	Citizen access to lawcourts	Citizens	Eligibility for jury service	MORE	['Gentlemen, you will remain and hear this second case, and will receive a double fee.']	The text describes the standard practice of compensating citizens for jury service with a fee, confirming their exclusive right to participate in the judicial process of the polis.	1	1	9.0	3	Eligibility to serve on a jury is access to a civic role.	3	Specific but recurring access to the judicial system.	3	Eligibility is a status that lasts for a specific life stage.	4	Citizenship is a hard-to-change legal birth-status.	0	Reflects the actual composition of Athenian law courts.	5	Describes professional compensation as a simple fact of the trial.	0	Juror eligibility is a right, not the definition of a citizen.								Classical Athens	Refers to Athenian citizen jury service and the associated state-provided fees.	-350	Standard practice in 4th-century BCE Athens regarding the payment of double fees for multiple sessions.	155	
tlg0004.tlg001.perseus-eng2::34	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Religion', 'Citizenship']	Citizen obligation to state gods	Citizens	Right to introduce new divinities	LESS	['Socrates is guilty of refusing to recognize the gods recognized by the state, and of introducing other new divinities. He is also guilty of corrupting the youth. The penalty demanded is death.']	The official indictment recorded in the text shows a legal rule in Athens prohibiting citizens from substituting state-recognized gods with new ones upon pain of death.	0	1	10.0	5	The resource is life itself (protection from execution).	5	The right to introduce/refuse gods is foundational to legal personhood.	5	The penalty (death) is a permanent structural loss.	4	Citizenship is a structural legal birth-status.	1	Refers to the specific historical trial of Socrates (399 BCE).	5	Verbatim is the official legal indictment recorded by history.	0	Citizenship does not definitionally include an obligation to state gods.		Greek philosophical tradition (pan-Hellenic)	The work documents the lives and doctrines of major Greek philosophical schools across various poleis.	past	-600.0	300.0	Spans from the Pre-Socratics (c. -600) to the early 3rd century CE, well before the author's likely floruit.	Classical Athens	The verbatim contains the formal legal indictment brought against Socrates in the Athenian court.	-399	The trial and execution of Socrates took place in Athens in -399.	210	
tlg0026.tlg001.perseus-eng2::26	tlg0026.tlg001.perseus-eng2	Aeschines	Against Timarchus	Late Classical (354–165 BCE)	['Citizenship']	Audit of outgoing magistrates	Citizens	Accountability of public officials	MORE	['The Athenian constitution provided for a rigorous system of accounting by all public officers at the close of their year of office. Not only their handling of public funds, but every official act, was passed upon by a board of state auditors (Λογισταί).']	The passage describes the legal requirement for all public officials to undergo a mandatory audit (logistai) upon leaving office to ensure financial and behavioral accountability.	1	1	10.0	3	Legal audits of officials produce tangible outcomes like fines or exemptions.	4	Foundational constitutional check across all public offices.	2	The audit occurs once at the close of an office term.	2	Public officer is a temporary, term-limited role.	0	Refers to the existing Athenian constitution.	5	Describes the board of auditors as a factual institution.	0	Holding office does not inherently define undergoing an audit (though it was law).								Classical Athens	The 'euthynai' (accountability audits) were a cornerstone of Athenian democratic governance.	-345	Aeschines describes these audits as a current and standard part of the Athenian constitution in 345 BCE.	-354	
tlg0007.tlg082.perseus-eng3::5	tlg0007.tlg082.perseus-eng3	Plutarch	Sayings of Spartans	Hellenistic & Early Roman (165 BCE – 105 CE)	['Gender']	Female exercise requirement	Women	Access to physical training	MORE	['When someone else desired to know why he instituted strenuous exercise for the bodies of the maidens in races and wrestling and throwing the discus and javelin, he said, So that the implanted stock of their offspring... may attain a noble growth.']	Lycurgus is stated to have created a rule granting Spartan women (maidens) access to the gymnasium and athletic training, a resource often restricted to men in other Greek societies.	1	1	9.0	3	Access to athletic training involves use of facilities and physical development.	3	Specific to the institution of the gymnasium and athletic festivals.	3	Bounded to the life stage of 'maidens' (pre-marriage or youth).	5	Gender is biologically fixed.	1	Refers to the Lycurgan institutions of the deep past.	5	Verbatim cites the institution of strenuous exercise as a fact of the lawgiver.	0	Being a woman has no conceptual link to wrestling or discus throwing.	Roman Empire;(Roman Empire)	Classical Sparta; Archaic Sparta	A collection of apophthegms specifically documenting the speech and customs of Spartan men.	past	-800.0	-200.0	Covers the traditional range of Spartan history from the Lycurgan reforms to the end of Spartan independence.	Archaic Sparta	The verbatim attributes the institution of female physical training to Lycurgus, the legendary Spartan lawgiver.	-800	Lycurgus's reforms are traditionally dated to the early 8th or 9th century BCE; -800 is the start of the work's span.	75	biography
tlg0014.tlg001.perseus-eng2::1	tlg0014.tlg001.perseus-eng2	Demosthenes	First Olynthiac	Late Classical (354–165 BCE)	['Citizenship']	Citizen assembly voting	Citizens	Right to vote in the Ekklesia	MORE	['For not only if someone comes forward with a well-considered plan, could you hear and accept it, but also I count it part of your good fortune that more than one speaker may be inspired with suitable suggestions on the spur of the moment, so that out of the multitude of proposals the choice of the best should not be difficult.', 'My own idea would be to vote an expedition at once, to make instant preparation for its dispatch, thus avoiding our previous blunder, and to send ambassadors to state our intentions and watch events.']	The text is an address to the Athenian assembly where citizens exercise their right to hear advice, deliberate on policy, and vote on military expeditions and the dispatch of ambassadors.	1	1	10.0	4	The power to vote on war and ambassadors is a concrete political right with material effects.	5	Foundational societal axis: political personhood and sovereignty.	5	The right to vote in the assembly is a lifelong citizen right.	4	Citizenship is a birth-status.	0	Demosthenes is speaking to the current Athenian assembly.	5	The verbatim occurs during the exercise of this very right in fact.	0	The group definition (citizen) does not tautologically define the 'vote'.								Classical Athens	The rule describes the sovereign function of the Athenian Ekklesia (Assembly).	-349	The First Olynthiac was delivered in late 349 BCE to urge Athens to aid Olynthus against Philip II.	-348	
