rule_uid	file_id	perseus_author	perseus_title	period	criteria	rule	group	resource	directionality	verbatim	reasoning	contemporary	factuality	confidence	resource_materiality	materiality_reasoning	resource_generality	generality_reasoning	resource_persistence	persistence_reasoning	group_immutability	immutability_reasoning	rule_contemporarity	contemporarity_reasoning	opinion_vs_fact	opinion_vs_fact_reasoning	tautology	tautology_reasoning	year	genre
tlg0086.tlg003.perseus-eng1::79	tlg0086.tlg003.perseus-eng1	Aristotle	Athenian Constitution	Late Classical (354–165 BCE)	['Citizenship']	Citizen oversight of public officials	Citizens	Right to impeach public officials	MORE	['Every person who had held any public office had to submit himself and his accounts to examination before a jury at the end of his term of office; on which occasion any citizen might impeach his conduct during his office.']	The text establishes a rule where the general body of citizens has the right to challenge or impeach any official during their end-of-term audit.	1	1.0	10	4	Right to prosecute officials can lead to material fines or recovery of stolen state assets.	4	Oversight of all public officials is a broad political right.	4	Right held throughout one's adult citizenship.	4	Citizenship is a hard-to-change legal status.	0	Standard part of the contemporary Athenian 'euthunai' process.	5	Direct description of constitutional procedure.	0	Citizenship does not conceptually include the right to impeach every officer.	-348	
tlg0086.tlg035.perseus-eng2::105	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Wealth / Properties']	Mandatory jury service for the wealthy	The wealthy	Protection from fines	LESS	['for example, in regard to the administration of justice, in oligarchies they institute a fine for the rich if they do not serve on juries but no pay for the poor for serving']	Aristotle describes a specific legal mechanism in contemporary oligarchies where the wealthy are penalized financially to compel their participation in the judicial system.	1	1.0	10	5	A fine is a direct loss of money/property, a tangible material resource.	3	Relates specifically to the penalty for non-attendance at juries.	2	The penalty is episodic, triggered by specific absences from jury duty sessions.	3	Wealth status is a durable social identity but can change over time.	0	Aristotle describes functional constitutional mechanisms existing in his own era.	5	The author reports this as a factual legal institution used in oligarchies.	0	Being wealthy does not inherently mean one is fined for jury absence.	-348	treatise
tlg0540.tlg012.perseus-eng2::9	tlg0540.tlg012.perseus-eng2	Lysias	Against Eratosthenes	Classical (500–360 BCE)	['Citizenship']	Citizen right to assembly deliberation	Citizens	Right to participate in the Assembly	LESS	['Finally, gentlemen, he kept the Assembly from meeting until the moment mentioned by the enemy had been carefully watched for by him, and he had sent for Lysander’s ships from Samos, and the enemy’s forces were quartered in the town. And now, with matters thus arranged, and in the presence of Lysander, Philochares and Miltiades, they called the Assembly to a debate on the constitution, when no orator could either oppose them or awe them with threats, while you, instead of choosing the course most advantageous to the city, could only vote in favour of their views.']	Lysias describes how the historical reality of the Thirty Tyrants' rise involved the suspension of free assembly meetings and the coercion of voters, indicating that under this regime, citizens lost their standard right to free deliberation and choice in the Assembly.	1	1.0	10	4	Assembly participation is a concrete legal right with material power effects.	4	Broad political right spanning many life outcomes.	5	Lifelong right for male citizens.	4	Citizenship is a legal birth-status.	0	Describes contemporary assembly suspension by the Thirty.	5	Reports historical events and the disruption of legal meetings.	0	Assembly participation is not part of the definition of 'citizen'.	-409	rhetoric
tlg0059.tlg008.perseus-eng2::15	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Education']	Scientific ruler's right to purge	Scientifically trained rulers	Right to exile or execute citizens	MORE	['And whether they purge the state for its good by killing or banishing some of the citizens, or make it smaller by sending out colonies somewhere, as bees swarm from the hive, or bring in citizens from elsewhere to make it larger, so long as they act in accordance with science and justice and preserve and benefit it by making it better than it was, so far as is possible, that must at that time and by such characteristics be declared to be the only right form of government.']	Plato argues that those possessing the 'science' of ruling have the legitimate authority to dispose of citizen lives and residency through execution or banishment if it serves the state's health, modeled on medical science.	1	0.0	9	5	The power to execute or exile involves direct control over bodies and land.	4	Extreme legal powers over life and death.	1	Expressed here as a single procedural act ('killing or banishing').	3	Defined by acquired expertise ('possessing science').	0	A theoretical proposal for contemporary government.	1	This is an ideal philosophical proposal/wish (normative theory).	0	Scientific knowledge is not defined by the right to kill.	-393	dialogue
tlg0014.tlg059.perseus-eng2::1	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	['Wealth / Properties']	Liturgy and war tax obligation	The wealthy	Exemption from state military financing	LESS	['For the laws prescribed that, when there was war, the funds remaining over from state expenditures should be devoted to military purposes, and Apollodorus believed that the people ought to have power to do what they pleased with their own.']	The text explains the legal requirement that state surplus (theoric funds) be diverted to military needs during war, which directly relates to how the wealthy/state managed financial resources for public defense.	1	1.0	9	5	Allocation of state funds to military vs. spectacles is highly material.	4	Covers a broad category of state financial and military policy.	3	The application of this fiscal rule is triggered by periods of war.	3	The wealthy are defined by a changeable (though durable) wealth bracket.	0	Demosthenes refers to current Athenian laws on theoric funds.	5	States 'the laws prescribed' the fund allocation as a fact.	0	Being wealthy does not define the legislative allocation of state surpluses.	-348	
tlg0086.tlg035.perseus-eng2::81	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Wealth', 'Lineage']	Ostracism of politically powerful citizens	Wealthy or noble citizens	Protection from arbitrary banishment	LESS	['This is why democratically governed states institute the system of ostracism, because of a reason of this nature; for these are the states considered to pursue equality most of all things, so that they used to ostracize men thought to be outstandingly powerful on account of wealth or popularity or some other form of political strength, and used to banish them out of the city for fixed periods of time.']	Aristotle describes a general legal mechanism (ostracism) used in Greek democracies to remove individuals who possessed disproportionate resources like wealth or influence, indicating these groups lacked full protection from state-mandated exile.	1	1.0	10	5	Exile and banishment are total losses of property, home, and safety.	4	Broad vulnerability affecting all aspects of a person's life.	3	Banishment is described as for 'fixed periods of time'.	3	Groups (wealthy/popular) are socio-political categories that are durable but can shift.	0	Discusses the practice of ostracism common in Classical Greek democracies.	5	Verbatim names the institution and procedure of ostracism as a fact.	0	Wealth or popularity does not definitionally lead to banishment.	-348	treatise
tlg0086.tlg003.perseus-eng1::71	tlg0086.tlg003.perseus-eng1	Aristotle	Athenian Constitution	Late Classical (354–165 BCE)	['Lineage', 'Nobility']	Noble monopoly on early archonship	Eupatridae	Eligibility for the archonship	MORE	['After four Archons had ruled on these conditions, the office was thrown open to all the Eupatridae, or nobles; and in 682 B.C. the board of nine annual Archons was substituted for the decennial Archon.']	The historical footnote describes how the highest political office (the archonship) was specifically reserved for the class of nobles (Eupatridae) following the transition from the royal house. This defines access to political power based on nobility/lineage.	0	1.0	9	4	Eligibility for high office grants access to political power and economic perks.	4	The Archonship was the foundational executive office of Athens.	4	Eligibility is a long-term status within a career path, though the office term is finite.	5	The Eupatridae are a hereditary noble lineage.	1	The text refers to the transition in 682 B.C., centuries before Aristotle.	5	Reported as a historical/constitutional fact.	0	Nobility is defined by birth, not necessarily by holding the office of Archon.	-348	
tlg0086.tlg035.perseus-eng2::9	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Freedom']	Just warfare for slave acquisition	Slaves	Protection from enslavement	LESS	['Hence even the art of war will by nature be in a manner an art of acquisition (for the art of hunting is a part of it) that is properly employed both against wild animals and against such of mankind as though designed by nature for subjection refuse to submit to it, inasmuch as this warfare is by nature just.']	Aristotle describes a societal rule regarding the 'just' acquisition of property through warfare, specifically targeting those 'designed by nature for subjection' (natural slaves) who resist, thereby justifying their forced enslavement.	1	0.0	9	5	Protection from enslavement is a fundamental protection of bodily integrity.	5	Enslavement is a foundational societal axis.	5	Enslavement results in a lifelong change of status.	4	Targets those 'designed for subjection' (natural slaves), a structural status in his view.	0	Describes the contemporary practice of 'just warfare' for slave acquisition.	3	Mixed; describes a real practice of war as a mode of acquisition but argues for its justice.	1	The group 'those designed for subjection' are synonymous with those who can be enslaved.	-348	treatise
tlg0059.tlg008.perseus-eng2::10	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Nobility']	Compulsory rule of the tyrant	Tyrants	Authority based on compulsion	MORE	['And if we call the art of those who use compulsion tyrannical or something of the sort and the voluntary care of voluntary bipeds political, may we not declare that he who possesses this latter art of caretaking is really the true king and statesman?']	The author distinguishes the tyrant from the king based on the mode of governance; the tyrant's defining characteristic in this social classification is the use of force or compulsion over the population.	1	1.0	9	4	Power based on compulsion involves the physical control of subjects.	4	Describes the general exercise of political power in a city.	4	Characteristic of the entire duration of a tyrannical regime.	3	Tyrant is a status acquired by seizing power.	0	Describes a contemporary political reality known to Athenians.	3	A mix of descriptive political theory and argumentation.	1	Defines a tyrant as one who uses compulsion.	-393	dialogue
tlg0086.tlg003.perseus-eng1::38	tlg0086.tlg003.perseus-eng1	Aristotle	Athenian Constitution	Late Classical (354–165 BCE)	['Citizenship', 'Wealth / Properties']	Disarmament of non-privileged citizens	Citizens	Right to bear arms	LESS	['Theramenes having been thus removed, they disarmed all the people except the Three Thousand, and in every respect showed a great advance in cruelty and crime.']	The 'Three Thousand' (a group defined by an enrollment list, effectively a wealth/status tier) were the only ones permitted to keep arms, while the rest of the citizenry had this resource removed by the ruling body.	0	1.0	9	5	Right to bear arms involves physical goods (weapons) and bodily defense.	4	Bearing arms is a major category of civic right/status.	4	Disarmament is a long-term status for the non-enrolled citizens.	4	Excluded group is the general citizen body minus the 3000 list.	1	Describes the historical actions of the Thirty Tyrants.	5	Reports the physical act of disarmament as an attested event.	0	Being a citizen does not tautologically define whether one owns a sword.	-348	
