group_meta	rule_polity	period	resource_granular	n_more	n_less	bit	contested
Artisans	Ancient Greece	Hellenistic & Early Roman (165 BCE – 105 CE)	Personal liberty	1	0	1	False
Artisans	Archaic Athens (Solonic)	Late Classical (354–165 BCE)	Protection from capital punishment	0	1	0	False
Artisans	Classical Athens	Classical (500–360 BCE)	Exemption from military service	2	0	1	False
Artisans	Classical Athens	Classical (500–360 BCE)	Testifying in court	0	1	0	False
Artisans	Classical Athens	Late Classical (354–165 BCE)	Access to specialized courts	1	0	1	False
Artisans	Classical Athens	Late Classical (354–165 BCE)	Eligibility for public office	0	1	0	False
Artisans	Classical Athens	Late Classical (354–165 BCE)	Exemption from taxes	1	0	1	False
Artisans	Classical Athens	Late Classical (354–165 BCE)	Participation in sacred rites	1	0	1	False
Artisans	Classical Greece	High Roman Empire (135–205 CE)	Owning and retaining property	1	0	1	False
Artisans	Classical Thebes	Late Classical (354–165 BCE)	Eligibility for the archonship	0	1	0	False
Artisans	Early Christian Church	Hellenistic & Early Roman (165 BCE – 105 CE)	Retaining one's own earnings	1	0	1	False
Artisans	Early Roman Kingdom	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for public office	1	0	1	False
Artisans	Early Roman Kingdom	Hellenistic & Early Roman (165 BCE – 105 CE)	Exemption from manual or agricultural labor	0	1	0	False
Artisans	Roman Empire	High Roman Empire (135–205 CE)	Eligibility for public honors	1	0	1	False
Artisans	Roman Empire	High Roman Empire (135–205 CE)	Exemption from manual or agricultural labor	0	1	0	False
Artisans	Roman Empire	High Roman Empire (135–205 CE)	Testifying in court	1	1	X	True
Artisans	Thebes	Late Classical (354–165 BCE)	Eligibility for public office	0	1	0	False
Artisans	Thessaly	Late Classical (354–165 BCE)	Access to the Agora	0	1	0	False
Artisans;Soldiers	Ancient Egypt	Classical (500–360 BCE)	Exemption from manual or agricultural labor	0	1	0	False
Christians	Early Christian Church	Hellenistic & Early Roman (165 BCE – 105 CE)	Participation in sacred rites	1	0	1	False
Christians	Early Christian Church	Hellenistic & Early Roman (165 BCE – 105 CE)	Personal liberty	0	1	0	False
Christians	Early Christian Community	Hellenistic & Early Roman (165 BCE – 105 CE)	Right to citizenship	0	1	0	False
Citizens	Achaean League	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for military command	0	1	0	False
Citizens	Archaic Athens	Late Classical (354–165 BCE)	Right of residence	0	1	0	False
Citizens	Archaic Athens (Peisistratid)	Late Classical (354–165 BCE)	Access to specialized courts	1	0	1	False
Citizens	Archaic Athens (Solonic)	Classical (500–360 BCE)	Protection from penal corporal punishment	0	1	0	False
Citizens	Archaic Athens (Solonic)	High Roman Empire (135–205 CE)	Access to formal education	1	0	1	False
Citizens	Archaic Athens (Solonic)	High Roman Empire (135–205 CE)	Right to a trial	2	0	1	False
Citizens	Archaic Athens (Solonic)	Late Classical (354–165 BCE)	Election of magistrates	1	0	1	False
Citizens	Archaic Athens (Solonic)	Late Classical (354–165 BCE)	Exemption from legal audit	1	0	1	False
Citizens	Archaic Athens (Solonic)	Late Classical (354–165 BCE)	Protection from enslavement for debt	1	0	1	False
Citizens	Archaic Athens (Solonic)	Late Classical (354–165 BCE)	Right to a trial	2	0	1	False
Citizens	Archaic Athens (Solonic)	Late Classical (354–165 BCE)	Right to citizenship	0	1	0	False
Citizens	Archaic Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Owning land	1	0	1	False
Citizens	Athens (The Thirty Tyrants)	Classical (500–360 BCE)	Protection from execution without trial	0	1	0	False
Citizens	Athens (The Thirty Tyrants)	Classical (500–360 BCE)	Voting in the assembly	0	1	0	False
Citizens	Carthage	Late Classical (354–165 BCE)	Speaking in the assembly	1	0	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Access to physical training	1	0	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Access to specialized courts	1	0	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Deliberative authority	1	0	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Disposing of property by will	1	0	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Eligibility for jury service	2	0	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Eligibility for public office	3	0	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Eligibility for the council	2	0	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Enrollment in civic sub-units	2	0	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Exemption from liturgies	1	0	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Exemption from military service	1	0	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Immunity from prosecution	7	2	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Inheriting property	1	0	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Owning and retaining property	1	0	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Pay for assembly or jury service	3	0	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Possession of arms	0	1	0	False
Citizens	Classical Athens	Classical (500–360 BCE)	Proposing legislation	3	0	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Protection from arbitrary arrest	2	0	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Protection from arbitrary banishment	1	2	0	False
Citizens	Classical Athens	Classical (500–360 BCE)	Protection from capital punishment	1	0	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Protection from execution without trial	3	2	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Protection from judicial torture	1	0	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Protection from private assault	1	0	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Protection from property seizure	0	4	0	False
Citizens	Classical Athens	Classical (500–360 BCE)	Protection from slander	1	0	1	False
