perseus_id	perseus_author	author_impact_date	wikidata_work_label	perseus_title	genre	form_of_creative_work	instance_of	is_mythological	mythological_reason
tlg0006.tlg009	Euripides	-445	Heracles Mad	Heracles			version, edition or translation, translation work	0	Lucian's Alexander the False Prophet is a polemical biography satirizing a contemporary charlatan.
tlg0006.tlg007	Euripides	-445	Hecuba	Hecuba	Greek tragedy	play	dramatic work	1	Euripides' 'Hecuba' is a Greek tragedy, a genre that typically draws its subject matter from mythology.
tlg0006.tlg001	Euripides	-445	Cyclops	The Cyclops	satyr play	play	dramatic work	1	Euripides' 'Cyclops' is a satyr play, a genre that typically draws its subject matter from mythology.
tlg0006.tlg006	Euripides	-445	Andromache	Andromache	Greek tragedy	play	dramatic work	1	Euripides' 'Andromache' is a Greek tragedy, a genre that typically draws its subject matter from mythology.
tlg0006.tlg008	Euripides	-445	The Suppliants	The Suppliants	Greek tragedy	play	dramatic work	1	Euripides' 'The Suppliants' is a Greek tragedy, a genre that typically draws its subject matter from mythology.
tlg0006.tlg012	Euripides	-445	Electra	Electra	Greek tragedy	play	dramatic work	1	Euripides' 'Electra' is a Greek tragedy, a genre that typically draws its subject matter from mythology.
tlg0006.tlg014	Euripides	-445	Helen	Helen	Greek tragedy	play	dramatic work	1	Euripides' 'Helen' is a Greek tragedy, a genre that typically draws its subject matter from mythology.
tlg0006.tlg003	Euripides	-445	Medea	Medea	Greek tragedy	play	dramatic work	1	Euripides' 'Medea' is a Greek tragedy, a genre that typically draws its subject matter from mythology.
tlg0006.tlg005	Euripides	-445	Hippolytus	Hippolytus	Greek tragedy	play	dramatic work	1	Euripides' 'Hippolytus' is a Greek tragedy, a genre that typically draws its subject matter from mythology.
tlg0006.tlg002	Euripides	-445	Alcestis	Alcestis	tragicomedy, Greek tragedy	play	dramatic work, literary work	1	Euripides' 'Alcestis' is a Greek tragedy, a genre that typically draws its subject matter from mythology.
tlg0006.tlg011	Euripides	-445	The Trojan Women	The Trojan Women	Greek tragedy	play	dramatic work	1	Euripides' 'The Trojan Women' is a Greek tragedy, a genre that typically draws its subject matter from mythology.
tlg0006.tlg016	Euripides	-445	Orestes	Orestes	Greek tragedy	play	dramatic work	1	Euripides' 'Orestes' is a Greek tragedy, a genre that typically draws its subject matter from mythology.
tlg0006.tlg018	Euripides	-445	Iphigenia in Aulis	Iphigenia in Aulis	Greek tragedy	play	dramatic work	1	Euripides' 'Iphigenia in Aulis' is a Greek tragedy, a genre that typically draws its subject matter from mythology.
tlg0006.tlg019	Euripides	-445	Rhesus	Rhesus			version, edition or translation, translation work	1	Euripides' 'Rhesus' is a Greek tragedy, a genre that typically draws its subject matter from mythology.
tlg0006.tlg017	Euripides	-445	The Bacchae	Bacchae	Greek tragedy	play	dramatic work	1	Euripides' 'The Bacchae' is a Greek tragedy, a genre that typically draws its subject matter from mythology.
tlg0006.tlg010	Euripides	-445	Ion	Ion	Greek tragedy, melodrama	play	dramatic work	1	Euripides' 'Ion' is a Greek tragedy, a genre that typically draws its subject matter from mythology.
tlg0006.tlg015	Euripides	-445	The Phœnician Maidens	The Phoenician Maidens			version, edition or translation	1	Euripides' 'The Phœnician Maidens' is a Greek tragedy, a genre that typically draws its subject matter from mythology.
tlg0006.tlg004	Euripides	-445	Herakles	Heracleidae	Greek tragedy	play	dramatic work	1	Euripides' 'Herakles' is a Greek tragedy, a genre that typically draws its subject matter from mythology.
tlg0006.tlg013	Euripides	-445	Iphigenia in Tauris	Iphigenia Among the Tauri	Greek tragedy, tragicomedy	play	dramatic work	1	Euripides' 'Iphigenia in Tauris' is a Greek tragedy, a genre that typically draws its subject matter from mythology.
tlg0008.tlg001	Athenaeus	205	Deipnosophistae	The Deipnosophists		anthology	written work	0	Athenaeus' 'Deipnosophistae' is an anthology of conversations at a banquet, reflecting contemporary customs and knowledge.
tlg0010.tlg009	Isocrates	-400	Helen	Helen			literary work	1	Isocrates' 'Helen' is an encomium on the mythological figure Helen of Troy, placing it in a legendary past.
tlg0010.tlg007	Isocrates	-400	To Demonicus	To Demonicus			literary work	0	Isocrates' 'To Demonicus' is a hortatory letter offering advice, which is contemporary in nature.
tlg0010.tlg001	Isocrates	-400	Against Euthynus	Against Euthynus			literary work, oration	0	Isocrates' 'Against Euthynus' is an oration, typically dealing with contemporary legal or political matters.
tlg0010.tlg006	Isocrates	-400	Aegineticus	Aegineticus			literary work, oration	0	Isocrates' 'Aegineticus' is an oration, typically dealing with contemporary legal or political matters.
tlg0010.tlg030	Isocrates	-400	Philip	Letter 3. To Philip, II			literary work	0	Isocrates' 'Philip' is an oration addressed to Philip II of Macedon, dealing with contemporary political issues.
