group	rule_polity	c_sex	c_age	c_ownership_status	c_ancestry	c_residence	c_wealth	c_kinship_role	c_occupation	requires_rights_definition	emic_label	criterion_reasoning
Greeks	Roman Empire	any	any	unspecified	foreign	any	any	unspecified	any	False	Graeci	Ethnocultural grouping based on language and ancestry from the Greek East, distinct from Roman/Latian origins.
Citizens of Greek city-states	Roman Empire	male	adult	free	native	resident	any	unspecified	any	False	politai	Adult free males born to parent(s) of a specific Greek polis; membership is defined by local descent and free status regardless of Roman oversight.
Nobles	Roman Empire	any	adult	free	native	any	high	unspecified	any	False	nobiles	High-status individuals with ancestral history of holding high office, typically associated with high wealth and inherited prestige.
Citizens	Roman Empire	male	adult	free	mixed	any	any	unspecified	unspecified	False	cives Romani	Free males of Roman descent or those granted membership; can be picked out by personal status as free non-aliens in the Roman context.
Foreigners	Hellenistic Greece	any	any	free	foreign	resident	any	unspecified	any	False	xenoi	Free persons physically present in a Greek city-state who lack local ancestral descent.
Nobles	Classical Sparta	male	adult	free	native	resident	high	unspecified	soldier	False	homoioi	The 'Equals' or Spartan elite; adult males of Spartan descent who have completed the agoge and contribute to syssitia.
Citizens	Classical Athens	male	adult	free	native	resident	any	unspecified	unspecified	False	politēs	Free adult male born of two Athenian parents; criteria based on descent and life-stage rather than specific rights held.
The wealthy	Classical Athens	any	adult	free	unspecified	resident	high	unspecified	any	False	plousioi	Individuals with high material-economic resources or land yield, capable of self-funding liturgies.
State debtors	Classical Athens	any	adult	free	unspecified	resident	low	unspecified	any	True	opheilōn tō dēmosiō	Defined by a specific legal-financial relation to the treasury; requires reference to the state's accounting/penal system.
Aliens	Classical Athens	any	any	free	foreign	resident	any	unspecified	any	False	xenoi	Free persons of non-Athenian descent physically located within the borders of Attica.
Freedom claimants	Classical Athens	any	any	unspecified	unspecified	resident	any	unspecified	any	True		Individuals whose status as free or enslaved is under legal dispute; status is intrinsically tied to a court claim/legal process.
Wives	Classical Athens	female	adult	free	unspecified	resident	any	spouse	none	False	gynaikes	Adult females in a relational marital union; identifiable by social/kinship role regardless of legal standing.
Naturalized citizens	Classical Athens	male	adult	free	foreign	resident	any	unspecified	any	True	poiētos politēs	Foreigners granted citizen status by decree; inclusion is entirely a product of the rights system (artificial ancestry).
Slaves	Classical Athens	any	any	enslaved	any	resident	low	unspecified	any	False	douloi	Persons owned as property by another, subject to coercion and sale; a relational material fact.
The poor	Classical Athens	any	any	free	unspecified	resident	low	unspecified	any	False	penētes	Persons with little to no property who must work for a living; defined by material scarcity and economic role.
Resident aliens	Classical Athens	any	any	free	foreign	resident	any	unspecified	any	False	metoikoi	Free non-natives living long-term in Attica; ancestry and geography are the primary separators.
Foreigners	Athenian Empire	any	any	free	foreign	non_resident	any	unspecified	any	False	xenoi	Persons of non-Athenian ancestry living outside Attica but within the sphere of the Empire.
Choragi and Trierarchs	Classical Athens	male	adult	free	native	resident	high	unspecified	unspecified	True	litourgountes	Wealthy citizens performing specific state-mandated financial roles; category is defined by the legal obligation of the liturgy.
Royal claimants	Mythological / legendary setting	any	any	free	native	any	high	heir	none	True		Individuals claiming a right to rule based on lineage; 'claimant' status is inherently relative to a contested right of office.
Statesmen	Classical Greece	male	adult	free	native	resident	high	unspecified	statesman	True	rhētor kai stratēgos	Leaders active in deliberation and office; role is defined by participation in the rights-governed political system.
Education	Classical Athens	any	minor	free	unspecified	resident	any	unspecified	student	False	paideia	Refers to the demographic undergoing instruction; typically free male youths in Athens, defined by their developmental stage and activity.
