rule_uid	file_id	perseus_author	perseus_title	period	criteria	rule	group	resource	directionality	verbatim	reasoning	contemporary	factuality	confidence	resource_materiality	materiality_reasoning	resource_generality	generality_reasoning	resource_persistence	persistence_reasoning	group_immutability	immutability_reasoning	rule_contemporarity	contemporarity_reasoning	opinion_vs_fact	opinion_vs_fact_reasoning	tautology	tautology_reasoning	work_author_polity_cliopatria	work_polity	work_polity_reasoning	work_time_reference	work_time_start	work_time_end	work_time_reasoning	rule_polity	rule_polity_reasoning	rule_date	rule_time_reasoning
tlg0007.tlg118.perseus-eng3::0	tlg0007.tlg118.perseus-eng3	Plutarch	Precepts of Statecraft	Hellenistic & Early Roman (165 BCE – 105 CE)	['Ethnicity']	Greek exclusion from large-scale statecraft	Greeks	Access to high-level imperial governance	LESS	['The exercise of statecraft on a large scale was virtually limited to Romans. The ancient Greek city-states retained, however, their local self-government, subject to the supervision of the proconsul; they could enter into agreements with each other, and could send envoys to Rome if occasion arose. A man could, therefore, find useful and honourable occupation in public life, as Plutarch himself did.']	The text describes a systematic restriction where 'large scale' statecraft is reserved for Romans, while Greeks (the group to which the author and the recipient belong) are limited to local administrative roles under Roman supervision (the proconsul).	1	1.0	9.0	3	High-level governance involves tangible administrative power and resource control.	4	Imperial statecraft is a broad category of political power.	4	Exclusion from high office is a durable career-long constraint.	5	Greek ethnicity is a birth-fixed biological/cultural trait.	0	Plutarch describes the current Roman administrative reality of his time.	5	Verbatim states the limitation as a plain historical/political fact.	0	Ethnicity does not inherently define level of statecraft involvement.	Roman Empire;(Roman Empire)	Roman Empire; Classical Greek poleis	Advice for young Greeks entering politics under Roman imperial administration, referencing past Greek autonomy.	mixed	-500.0	100.0	Discusses contemporary local governance in the Roman Empire while citing classical Athenian and Spartan precedents.	Roman Empire	Plutarch writes about the contemporary reality where Greeks are subjects of the Roman Empire and excluded from imperial governance.	100	Plutarch wrote 'Precepts of Statecraft' around 100 CE, during the peak of his literary and public career.
tlg0007.tlg118.perseus-eng3::1	tlg0007.tlg118.perseus-eng3	Plutarch	Precepts of Statecraft	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship']	City-state local self-government	Citizens of Greek city-states	Right to local self-government	MORE	['The ancient Greek city-states retained, however, their local self-government, subject to the supervision of the proconsul; they could enter into agreements with each other, and could send envoys to Rome if occasion arose.']	Under Roman rule, Greek citizens retained specific legal rights to manage local affairs, enter treaties with other cities, and petition the central Roman authority through envoys.	1	1.0	10.0	4	Local self-government includes managing funds, treaties, and local law.	4	Covers a wide range of local administrative and legal powers.	5	A city's status and its citizens' collective rights are structural and lifelong.	4	Citizenship in a Greek city-state is a rigid legal birth-status.	0	Refers to the existing status of Greek cities under the Roman Empire.	5	Describes the retention of local rights as a recognized legal fact.	0	Being a citizen of a city does not inherently guarantee self-government under empire.	Roman Empire;(Roman Empire)	Roman Empire; Classical Greek poleis	Advice for young Greeks entering politics under Roman imperial administration, referencing past Greek autonomy.	mixed	-500.0	100.0	Discusses contemporary local governance in the Roman Empire while citing classical Athenian and Spartan precedents.	Roman Empire	The text describes the specific administrative autonomy granted to Greek cities while under the authority of the Roman proconsul.	100	Dated to Plutarch's floruit around 100 CE, reflecting the administrative status of Greek cities in his time.
tlg0007.tlg118.perseus-eng3::2	tlg0007.tlg118.perseus-eng3	Plutarch	Precepts of Statecraft	Hellenistic & Early Roman (165 BCE – 105 CE)	['Nobility']	Noble access to magistracies	Nobles	Eligibility for the archonship	MORE	['Therefore, seeing that the desire has been aroused in you a Speaker of speeches to be, and also a doer of actions in your native State, as befits your noble birth, since you have not time to gain an understanding of a philosopher’s life in the open among affairs of State and public conflicts or to be a spectator of examples worked out in deed, not merely in word, and since you ask for some precepts of statecraft, I think it is not at all fitting that I should refuse']	Plutarch addresses Menemachus, stating that public leadership and political action are appropriate specifically due to his 'noble birth', indicating that high lineage grants the right and expectation to participate in statecraft.	1	1.0	9.0	3	Archonship grants access to social roles with material outcomes.	3	Specific to the role of magistrate or archon in the city.	4	Elite status and eligibility for office are typically lifelong.	5	'Noble birth' is a strictly immutable lineage-based trait.	0	Plutarch addresses a living recipient about his current political role.	4	Frames eligibility as a matter of birthright, implying a social/legal fact.	0	Nobility does not always formally mandate political office in all systems.	Roman Empire;(Roman Empire)	Roman Empire; Classical Greek poleis	Advice for young Greeks entering politics under Roman imperial administration, referencing past Greek autonomy.	mixed	-500.0	100.0	Discusses contemporary local governance in the Roman Empire while citing classical Athenian and Spartan precedents.	Roman Empire	Plutarch discusses the civic duties of a contemporary Greek aristocrat (Menemachus) within the Roman provincial system.	100	The text is an address to a contemporary of Plutarch, written circa 100 CE.
tlg0007.tlg118.perseus-eng3::3	tlg0007.tlg118.perseus-eng3	Plutarch	Precepts of Statecraft	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship']	Citizen assembly voting	Citizens	Right to vote in the Ekklesia	MORE	['Take care, Pericles; you are ruling free men, you are ruling Greeks, Athenian citizens, but you must also say to yourself: You who rule are a subject, ruling a State controlled by proconsuls, the agents of Caesar; these are not the spearmen of the plain, nor is this ancient Sardis, nor the famed Lydian power. You should arrange your cloak more carefully and from the office of the generals keep your eyes upon the orators’ platform, and not have great pride or confidence in your crown, since you see the boots of Roman soldiers just above your head.']	Plutarch reminds the statesman that he deals with 'Athenian citizens' who are 'free men', implying their inherent right to be governed as a collective with political participation, even under the shadow of Roman authority.	1	1.0	8.0	4	Voting in the assembly is a concrete legal right with material effects.	5	Assembly voting is a foundational axis of Greek political life.	5	Citizen voting rights are generally lifelong for free adult males.	4	Status as 'Athenian citizens' and 'free men' is a legal birth-status.	0	Refers to the current population of Athens ruled by Roman agents.	4	While hortatory, it identifies the group as 'free men' with specific status.	0	Being 'free' or 'Greek' does not automatically entail specific assembly rights.	Roman Empire;(Roman Empire)	Roman Empire; Classical Greek poleis	Advice for young Greeks entering politics under Roman imperial administration, referencing past Greek autonomy.	mixed	-500.0	100.0	Discusses contemporary local governance in the Roman Empire while citing classical Athenian and Spartan precedents.	Roman Empire	The author addresses the governance of contemporary Athenian citizens subject to Roman proconsuls and 'the boots of Roman soldiers'.	100	Plutarch writes this advice to a contemporary politician around 100 CE.
tlg0007.tlg118.perseus-eng3::4	tlg0007.tlg118.perseus-eng3	Plutarch	Precepts of Statecraft	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship']	Roman oversight of local decrees	Citizens	Autonomy in local government	LESS	['For just as those who have become accustomed neither to dine nor to bathe except by the physician’s orders do not even enjoy that degree of health which nature grants them, so those who invite the sovereign’s decision on every decree, meeting of a council, granting of a privilege, or administrative measure, force their sovereign to be their master more than he desires.']	The text describes a contemporary reality where local Greek cities frequently refer their own decrees and administrative measures to the Roman 'sovereigns', thereby losing their practical autonomy.	1	1.0	9.0	3	Administrative autonomy affects local resource management and decree implementation.	3	Specific to local decrees and administrative measures.	4	The erosion of local autonomy is a structural, long-term shift.	4	Citizen status is a structural birth-status.	0	Plutarch is critiquing the current behavior of his contemporaries.	3	Mixing a description of practice with authorial advice and metaphor.	0	Citizenship does not conceptually define the level of Roman oversight.	Roman Empire;(Roman Empire)	Roman Empire; Classical Greek poleis	Advice for young Greeks entering politics under Roman imperial administration, referencing past Greek autonomy.	mixed	-500.0	100.0	Discusses contemporary local governance in the Roman Empire while citing classical Athenian and Spartan precedents.	Roman Empire	Plutarch critiques the contemporary tendency of Greek city councils to refer all local decisions to Roman authorities.	100	This reflects the real-time political habits of Greek cities toward Rome during Plutarch's life, circa 100 CE.
tlg0007.tlg118.perseus-eng3::5	tlg0007.tlg118.perseus-eng3	Plutarch	Precepts of Statecraft	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship']	Proconsular annulment of local power	Citizens	Legislative finality	LESS	['For what dominion, what glory is there for those who are victorious? What sort of power is it which a small edict of a proconsul may annul or transfer to another man and which, even if it last, has nothing in it seriously worth while?']	Plutarch explains that any local political power or decision gained by citizens can be immediately annulled by a Roman proconsul's edict, showing a lack of final legislative resource for the local group.	1	1.0	10.0	4	Proconsular edicts have direct force of law over property and status.	4	Describes the broad power of imperial edicts over local law.	4	An annulment has a permanent or long-term effect on a legal measure.	4	Refers to citizens under Roman dominion, a legal status.	0	Describes the current legal hierarchy in the Roman East.	4	Asserted as a factual reality of imperial power dynamics.	0	Local citizenship does not conceptually define imperial veto power.	Roman Empire;(Roman Empire)	Roman Empire; Classical Greek poleis	Advice for young Greeks entering politics under Roman imperial administration, referencing past Greek autonomy.	mixed	-500.0	100.0	Discusses contemporary local governance in the Roman Empire while citing classical Athenian and Spartan precedents.	Roman Empire	This describes the legal hierarchy where a Roman proconsul's edict overrides local Greek political decisions.	100	Dated to Plutarch's career around 100 CE, describing the contemporary relationship between Roman power and Greek local rule.
tlg0007.tlg119.perseus-eng3::0	tlg0007.tlg119.perseus-eng3	Plutarch	On Monarchy, Democracy, and Oligrachy	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship']	Granting of citizenship by state vote	Foreigners	Right to hold citizenship	MORE	['Now the word politeia (citizenship) is defined also as having a share of the rights in a State, as we say the Megarians voted Alexander the politeia (citizenship); and when he made fun of their eagerness, they told him that up to that time they had conferred citizenship upon Heracles only and now upon himself.']	The text describes citizenship (politeia) as a concrete 'share of the rights in a State' that can be granted to individuals (like Alexander) through a formal vote by the existing citizen body (the Megarians). This defines the process for an out-group member to gain the resource of citizenship.	0	1.0	10.0	4	Citizenship is a bundle of material rights (property, legal standing).	5	Citizenship is a foundational societal axis.	5	Once granted, citizenship is typically lifelong.	3	Foreigners can acquire citizenship via state vote (naturalisation).	0	Plutarch uses the Megarian example to define the concept in his time.	5	Provides a clear definition of 'politeia' and a specific historical/legal mechanism.	0	Being a 'foreigner' does not define the mechanism of gaining citizenship.	Roman Empire;(Roman Empire)	Classical Greek poleis; Roman Empire	A political treatise comparing forms of government using historical and contemporary frameworks.	mixed	-500.0	100.0	Analyzes Greek political theory and its application within the context of the Roman Empire.	Hellenistic Greece	The author cites an anecdote about the Megarians granting citizenship to Alexander the Great to define the concept of citizenship.	-330	The rule describes a specific historical action taken by Megara during the career of Alexander the Great, circa -330.
tlg0007.tlg119.perseus-eng3::1	tlg0007.tlg119.perseus-eng3	Plutarch	On Monarchy, Democracy, and Oligrachy	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship']	Citizen participation in public affairs	Citizens	Right to participate in statecraft	MORE	['Now the word politeia (citizenship) is defined also as having a share of the rights in a State... But the life of a statesman, a man who is occupied in public affairs, is also called politeia (statecraft); as, for example, we commend the politeia (statecraft) of Pericles and of Bias, but condemn that of Hyperbolus and Cleon.']	The text links the status of citizenship (politeia) directly to the 'share of rights' and the active engagement in 'public affairs' (statecraft). It frames this as a standard resource available to those within the political community to influence the state.	1	1.0	9.0	3	Statecraft produces tangible outcomes in terms of policy and power.	5	Participation in public affairs is a broad life outcome.	4	Statecraft is a long-term career capacity for a citizen.	4	Citizenship is a structural birth-status.	0	Defines a concept and practice within the author's cultural sphere.	4	Defines terms based on recognized social and political categories.	1	Partially tautological: politeia is both citizenship and statecraft by definition.	Roman Empire;(Roman Empire)	Classical Greek poleis; Roman Empire	A political treatise comparing forms of government using historical and contemporary frameworks.	mixed	-500.0	100.0	Analyzes Greek political theory and its application within the context of the Roman Empire.	Roman Empire	Plutarch uses historical examples to define citizenship and 'politeia' for his contemporary audience under Roman rule.	100	Stated as a contemporary political definition by Plutarch at his floruit circa 100 CE.
tlg0007.tlg119.perseus-eng3::2	tlg0007.tlg119.perseus-eng3	Plutarch	On Monarchy, Democracy, and Oligrachy	Hellenistic & Early Roman (165 BCE – 105 CE)	['Nobility']	Oligarchic equal power sharing	Nobles	Right to equal political power	MORE	['in the same way the real statesman will manage successfully the oligarchy that Lycurgus established at Sparta, adapting to himself the colleagues who have equal power and honour and quietly forcing them to do his will']	In the description of the Spartan oligarchy established by Lycurgus, the author notes that the governing group (the colleagues/nobles) possesses equal power and honor by rule. While a statesman may try to influence them, the starting legal/normative position is one of shared, equal authority among the group.	1	1.0	9.0	4	Equal power in an oligarchy includes control over state resources.	4	Broad sharing of political authority within the ruling class.	5	Spartan 'homoioi' status was lifelong and structural.	5	Spartan nobility/eligibility was strictly tied to birth and training.	1	Refers back to the Lycurgan establishment in Sparta's past.	4	Reported as a factual feature of the Spartan constitution.	0	Being a noble does not inherently imply equal power sharing.	Roman Empire;(Roman Empire)	Classical Greek poleis; Roman Empire	A political treatise comparing forms of government using historical and contemporary frameworks.	mixed	-500.0	100.0	Analyzes Greek political theory and its application within the context of the Roman Empire.	Classical Sparta	The text explicitly discusses the oligarchy established by Lycurgus at Sparta and the power sharing among peers.	-348	Though written later, it describes the traditional Spartan constitution viewed as an operative historical model; -348 is a representative classical date.
tlg0014.tlg059.perseus-eng2::0	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	['Citizenship']	Citizen right to propose legislation	Citizens	Right to bring bills to the senate	MORE	['Apollodorus, being one of its members, brought forward in the senate a bill, and carried it as a preliminary decree to the assembly, proposing that the people should decide whether the funds remaining over from the state’s expenditure should be used for military purposes or for public spectacles.']	The text describes Apollodorus, a citizen and senator, exercising the legal right to propose a decree. This was a specific political resource tied to citizen status and selection for the senate.	1	1.0	10.0	4	Right to bring bills influences the allocation of state funds.	3	Specific to a particular legislative procedure.	4	The status of being a senator/citizen enabled recurring legislative action.	4	Citizen status in Athens was a legal birth-status.	0	Demosthenes is speaking about a contemporary legal action in Athens.	5	Verbatim describes a legal procedure as pure attested fact.	0	Being a citizen does not define the specific procedure of senate bills.								Classical Athens	Demosthenes describes a specific legislative action taken by a member of the Athenian senate.	-340	The speech 'Against Neaera' was delivered in the mid-4th century BCE, approximately -340.
