file_id	perseus_id	perseus_author	perseus_title	wikidata_work_id	wikidata_work_label	author_wikidata_id	author_impact_date	year	period	genre	form_of_creative_work	instance_of	factuality	factuality_reason	main_language	languages	editors	pub_date	n_characters	n_words	n_pages	file_path	work_factuality
tlg0027.tlg004.perseus-eng2	tlg0027.tlg004	Andocides	Against Alcibiades			Q492228	-500	-500	Classical (500–360 BCE)				4.0	Andocides was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.	English	eng; grc; lat	Kenneth John Maidment	1941	29491	5226	21	tlg0027/tlg004/tlg0027.tlg004.perseus-eng2.xml	B_oration
tlg0027.tlg002.perseus-eng2	tlg0027.tlg002	Andocides	On His Return	Q27663867	On His Return	Q492228	-500	-500	Classical (500–360 BCE)			version, edition or translation	4.0	Andocides was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.	English	grc; eng; lat	Kenneth John Maidment	1941	16263	2941	12	tlg0027/tlg002/tlg0027.tlg002.perseus-eng2.xml	B_oration
tlg0027.tlg001.perseus-eng2	tlg0027.tlg001	Andocides	On the Mysteries	Q87737021	On the Mysteries	Q492228	-500	-500	Classical (500–360 BCE)			literary work, oration	4.0	Andocides was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.	English	grc; eng; lat	Kenneth John Maidment	1941	106628	18619	74	tlg0027/tlg001/tlg0027.tlg001.perseus-eng2.xml	B_oration
tlg0027.tlg003.perseus-eng2	tlg0027.tlg003	Andocides	On the Peace with Sparta	Q87737023	On the Peace with Sparta	Q492228	-500	-500	Classical (500–360 BCE)			literary work, oration	4.0	Andocides was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.	English	eng; grc; lat	Kenneth John Maidment	1941	30121	5221	21	tlg0027/tlg003/tlg0027.tlg003.perseus-eng2.xml	B_oration
tlg0028.tlg006.perseus-eng2	tlg0028.tlg006	Antiphon	On the Choreutes	Q87738364	On the Choreutes	Q15078686	-500	-500	Classical (500–360 BCE)			oration, literary work	4.0	Antiphon was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.	English	grc; lat; eng	Kenneth John Maidment	1941	35112	6061	24	tlg0028/tlg006/tlg0028.tlg006.perseus-eng2.xml	B_oration
tlg0028.tlg005.perseus-eng2	tlg0028.tlg005	Antiphon	On the Murder of Herodes	Q87738365	On the Murder of Herodes	Q15078686	-500	-500	Classical (500–360 BCE)			literary work, oration	4.0	Antiphon's 'On the Murder of Herodes' is a legal oration, reflecting contemporary legal practices and social rules.	English	grc; lat; eng	Kenneth John Maidment	1941	64449	11540	46	tlg0028/tlg005/tlg0028.tlg005.perseus-eng2.xml	B_oration
tlg0028.tlg001.perseus-eng2	tlg0028.tlg001	Antiphon	Prosecution Of The Stepmother For Poisoning	Q25327034	Against the Stepmother for Poisoning	Q15078686	-500	-500	Classical (500–360 BCE)			literary work, oration	4.0	Antiphon's 'Against the Stepmother for Poisoning' is a legal oration, detailing legal procedures and social attitudes towards crime.	English	grc; lat; eng	Kenneth John Maidment	1941	14905	2571	10	tlg0028/tlg001/tlg0028.tlg001.perseus-eng2.xml	B_oration
tlg0028.tlg002.perseus-eng2	tlg0028.tlg002	Antiphon	The First Tetralogy: Anonymous Prosecution for Murder	Q110732739	First Tetralogy	Q15078686	-500	-500	Classical (500–360 BCE)			literary work, oration	4.0	Antiphon's 'First Tetralogy' is a legal oration, offering evidence of legal arguments and social expectations of the time.	English	grc; lat; eng	Kenneth John Maidment	1941	31871	5440	22	tlg0028/tlg002/tlg0028.tlg002.perseus-eng2.xml	B_oration
tlg0028.tlg003.perseus-eng2	tlg0028.tlg003	Antiphon	The Second Tetralogy: Prosecution for Accidental Homicide	Q110732747	Second Tetralogy	Q15078686	-500	-500	Classical (500–360 BCE)			literary work, oration	4.0	Antiphon was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.	English	grc; lat; eng	Kenneth John Maidment	1941	24117	4407	18	tlg0028/tlg003/tlg0028.tlg003.perseus-eng2.xml	B_oration
tlg0028.tlg004.perseus-eng2	tlg0028.tlg004	Antiphon	The Third Tetralogy: Prosecution for Murder Of One Who Pleads That He Was Acting in Self-Defence	Q110732757	Third Tetralogy	Q15078686	-500	-500	Classical (500–360 BCE)			oration, literary work	4.0	Antiphon's 'Third Tetralogy' is a legal oration, providing insight into contemporary legal procedures and norms.	English	grc; lat; eng	Kenneth John Maidment	1941	21267	3860	15	tlg0028/tlg004/tlg0028.tlg004.perseus-eng2.xml	B_oration
