work_name,author,impact_year,polity,criterion_category,criterion_label,in_group,in_group_std,out_group,out_group_std,resource,resource_std,speaker,verbatim,matched_keywords,extraction_method,extraction_cost_usd,prompt_tokens,completion_tokens,vote,comment
Against Timarchus,Aeschines,-354,Second Athenian League,MORAL_CONDUCT,Prostitution bars citizens from holding political office and speaking in assembly,Citizens who have not prostituted themselves,Morally upright,Citizens who have prostituted themselves,Morally condemned,"Political office (archons, priests), legal advocacy, public speaking rights, participation in sacrifices",Political participation,Aeschines,"If any Athenian shall have prostituted his person, he shall not be permitted to become one of the nine archons, nor to discharge the office of priest, nor to act as an advocate for the state, nor shall he hold any office whatsoever, at home or abroad, whether filled by lot or by election; he shall not be sent as a herald; he shall not take part in debate, nor be present at public sacrifices; when the citizens are wearing garlands, he shall wear none; and he shall not enter within the limits of the place that has been purified for the assembling of the people. If any man who has been convicted of prostitution act contrary to these prohibitions, he shall be put to death.","archon, assembly, athenian, athenians, citizen, citizens, citizenship, estate, herald, man, office, old, permit, permitted, priest, priestess, prohibit, prohibited, prostitute, prostitution, resident, senate, statute","HYBRID_EXTRACTED (25 passages, 8 pages from original 51 pages)",0.171315,7856,713,up,this is a test
On the Mysteries,Andocides,-500,Greek City-States,MORAL_CONDUCT,Prostitutes cannot defend themselves in court,Citizens of good conduct,Citizens,Those who have engaged in prostitution,Morally condemned,Right to legal defense in court,Legal standing,author,"You actually hold others up to censure— you, who had not the decency to confine your own intrigues to but a single admirer, but welcomed the entire world for next to nothing, as the court knows, and supported yourself by vice, your villainous appearance notwithstanding. But yet, although your laws deny him even the right of defending himself, the fellow has the impudence to accuse others.","court, denied, deny, law, laws, mother, old, right, rights, vice","HYBRID_EXTRACTED (20 passages, 8 pages from original 43 pages)",0.19395,7920,1002,down,hello
Epistles,Ignatius of Antioch,70,Roman Empire;(Roman Empire),MORAL_CONDUCT,Schismatics excluded from kingdom of God,Those who maintain unity with the Church,Morally upright,Those who follow makers of schism,Morally condemned,Inheritance of the kingdom of God,Inheritance,Ignatius,"For as many as belong to God and Jesus Christ,—these are with the bishop. And as many as repent and come to the unity of the Church,—these also shall be of God, to be living according to Jesus Christ. Be not deceived, my brethren, if any one follow a maker of schism, he does not inherit the kingdom of God; if any man walk in strange doctrine he has no part in the Passion.","inherit, inheritance, man, stranger, strangers","HYBRID_EXTRACTED (20 passages, 8 pages from original 27 pages)",0.163275,7895,598,up,
On the Embassy,Aeschines,-354,Second Athenian League,BIRTH_LINEAGE,Pure Athenian lineage required for full citizenship,Those of pure Athenian descent,Nobles,"Those with foreign ancestry (e.g., Scythian)",Non-citizens/Foreigners,Full citizenship rights and enrollment in citizen lists,Citizenship,Aeschines,"for Atrometus our father, whom you slander, though you do not know him and never saw what a man he was in his prime—you, Demosthenes, a descendant through your mother of the nomad Scythians—our father went into exile in the time of the Thirty, and later helped to restore the democracy... But I am amazed if you dare slander Philon, and that, too, in the presence of the most reputable men of Athens, who, having come in here to render their verdict for the best interest of the state, are thinking more about the lives we have lived than what we say. Aeschines insinuates that only by some extraordinary favoritism could Demosthenes, with his strain of Scythian blood, ever have been recognized as an Athenian of pure blood, and so enrolled in the citizen-list when he came to manhood.","athenian, athenians, blood, citizen, citizens, descent, edict, estate, exile, exiled, father, gender, heir, man, men, mother, squander, statute, wives","HYBRID_EXTRACTED (25 passages, 8 pages from original 48 pages)",0.175905,7972,751,,
Politics,Aristotle,-348,Thebans,BIRTH_LINEAGE,Citizenship restricted to those with citizen parents on both sides,Those with citizen parents on both sides,Citizens,Those with only one citizen parent or slave parentage,Slaves,Citizenship rights,Citizenship,author,"Nevertheless, inasmuch as such persons are adopted as citizens owing to a lack of citizens of legitimate birth (for legislation of this kind is resorted to because of under-population), when a state becomes well off for numbers it gradually divests itself first of the sons of a slave father or mother, then of those whose mothers only were citizens, and finally only allows citizenship to the children of citizens on both sides.","allow, allowed, birth, children, citizen, citizens, citizenship, estate, father, illegitimate, legitimate, mother, slave, slavery, slaves, son, statute","HYBRID_EXTRACTED (31 passages, 9 pages from original 243 pages)",0.20895,7625,1261,,
On The Estate of Cleonymus,Isaeus,-384,Peloponnesian League,BIRTH_LINEAGE,Inheritance rights restricted to legitimate relatives,Legitimate relatives/next of kin,Legitimate offspring,Non-relatives/those without kinship ties,Non-relatives,Inheritance of property,Inheritance,narrator,"We were Cleonymus's nearest relatives, and lived on terms of greater intimacy with him than anyone else; and the laws have given us the right of succession as next of kin, as also did Cleonymus himself, owing to the affection which subsisted between us. And, further, Polyarchus, Cleonymus's father and our grandfather, gave instructions that, if Cleonymus should die without issue, he was to leave his property to us.","father, law, laws, poverty, property, right, rights, slave","FULL_TEXT (22,497 chars ≈ 9 pages)",0.157425,8190,461,,
On the Embassy,Aeschines,-354,Second Athenian League,CITIZENSHIP,Citizenship required for holding public office and serving as ambassador,Free-born citizens,Free persons,Those illegally registered as citizens,Non-citizens/Foreigners,"Hold public office (auditors, naval commissioners, ambassadors)",Political participation,Aeschines,"But meanwhile men who were neither free by birth nor of fit character had intruded into our body politic... But now men who have been illegally registered as citizens, constantly attaching to themselves what ever element in the city is corrupt, and following a policy of war after war, in peace ever prophesying danger, and so working on ambitious and over excitable minds, yet when war comes never touching arms themselves, but getting into office as auditors and naval commissioners—men whose mistresses are the mothers of their offspring, and whose slanderous tongues ought to disfranchise them—these men are bringing the state into extreme peril","birth, boy, citizen, citizens, citizenship, corrupt, corruption, estate, franchise, free, freed, govern, heir, men, mistress, mother, office, offspring, statute, work","HYBRID_EXTRACTED (25 passages, 8 pages from original 48 pages)",0.175905,7972,751,,
Economics,Aristotle,-348,Thebans,CITIZENSHIP,Citizenship restricted to those with citizen parents,Those with two citizen parents,Citizens,Those without two citizen parents,Non-citizens/Foreigners,Citizenship rights,Citizenship,author,"And whereas previously the rights of citizenship were by law confined to those whose parents were both citizens, lack of funds, induced them to offer citizenship to him who had one citizen parent on payment of the sum of thirty minae.","citizen, citizens, citizenship, law, laws, parentage, right, rights","HYBRID_EXTRACTED (21 passages, 8 pages from original 24 pages)",0.162255,7757,612,,
On the Choreutes,Antiphon,-500,Greek City-States,PROPERTY_WEALTH,Wealthy citizens obligated to perform public liturgies,Wealthy citizens,Property owners,Less wealthy citizens,Poor/Non-property owners,Obligation to perform public duties (liturgies),Civic obligations,author,"When I was appointed Choregus for the Thargelia, The χορηγία was one of the λητουργίαι, or public duties, imposed upon the richer citizens by the state. A Choregus had to equip and train a chorus for one of the annual festivals, in this case the Thargelia, held in honor of Apollo and celebrated on the 7th of Thargelion (May 1st) by a competition between choirs of boys selected from the ten tribes, which were grouped in pairs for the purpose.","boy, boys, citizen, citizens, citizenship, estate, herald, rich, statute","HYBRID_EXTRACTED (11 passages, 8 pages from original 14 pages)",0.143955,7567,406,,
On the Crown,Demosthenes,-348,Second Athenian League,PROPERTY_WEALTH,Wealthy citizens exempt from fair share of naval expenses while poor citizens bear full burden,Wealthy citizens,Property owners,Citizens of moderate or small means,Poor/Non-property owners,Exemption from proportional financial contributions for naval expenses,Property/Wealth,Demosthenes,"Observing that the navy was going to pieces, that the wealthy were let off with trifling contributions, while citizens of moderate or small means were losing all they had, and that as a result the government was missing its opportunities, I made a statute under which I compelled the wealthy to take their fair share of expense, stopped the oppression of the poor, and by a measure of great public benefit, caused your naval preparations to be made in good time.","citizen, citizens, citizenship, govern, heir, maiden, poor, profession, shame, statute, stripped, wealth, wealthy","HYBRID_EXTRACTED (29 passages, 9 pages from original 72 pages)",0.15192,8043,417,,
