work_name,author,impact_year,polity,criterion_category,criterion_label,in_group,out_group,resource,verbatim,extraction_method,extraction_cost_usd,comment
Eumenides,Aeschylus,-489,Greek City-States,GENDER,Gender-based exclusion from legal standing,Men,Women,Legal standing and protection,"Apollo: 'For there was no mother who gave me birth; and in all things, except for marriage, whole-heartedly I am for the male and entirely on the father’s side. Therefore, I will not award greater honor to the death of a woman who killed her husband, the master of the house.'","FULL_TEXT (69,183 chars)",0.04211,test
Eumenides,Aeschylus,-489,Greek City-States,GENDER,Gender-based exclusion from legal standing,Men,Women,Legal standing and protection,"Apollo: 'For there was no mother who gave me birth; and in all things, except for marriage, whole-heartedly I am for the male and entirely on the father’s side. Therefore, I will not award greater honor to the death of a woman who killed her husband, the master of the house.'","FULL_TEXT (69,183 chars)",0.04211,Apollo is not a human
Eumenides,Aeschylus,-489,Greek City-States,BIRTH_LINEAGE,Birth lineage-based exclusion from legal protection,Children of legitimate marriage,Children of illegitimate or non-marital relations,Legal protection and rights,"Apollo: 'The mother of what is called her child is not the parent, but the nurse of the newly-sown embryo. The one who mounts is the parent, whereas she, as a stranger for a stranger, preserves the young plant, if the god does not harm it.'","FULL_TEXT (69,183 chars)",0.04211,this is not clear
Eumenides,Aeschylus,-489,Greek City-States,CITIZENSHIP,Citizenship-based exclusion from political participation,Citizens,Non-citizens,Political participation and legal rights,"Athena: 'Hear now my ordinance, people of Attica, as you judge the first trial for bloodshed. In the future, even as now, this court of judges will always exist for the people of Aegeus.'","FULL_TEXT (69,183 chars)",0.04211,Athena is not a human
Libation Bearers,Aeschylus,-489,Greek City-States,GENDER,Gender-based exclusion from political power,Men,Women,Political participation and decision-making,"Clytaemestra: Strangers, you have only to declare your need, for we have everything that suits this house: warm baths, beds to charm away fatigue, and the presence of honest faces. But if there is another matter requiring graver counsel, that is the concern of men, and we will communicate with them.","FULL_TEXT (73,268 chars)",0.04558,Great
Libation Bearers,Aeschylus,-489,Greek City-States,FREEDOM_STATUS,Exclusion based on freedom status from legal autonomy,Free persons,Slaves,Legal standing and autonomy,"Chorus: For since the gods laid constraining doom about my city and led me from my father’s house to a slave’s lot, it is fitting for me to govern my bitter hate, even against my will, and submit to the wishes of my masters, whether just or unjust.","FULL_TEXT (73,268 chars)",0.04558,great
Libation Bearers,Aeschylus,-489,Greek City-States,BIRTH_LINEAGE,Exclusion based on birth lineage from inheritance,Legitimate children,Illegitimate children,Inheritance and property rights,"Electra: As for me, I am no better than a slave, Orestes is an outcast from his inheritance, while they in their insolence revel openly in the winnings of your toil.","FULL_TEXT (73,268 chars)",0.04558,"you say it is about Legitimate children, but there is no infromaiton in the verbatim that shows it. And remmeebr, I can only justify somethign if I see it written in the verbatim"
Against Ctesiphon,Aeschines,-354,Second Athenian League,AGE,Age-based priority in political assembly,Older citizens,Younger citizens,Political participation (speaking in assembly),"I could wish, indeed, fellow citizens, that the Senate of Five Hundred and the assemblies of the people were properly conducted by those who preside over them, and the laws enforced which Solon enacted to secure orderly conduct on the part of public speakers; for then it would be permitted to the oldest citizen, as the law prescribes, to come forward to the platform first, with dignity, and, uninterrupted by shouting and tumult, out of his experience to advise for the good of the state and it would then be permitted to all other citizens who wished, one by one in turn, in order of age, to express their opinion on every question; for so, I think, the state would be best governed, and least litigation would arise.","TRUNCATED (170,921 -> 100,000 chars)",0.06525,great
Against Ctesiphon,Aeschines,-354,Second Athenian League,CITIZENSHIP,Citizenship-based control over political processes,Citizens,Non-citizens/Foreigners,"Political participation (voting, holding office)","But now all our standards of orderly procedure have been set aside; there are men who do not hesitate to make illegal motions, and other men who are ready to put these motions to the vote—not men who have been chosen by right and lawful allotment to preside, but men who hold the position by trickery; and if any other senator does actually obtain the presidency by lot, and does honestly declare your votes, he is threatened with impeachment by men who no longer regard citizenship as a common right, but as their own private perquisite; men who are making slaves of the common people, and arrogating lordship to themselves.","TRUNCATED (170,921 -> 100,000 chars)",0.06525,this is really. not clear here
Eumenides,Aeschylus,-489,Greek City-States,BIRTH_LINEAGE,Birth lineage-based exclusion from legal protection,Children of legitimate marriage,Children of illegitimate or non-marital relations,Legal protection and rights,"Apollo: 'The mother of what is called her child is not the parent, but the nurse of the newly-sown embryo. The one who mounts is the parent, whereas she, as a stranger for a stranger, preserves the young plant, if the god does not harm it.'","FULL_TEXT (69,183 chars)",0.04211,great
