rule_uid	file_id	rule_name	rule_category	group	resource	resource_category	directionality	proof	reasoning	specificity	specificity_reasoning	confidence	criteria	valid	comment
tlg0026.tlg001.perseus-eng2#39	tlg0026.tlg001.perseus-eng2	Prostitute judicial exclusion	Exclusion from legal standing	Men	Right to bring suit in court	Legal standing	LESS	[§164] For who will not say, And then do you thrust yourself into the market-place, do you put on a garland, do you attempt to do anything else that the rest of us do? His contract, you see, is of no use to him.	The text argues that a man who has acted as a prostitute cannot effectively use the courts to enforce contracts or participate in regular civic life like the 'rest' of the citizens (putting on garlands, appearing in the market-place/courts).	4	It targets citizens who have lost their standing (atimia) due to prostitution.	9	Gender		
tlg0085.tlg007.perseus-eng2#0	tlg0085.tlg007.perseus-eng2	Lot-based temple entry	Access to religious space	Greeks	Right to enter the Delphic temple in order	Religious access	MORE	[§1] And if there are any from among the Hellenes here, let them enter, in turn, by lot, as is the custom.	The Priestess describes a formal procedure for Greek pilgrims (Hellenes) to enter the inner shrine, indicating that entry is a regulated right determined by lot and customary order.	4	This applies to a large specific category of people (Greek visitors) but is restricted to a specific geographic and religious site.	10	Ethnicity		
tlg0027.tlg001.perseus-eng2#17	tlg0027.tlg001.perseus-eng2	Juror religious restriction	Exclusion from judicial office	Non-initiates	Right to serve as juror in religious trials	Legal standing	LESS	[§30] It was therefore publicly resolved that such members of the court of the Thesmothetae as were initiates should be presented with the informations of the several claimants and decide between them. | [§31] So much for the profanation of the Mysteries, gentlemen, on which the information lodged against me is based and which you are here as initiates to investigate.	In trials concerning the profanation of the Mysteries, only citizens who were themselves initiates were eligible to serve as jurors or adjudicate rewards.	5	Applies to the subset of citizens who are not initiated, restricting their general democratic right to serve on juries in specific contexts.	9	Religion		
tlg0027.tlg001.perseus-eng2#45	tlg0027.tlg001.perseus-eng2	Political speech restriction	Exclusion from political speech	Four Hundred supporters	Right to speak in Assembly	Political power	LESS	[§78] The soldiers who remained in Athens under the Four Hundred are a case in point. They enjoyed all the rights of ordinary citizens, except that they were forbidden to speak in the Assembly or become members of the Council.	Citizens associated with the oligarchy of the Four Hundred were specifically barred from high-level political participation (speaking and counseling).	7	Applies to a specific historical/political cohort of soldiers.	10	Occupation		
tlg0027.tlg001.perseus-eng2#24	tlg0027.tlg001.perseus-eng2	Emergency military muster	Obligation of public duty	Citizens	Freedom from emergency mobilization	Freedom	LESS	[§47] Then they summoned the Generals and bade them proclaim that citizens resident in Athens proper were to proceed under arms to the Agora; those between the Long Walls to the Theseum; and those in Peiraeus to the Agora of Hippodamus.	The state had the authority to compel all citizens to take up arms and muster at specific locations during civil unrest or perceived threats to the democracy.	2	This order encompassed the entire armed citizenry of the city and its port.	9	Citizenship		
tlg0028.tlg006.perseus-eng2#3	tlg0028.tlg006.perseus-eng2	Slave admissibility under torture	Legal standing restriction	Slaves	Right to testify without torture	Legal standing	LESS	[§23] As to the slaves, if he considered that they were answering his questions truthfully, well and good; if he did not, I was ready to place all my own at his disposal for examination under torture, and should he demand any that did not belong to me, I agreed to obtain the consent of their owner and hand them over to him to examine as he liked.	In Athenian law, as reflected in this challenge, a slave's testimony was only legally rigorous or 'verifiable' through 'basanos' (judicial torture). The slave does not have the right to have their word accepted on oath like a free man.	3	This applies to the entire enslaved population of the city.	10	Freedom		
tlg0548.tlg002.perseus-eng2#17	tlg0548.tlg002.perseus-eng2	Treason adjudication by allies	Denial of judicial protection	Noble commanders	Protection from summary execution	Body integrity	LESS	[§51] Agamemnon read the letter, found the gold, and delivered up Palamedes to the allies to be stoned as a traitor.	The text demonstrates that a commander suspected of treason can be handed over to a collective of 'allies' (the army/other leaders) for immediate execution (stoning) based on physical evidence without a formal trial.	8	This applies to high-level military leaders within the coalition.	8	Nobility|Occupation		
tlg0719.tlg001.perseus-eng2#18	tlg0719.tlg001.perseus-eng2	Regional health disparity	Origin-based health risk	Egyptians	Protection from pestilential ulceration	Health	LESS	[§6] The land of Egypt especially engenders it, the air thereof being dry for respiration, and the food diversified, consisting of roots, herbs of many kinds, acrid seeds, and thick drink; namely, the water of the Nile, and the sort of ale prepared from barley. Syria also, and more especially Cœlosyria, engenders these diseases	The text identifies people in Egypt and Syria as being systematically more exposed to (and less protected from) fatal diseases due to their local environment, water source, and diet, creating a rule of geographic stratification regarding bodily safety.	2	This applies to entire regional populations.	8	Ethnicity		
tlg0719.tlg003.perseus-eng2#11	tlg0719.tlg003.perseus-eng2	Post-phrenitis bloodletting prohibition	Medical protocol	Lethargics with prior phrenitis	Protection from venesection	Body integrity	MORE	[§4] If the obliviousness be the sequela of another disease, such as phrenitis, we must not open a vein, nor make a great evacuation of blood in any way...	The text establishes a strict medical prohibition against bloodletting (opening a vein) for a specific sub-group of patients (those whose lethargy follows phrenitis), acting as a protective rule for their physical integrity during treatment.	7	The rule is limited to patients suffering from a very specific clinical progression (lethargy as a sequela of phrenitis).	10	Health		
tlg0019.tlg006.perseus-eng2#51	tlg0019.tlg006.perseus-eng2	Sacrificial tongue distribution	Religious ritual practice	Athenians	Right to cut out the sacrificial tongue separately	Religious access	MORE	[§66] 'tis these Englottogastorian Philippi who introduced the custom all over Attica of cutting out the tongue separately at sacrifices.	The text describes a specific customary ritual practice (cutting the tongue of the victim separately) that has become a standard rule of sacrifice throughout Attica.	2	This refers to a general ritual custom followed by the entire population of Attica during sacrifices.	8	Ethnicity|Citizenship		
