Eumenides,Aeschylus,-489,Greek City-States,Divine vs Mortal Authority,"Gods, especially younger gods like Apollo and Athena","Older deities like the Furies, mortals",Authority to dictate justice and moral order,"Younger gods, you have ridden down the ancient laws and have taken them from my hands! [...] Zeus gives greater honor to a father’s death, according to what you say; yet he himself bound his aged father, Cronus.",tghis is
Eumenides,Aeschylus,-489,Greek City-States,Divine vs Mortal Authority,"Gods, especially younger gods like Apollo and Athena","Older deities like the Furies, mortals",Authority to dictate justice and moral order,"Younger gods, you have ridden down the ancient laws and have taken them from my hands! [...] Zeus gives greater honor to a father’s death, according to what you say; yet he himself bound his aged father, Cronus.","I only look at between humans, no god. Maybe there is a metaphore, but this is too hidden"
Eumenides,Aeschylus,-489,Greek City-States,Gender and Familial Roles,"Male figures, paternal lineage","Female figures, maternal lineage",Moral and legal precedence in familial disputes,"For there was no mother who gave me birth; and in all things, except for marriage, whole-heartedly I am for the male and entirely on the father’s side. [...] The mother of what is called her child is not the parent, but the nurse of the newly-sown embryo.","this is a specific case, not a general law of the tiem. it talks about ""Athena's judgment and Apollo's argument"", but I can't see it in the verbatims"
Eumenides,Aeschylus,-489,Greek City-States,Purity and Pollution,Those purified by divine rites,"Those considered polluted, such as murderers",Social acceptance and legal standing,"I am not a suppliant in need of purification, nor did I sit at your image with pollution on my hands. [...] For the blood is slumbering and fading from my hand, the pollution of matricide is washed away.",it does not say much
Eumenides,Aeschylus,-489,Greek City-States,Divine Favor and Protection,Those under the protection of powerful gods,Those lacking divine advocacy,Protection from vengeance and legal repercussions,I will aid my suppliant and rescue him! [...] For I persuaded you to take your mother’s life.,"it does not say much, the text is too short, there needs to be more informaton"
Eumenides,Aeschylus,-489,Greek City-States,Judicial Authority and Civic Order,"Citizens of Athens, represented by Athena's tribunal","Non-citizens, those outside the civic legal framework",Participation in and protection by the civic legal system,"Hear now my ordinance, people of Attica, as you judge the first trial for bloodshed. [...] I establish this tribunal, untouched by greed, worthy of reverence.","this is too small, there is nothing really here to spot"
Against Timarchus,Aeschines,-354,Second Athenian League,Moral Conduct and Public Speech,Citizens with a reputable moral conduct,"Individuals with a shameful private life, such as Timarchus",Right to speak before the assembly,"For because of his shameful private life the laws forbade him to speak before the people, laying on him an injunction not difficult, in my opinion, to obey—nay, most easy; and had he been wise, he need not have made his slanderous attack upon me.",You need to show all the content on which you comment. otherwise this is interesting
Against Timarchus,Aeschines,-354,Second Athenian League,Prostitution and Civic Rights,Citizens who have not prostituted themselves,Individuals who have prostituted themselves,Holding public office and participating in civic duties,"If any Athenian, he says, shall have prostituted his person, he shall not be permitted to become one of the nine archons, nor to discharge the office of priest, nor to act as an advocate for the state, nor shall he hold any office whatsoever, at home or abroad, whether filled by lot or by election; he shall not be sent as a herald; he shall not take part in debate, nor be present at public sacrifices; when the citizens are wearing garlands, he shall wear none; and he shall not enter within the limits of the place that has been purified for the assembling of the people.",very good
Against Timarchus,Aeschines,-354,Second Athenian League,Financial Mismanagement and Public Trust,Citizens who manage their finances responsibly,Individuals who have squandered their patrimony,Right to advise the city and hold public office,"Or the man, he says, who has squandered his patrimony or other inheritance. For he believed that the man who has mismanaged his own household will handle the affairs of the city in like manner; and to the lawgiver it did not seem possible that the same man could be a rascal in private life, and in public life a good and useful citizen.",interesting
Against Timarchus,Aeschines,-354,Second Athenian League,Military Service and Civic Participation,Citizens who have fulfilled their military service,Individuals who have failed to perform military service or have shown cowardice,Right to advise the city and participate in civic duties,"Or the man who has failed to perform all the military service demanded of him, or who has thrown away his shield. And he is right. Why? Man, if you fail to take up arms in behalf of the state, or if you are such a coward that you are unable to defend her, you must not claim the right to advise her, either.",very good
Against Timarchus,Aeschines,-354,Second Athenian League,Family Obligations and Public Speech,Citizens who honor and support their parents,Individuals who neglect their familial duties,Right to speak before the assembly,"If any one attempts to speak before the people who beats his father or mother, or fails to support them or to provide a home for them. Such a man, then, he forbids to speak.",very good
Against Ctesiphon,Aeschines,-354,Second Athenian League,Age-Based Political Participation,"Older citizens, particularly those above fifty years of age","Younger citizens, particularly those below fifty years of age",Priority in addressing the assembly and influencing state decisions,"it would be permitted to the oldest citizen, as the law prescribes, to come forward to the platform first, with dignity [...] we have ceased to hear that wisest and most judicious of all the proclamations to which the city was once accustomed, Who of the men above fifty years of age wishes to address the people",very good
Against Ctesiphon,Aeschines,-354,Second Athenian League,Legal Accountability and Public Office,Public officials who have passed their audit,Public officials who have not yet submitted their accounts,Eligibility to be crowned and recognized for public service,a law which expressly forbids crowning men before they have passed their final accounting [...] the officer who has not yet submitted his accounts shall not leave the country,very good
Against Ctesiphon,Aeschines,-354,Second Athenian League,Citizenship and Legal Rights,Athenian citizens,Foreigners and non-citizens,Participation in legal and political processes,"through petitions of foreigners, whom some bring in here, and so escape the courts [...] the man who is crowned by the people be proclaimed among the people, on the Pnyx, at a meeting of the assembly, and nowhere else",there is nothing here
Against Ctesiphon,Aeschines,-354,Second Athenian League,Religious and Moral Conduct,Those adhering to religious and moral laws,Those violating religious sanctity and moral laws,Participation in religious and civic life without penalty,"the Amphissians, who were at that time dominated by the Thebans and were their abject servants, were in the act of bringing in a resolution against our city [...] the sacred baskets are prepared; the sacrificial victims stand ready at the altars","nothing here, there is no criterion about  religious and moral laws. or I doin't see the whole cotnent"
Against Ctesiphon,Aeschines,-354,Second Athenian League,Political Integrity and Accountability,Politicians adhering to lawful and ethical conduct,Politicians engaging in bribery and corruption,Public trust and the ability to hold office,"those who had charges to prefer fell into very great embarrassment [...] the man who makes the motion does show to the bearers that while he has made an illegal motion, he is ashamed of the wrong thing that he has done","I don't see much, or you don't show lme the whole content."
On the Embassy,Aeschines,-354,Second Athenian League,Citizenship and Lineage,Athenian citizens of legitimate birth,"Non-citizens, individuals of foreign descent or illegitimate birth",Full civic participation and legal standing,"For you remember he says...it is the salt of the city and the table of the state for which he has most regard—he, who is no citizen born—for I will out with it!—nor akin to us. [...] But you, Demosthenes, a descendant through your mother of the nomad Scythians...",very good
On the Embassy,Aeschines,-354,Second Athenian League,Gender and Social Conduct,Men of reputable conduct,Men accused of lewdness or improper conduct,Social respect and credibility,"I was indignant—fairly beside myself at the charge, when he accused me of insolence and drunken violence towards a free woman of Olynthus. [...] But he dared to say that I am tripped up by my own words. For he says that when I was prosecuting Timarchus I said that his lewdness was a matter of common report...","there is information abiut a ""free"" woman which gives informaiton about free ve non-free"
On the Embassy,Aeschines,-354,Second Athenian League,Political Allegiance and Loyalty,Loyal citizens supporting Athenian interests,Individuals accused of treason or supporting foreign interests,Political trust and influence,"But Demosthenes, I think, is not fond of fair argument, nor is that the sort of preparation he has made. No, it is your anger that he is determined to call forth. [...] But strange indeed did that other argument of his seem to me, and outrageously unjust, when he asked you whether it was possible in one and the same city to sentence Philocrates to death because he would not await trial and so condemned himself, and then to acquit me.","it does not seem the text fits: ut Demosthenes, I think, is not fond of fair argument, nor is that the sort of preparation he has made. No, it is your anger that he is determined to call forth. [...] But strange indeed did that other argument of his seem to me, and outrageously unjust, when he asked you whether it was possible in one and the same city to sentence Philocrates to death because he would not await trial and so condemned himself, and then to acquit me.""
Political allegiance and loyalty to the state are crucial criteria for inclusion in the political sphere. Accusations of treason or supporting foreign interests are used to exclude individuals from political trust and influence."
On the Embassy,Aeschines,-354,Second Athenian League,Legal and Judicial Process,Individuals granted a fair trial,Individuals denied a fair hearing or accused without evidence,Right to a fair trial and defense,"For the prosecution does not find justification in the minds of the hearers until the defendant has had opportunity to plead for himself and has proved unable to refute the charges that have been preferred. [...] But, fellow citizens, as I have listened to Demosthenes’ accusation, the effect upon my own mind has been this: never have I been so apprehensive as on this day, nor ever more angry than now...",no real in griup / out group information
