rule_uid,file_id,work_name,author,impact_year,polity,criteria,criterion_label,in_group,out_group,resource,resource_std,speaker,verbatim,matched_keywords,rule_category,reasoning,specificity,specificity_reasoning,confidence,extraction_method,extraction_cost_usd,prompt_tokens,completion_tokens,vote,comment
tlg0026.tlg003.perseus-eng2#19,tlg0026.tlg003.perseus-eng2,Against Ctesiphon,Aeschines,-354,,Ethnicity,Allied state inclusion rights,Greek states,,Right to be included in Athenian treaties,Legal standing,MORE,"[§70] by adding in their resolution that any Greek state that wished should be permitted within the space of three months to have its name inscribed with the Athenians on the same stone, and to share the oaths and agreements.",International legal standing,International legal standing,The resolution of the allies established a right for other Greek states to opt-in to the peace treaty with Philip and have their status legally recognized on the public stele (stone).,6,"This applies to foreign states and their representatives, a specific subset of the Greek world.",10,gemini_v18,,,,up,test
tlg0085.tlg006.perseus-eng2#20,tlg0085.tlg006.perseus-eng2,The Libation Bearers,Aeschylus,-489,,Citizenship,Stranger hospitality entitlement,Foreigners,,Right to lodging and provisions,Economic privileges,MORE,"[§49] Strangers, you have only to declare your need, for we have everything that suits this house: warm baths, beds to charm away fatigue, and the presence of honest faces. | [§49] But it is the hour when strangers who have been travelling on a long day’s journey should have their proper entertainment. To an attendant Conduct him to the rooms where the men are hospitably lodged, him and his attendants here and his fellow-traveller, and let them be tended to there as is proper in our house.",Access to public resources,Access to public resources,"The text outlines the customary right of 'Xenia' (guest-friendship), where strangers/foreigners are entitled to concrete material resources (baths, beds, food) and lodging simply by virtue of their status as travelers.",2,This rule applies to anyone traveling from another land/city-state.,10,gemini_v18,,,,,
tlg0027.tlg003.perseus-eng2#2,tlg0027.tlg003.perseus-eng2,On the Peace with Sparta,Andocides,-500,,Citizenship,Maritime trade and defense,Citizens,,Right to build and maintain a fleet,Military,MORE,"[§12] The truce allows us twelve ships: the peace as many as we like. | [§14] To be allowed to build new triremes, and refit and keep our old ones? That is assured us as well, since the treaty affirms the independence of each state.",Grant of economic privilege,Grant of economic privilege,"The peace treaty specifically restores the legal right of the Athenian state to possess a navy, a material resource essential for both military power and economic maritime security.",2,This affects the entire sovereign capacity of the Athenian citizen body.,10,gemini_v18,,,,,
tlg0028.tlg002.perseus-eng2#10,tlg0028.tlg002.perseus-eng2,First Tetralogy,Antiphon,-500,,Freedom,Manumission for testimony,Slaves,,Right to manumission for legal evidence,Freedom,MORE,"[§31] The defense are wrong when they say that the evidence of the slave is not to be trusted; where evidence of this sort is concerned, slaves are not tortured; they are given their freedom.",Freedom status,Freedom status,"In the context of murder trials in Athens, a slave who provides vital evidence for the prosecution is rewarded with their freedom, transforming their legal status from property to a freed person.",4,This is a specific legal reward for a specific action (testifying in a murder case) available to the slave group.,9,gemini_v18,,,,,
tlg0548.tlg002.perseus-eng2#45,tlg0548.tlg002.perseus-eng2,Epitome,Apollodorus,-165,,Occupation|Religion,Priestly immunity from pillage,Priests,,Protection from execution and pillage,Body integrity,MORE,"[§144 / §146] And putting to sea from Ilium, he touched at Ismarus, a city of the Cicones, and captured it in war, and pillaged it, sparing Maro alone, who was priest of Apollo.",Protection from bodily harm,Protection from bodily harm,"The text explicitly notes that while a city was captured and pillaged according to the laws of war, the priest was specifically spared. This indicates a customary rule where religious officials were protected from the standard treatment of defeated enemies.",8,I chose 8 because this rule applies to a very specific and small professional group (priests) during warfare.,9,gemini_v18,,,,,
tlg0548.tlg002.perseus-eng2#33,tlg0548.tlg002.perseus-eng2,Epitome,Apollodorus,-165,,Age,Enemy child execution,Children,,Protection from execution following conquest,Body integrity,LESS,[§110] they threw Astyanax from the battlements,Denial of life protection,Denial of life protection,"The execution of Astyanax, the infant son of Hector, indicates that in the context of total war/conquest, children—particularly those of the ruling lineage—were systematically denied the right to life to prevent future political threats.",5,"While specifically mentioning Astyanax, it reflects a broader practice regarding the elimination of the enemy's next generation of leaders.",8,gemini_v18,,,,,
tlg0719.tlg002.perseus-eng2#59,tlg0719.tlg002.perseus-eng2,On the causes and signs of acute and chronic diseases,Aretaeus of Cappadocia,135,,Age|Health,Age-based arthritis risk,Adults over thirty-five,,Protection from chronic joint pain,Health,LESS,[§30] The most common age is after thirty-five; but sooner or slower according to the temperament and regimen of every one.,Age-based health exclusion,Age-based health exclusion,"Age is treated as a primary threshold for the onset of chronic arthritis, establishing a societal/biological rule that individuals past thirty-five lose the relative protection from these pains enjoyed by younger people.",4,The rule targets a specific demographic transition point (age 35) common to the general population.,10,gemini_v18,,,,,
tlg0719.tlg002.perseus-eng2#49,tlg0719.tlg002.perseus-eng2,On the causes and signs of acute and chronic diseases,Aretaeus of Cappadocia,135,,Age,Pediatric stone susceptibility,Children,,Protection from bladder stone formation,Body integrity,LESS,"[§21] In colour, some are white, clayey, as is mostly the case with children; others are yellow, and saffron-coloured in old persons, in whom the stones usually form in the kidneys, whereas in children it is rather in the bladder.",Age-based health vulnerability,Age-based health vulnerability,The text identifies children as a specific category with a structural predisposition toward bladder stones due to 'overheated' blood.,3,Applies broadly to the child population.,10,gemini_v18,,,,,
tlg0019.tlg006.perseus-eng2#53,tlg0019.tlg006.perseus-eng2,The Birds,Aristophanes,-409,,Occupation|Gender|Religion,Canephori escort ritual,Canephori,,Right to ritual escort,Religious access,MORE,"[§68] give me the umbrella; if Zeus should see me from up there, he would think I was escorting one of the Canephori.",Religious ritual participation,Religious ritual participation,Prometheus mentions that a person carrying an umbrella (a sunshade) would be identified as someone escorting a Canephorus (a ritual basket-bearer in Athenian processions). This reflects the customary religious practice where these specific young women were granted ceremonial protection or accompaniment.,8,This refers to a very specific subgroup of young women chosen for a particular religious role in Athenian festivals.,9,gemini_v18,,,,,
tlg0086.tlg010.perseus-eng2#125,tlg0086.tlg010.perseus-eng2,Nicomachean Ethics,Aristotle,-348,,Education,Class-based speech decorum,Uneducated persons,,Right to participate in refined social discourse,Social status,LESS,"[§620] since there is a certain propriety in what such a man will say and hear in jest, and the jesting of a gentleman differs from that of a person of servile nature, as does that of an educated from that of an uneducated man.",Exclusion from political speech,Exclusion from political speech,"The text establishes a categorical exclusion where 'uneducated' or 'servile' persons are deemed incapable of the 'tact' and 'wit' required for the social intercourse of the elite, effectively barring them from the 'gentlemanly' circle of conversation.",4,This applies to a significant portion of the population who lack formal elite education and leisure.,8,gemini_v18,,,,,
