period	group_cat	resource_meta	has_right
Classical (500–360 BCE)	Artisans	Access to education	0
Classical (500–360 BCE)	Artisans	Access to public honors	0
Classical (500–360 BCE)	Artisans	Access to religious rites	0
Classical (500–360 BCE)	Artisans	Access to the gymnasium	0
Classical (500–360 BCE)	Artisans	Eligibility for public office	0
Classical (500–360 BCE)	Artisans	Exemption from compulsory public financing	0
Classical (500–360 BCE)	Artisans	Exemption from legal audit	0
Classical (500–360 BCE)	Artisans	Exemption from manual labor	0
Classical (500–360 BCE)	Artisans	Exemption from military service	1
Classical (500–360 BCE)	Artisans	Exemption from public service financing	0
Classical (500–360 BCE)	Artisans	Exemption from taxes	0
Classical (500–360 BCE)	Artisans	Political power	0
Classical (500–360 BCE)	Artisans	Protection from arbitrary banishment	0
Classical (500–360 BCE)	Artisans	Protection from capital punishment	0
Classical (500–360 BCE)	Artisans	Protection from corporal punishment	0
Classical (500–360 BCE)	Artisans	Protection from enslavement	0
Classical (500–360 BCE)	Artisans	Protection from legal prosecution	0
Classical (500–360 BCE)	Artisans	Protection from public libel	0
Classical (500–360 BCE)	Artisans	Right to a dowry	0
Classical (500–360 BCE)	Artisans	Right to a legal trial	0
Classical (500–360 BCE)	Artisans	Right to address the assembly	0
Classical (500–360 BCE)	Artisans	Right to adopt	0
Classical (500–360 BCE)	Artisans	Right to bear arms	0
Classical (500–360 BCE)	Artisans	Right to bodily autonomy	0
Classical (500–360 BCE)	Artisans	Right to burial	0
Classical (500–360 BCE)	Artisans	Right to citizenship	0
Classical (500–360 BCE)	Artisans	Right to dispose of property	0
Classical (500–360 BCE)	Artisans	Right to free speech	0
Classical (500–360 BCE)	Artisans	Right to freedom of movement	0
Classical (500–360 BCE)	Artisans	Right to inherit divine covenant	0
Classical (500–360 BCE)	Artisans	Right to inherit property	0
Classical (500–360 BCE)	Artisans	Right to marry	0
Classical (500–360 BCE)	Artisans	Right to military protection	0
Classical (500–360 BCE)	Artisans	Right to own land	0
Classical (500–360 BCE)	Artisans	Right to own property	0
Classical (500–360 BCE)	Artisans	Right to professional judgement	0
Classical (500–360 BCE)	Artisans	Right to remuneration for office	0
Classical (500–360 BCE)	Artisans	Right to reside in the city	0
Classical (500–360 BCE)	Artisans	Right to retain own earnings	0
Classical (500–360 BCE)	Artisans	Right to retain property	0
Classical (500–360 BCE)	Artisans	Right to speak first in assembly	0
Classical (500–360 BCE)	Artisans	Right to valid professional opinion	0
Classical (500–360 BCE)	Artisans	Right to vote in the Ekklesia	0
Classical (500–360 BCE)	Christians	Access to education	0
Classical (500–360 BCE)	Christians	Access to public honors	0
Classical (500–360 BCE)	Christians	Access to religious rites	0
Classical (500–360 BCE)	Christians	Access to the gymnasium	0
Classical (500–360 BCE)	Christians	Eligibility for public office	0
Classical (500–360 BCE)	Christians	Exemption from compulsory public financing	0
Classical (500–360 BCE)	Christians	Exemption from legal audit	0
Classical (500–360 BCE)	Christians	Exemption from manual labor	0
Classical (500–360 BCE)	Christians	Exemption from military service	0
Classical (500–360 BCE)	Christians	Exemption from public service financing	0
Classical (500–360 BCE)	Christians	Exemption from taxes	0
Classical (500–360 BCE)	Christians	Political power	0
Classical (500–360 BCE)	Christians	Protection from arbitrary banishment	0
Classical (500–360 BCE)	Christians	Protection from capital punishment	0
Classical (500–360 BCE)	Christians	Protection from corporal punishment	0
Classical (500–360 BCE)	Christians	Protection from enslavement	0
Classical (500–360 BCE)	Christians	Protection from legal prosecution	0
Classical (500–360 BCE)	Christians	Protection from public libel	0
Classical (500–360 BCE)	Christians	Right to a dowry	0
Classical (500–360 BCE)	Christians	Right to a legal trial	0
Classical (500–360 BCE)	Christians	Right to address the assembly	0
Classical (500–360 BCE)	Christians	Right to adopt	0
Classical (500–360 BCE)	Christians	Right to bear arms	0
Classical (500–360 BCE)	Christians	Right to bodily autonomy	0
Classical (500–360 BCE)	Christians	Right to burial	0
Classical (500–360 BCE)	Christians	Right to citizenship	0
Classical (500–360 BCE)	Christians	Right to dispose of property	0
Classical (500–360 BCE)	Christians	Right to free speech	0
Classical (500–360 BCE)	Christians	Right to freedom of movement	0
Classical (500–360 BCE)	Christians	Right to inherit divine covenant	0
Classical (500–360 BCE)	Christians	Right to inherit property	0
Classical (500–360 BCE)	Christians	Right to marry	0
Classical (500–360 BCE)	Christians	Right to military protection	0
Classical (500–360 BCE)	Christians	Right to own land	0
Classical (500–360 BCE)	Christians	Right to own property	0
Classical (500–360 BCE)	Christians	Right to professional judgement	0
Classical (500–360 BCE)	Christians	Right to remuneration for office	0
Classical (500–360 BCE)	Christians	Right to reside in the city	0
Classical (500–360 BCE)	Christians	Right to retain own earnings	0
Classical (500–360 BCE)	Christians	Right to retain property	0
Classical (500–360 BCE)	Christians	Right to speak first in assembly	0
Classical (500–360 BCE)	Christians	Right to valid professional opinion	0
Classical (500–360 BCE)	Christians	Right to vote in the Ekklesia	0
Classical (500–360 BCE)	Citizens	Access to education	0
Classical (500–360 BCE)	Citizens	Access to public honors	1
Classical (500–360 BCE)	Citizens	Access to religious rites	0
Classical (500–360 BCE)	Citizens	Access to the gymnasium	1
Classical (500–360 BCE)	Citizens	Eligibility for public office	1
Classical (500–360 BCE)	Citizens	Exemption from compulsory public financing	0
Classical (500–360 BCE)	Citizens	Exemption from legal audit	0
Classical (500–360 BCE)	Citizens	Exemption from manual labor	1
Classical (500–360 BCE)	Citizens	Exemption from military service	1
Classical (500–360 BCE)	Citizens	Exemption from public service financing	0
Classical (500–360 BCE)	Citizens	Exemption from taxes	0
Classical (500–360 BCE)	Citizens	Political power	1
Classical (500–360 BCE)	Citizens	Protection from arbitrary banishment	1
Classical (500–360 BCE)	Citizens	Protection from capital punishment	1
Classical (500–360 BCE)	Citizens	Protection from corporal punishment	1
Classical (500–360 BCE)	Citizens	Protection from enslavement	0
Classical (500–360 BCE)	Citizens	Protection from legal prosecution	1
Classical (500–360 BCE)	Citizens	Protection from public libel	1
Classical (500–360 BCE)	Citizens	Right to a dowry	0
Classical (500–360 BCE)	Citizens	Right to a legal trial	1
Classical (500–360 BCE)	Citizens	Right to address the assembly	1
Classical (500–360 BCE)	Citizens	Right to adopt	1
Classical (500–360 BCE)	Citizens	Right to bear arms	0
Classical (500–360 BCE)	Citizens	Right to bodily autonomy	1
Classical (500–360 BCE)	Citizens	Right to burial	0
Classical (500–360 BCE)	Citizens	Right to citizenship	1
Classical (500–360 BCE)	Citizens	Right to dispose of property	1
Classical (500–360 BCE)	Citizens	Right to free speech	1
Classical (500–360 BCE)	Citizens	Right to freedom of movement	0
Classical (500–360 BCE)	Citizens	Right to inherit divine covenant	0
Classical (500–360 BCE)	Citizens	Right to inherit property	1
Classical (500–360 BCE)	Citizens	Right to marry	0
Classical (500–360 BCE)	Citizens	Right to military protection	0
Classical (500–360 BCE)	Citizens	Right to own land	0
Classical (500–360 BCE)	Citizens	Right to own property	0
Classical (500–360 BCE)	Citizens	Right to professional judgement	0
Classical (500–360 BCE)	Citizens	Right to remuneration for office	1
Classical (500–360 BCE)	Citizens	Right to reside in the city	1
Classical (500–360 BCE)	Citizens	Right to retain own earnings	0
Classical (500–360 BCE)	Citizens	Right to retain property	1
Classical (500–360 BCE)	Citizens	Right to speak first in assembly	0
Classical (500–360 BCE)	Citizens	Right to valid professional opinion	0
Classical (500–360 BCE)	Citizens	Right to vote in the Ekklesia	1
