work_name,author,impact_year,polity,criterion_category,criterion_label,in_group,out_group,resource,speaker,verbatim,file_path,extraction_method,matched_keywords,extraction_cost_usd,prompt_tokens,completion_tokens,in_group_std,out_group_std,resource_std
Libation Bearers,Aeschylus,-489,Greek City-States,BIRTH_LINEAGE,Inheritance rights reserved for legitimate heirs,Legitimate heirs,Illegitimate children/Non-heirs,Inheritance and control over family estate,Orestes,"O father, who perished by a death unbefitting a king, grant in answer to my prayer the lordship over your halls! And I too, father, have a like request of you: to escape when I have wrought great destruction on Aegisthus.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0085/tlg006/tlg0085.tlg006.perseus-eng2.txt,"HYBRID_EXTRACTED (25 passages, 8 pages from original 29 pages)","desertion, father, govern",0.157635,8124,477,Legitimate offspring,Illegitimate offspring,Inheritance
Libation Bearers,Aeschylus,-489,Greek City-States,GENDER,Women excluded from decision-making in public affairs,Men,Women,Decision-making power in public affairs,Orestes,"Do not accuse him who suffered while you sat idle at home. It is a grief for women to be deprived of a husband, my child. Yes, but it is the husband's toil that supports them while they sit at home.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0085/tlg006/tlg0085.tlg006.perseus-eng2.txt,"HYBRID_EXTRACTED (25 passages, 8 pages from original 29 pages)","child, deprive, deprived, husband, woman, women",0.157635,8124,477,Men,Women,Political participation
Libation Bearers,Aeschylus,-489,Greek City-States,CITIZENSHIP,Outcasts excluded from inheritance rights,Citizens with full rights,Outcasts/Exiles,Inheritance rights,Electra,"As for me, I am no better than a slave, Orestes is an outcast from his inheritance, while they in their insolence revel openly in the winnings of your toil. But that Orestes may come home with good fortune I pray to you, father: Oh, hearken to me!",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0085/tlg006/tlg0085.tlg006.perseus-eng2.txt,"HYBRID_EXTRACTED (25 passages, 8 pages from original 29 pages)","father, fortune, heir, inherit, inheritance, slave, slavery, slaves",0.157635,8124,477,Citizens,Exiles,Inheritance
Eumenides,Aeschylus,-489,Greek City-States,GENDER,Women excluded from political decision-making,Men,Women,Political authority and governance,Apollo,"And I will show you proof of what I say: a father might exist without a mother. A witness is here at hand, the child of Olympian Zeus, who was not nursed in the darkness of a womb, and she is such a child as no goddess could give birth to.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0085/tlg007/tlg0085.tlg007.perseus-eng2.txt,"HYBRID_EXTRACTED (23 passages, 9 pages from original 28 pages)","birth, child, father, mother, right",0.151935,7894,447,Men,Women,Political participation
Eumenides,Aeschylus,-489,Greek City-States,CITIZENSHIP,Citizens have exclusive access to justice system and legal protection,Citizens,Non-citizens,Legal standing and access to justice system,Athena,"But since this matter has fallen here, I will select judges of homicide bound by oath, and I will establish this tribunal for all time. I establish this tribunal, untouched by greed, worthy of reverence, quick to anger, awake on behalf of those who sleep, a guardian of the land.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0085/tlg007/tlg0085.tlg007.perseus-eng2.txt,"HYBRID_EXTRACTED (23 passages, 9 pages from original 28 pages)","freed, judge, land, master",0.151935,7894,447,Citizens,Non-citizens/Foreigners,Legal standing
Eumenides,Aeschylus,-489,Greek City-States,BIRTH_LINEAGE,Divine or noble parentage grants special consideration,Those of worthy parentage,Those without worthy parentage,Legal authority and decision-making power,Chorus,Then would you turn over the decision of the charge to me? How not?—since we honor you because you are worthy and of worthy parentage.,/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0085/tlg007/tlg0085.tlg007.perseus-eng2.txt,"HYBRID_EXTRACTED (23 passages, 9 pages from original 28 pages)","govern, parentage",0.151935,7894,447,Nobles,Illegitimate offspring,Political participation
On the Embassy,Aeschines,-354,Second Athenian League,CITIZENSHIP,Citizenship required for holding public office and serving as ambassador,Free-born citizens,Those illegally registered as citizens,"Hold public office (auditors, naval commissioners, ambassadors)",Aeschines,"But meanwhile men who were neither free by birth nor of fit character had intruded into our body politic... But now men who have been illegally registered as citizens, constantly attaching to themselves what ever element in the city is corrupt, and following a policy of war after war, in peace ever prophesying danger, and so working on ambitious and over excitable minds, yet when war comes never touching arms themselves, but getting into office as auditors and naval commissioners—men whose mistresses are the mothers of their offspring, and whose slanderous tongues ought to disfranchise them—these men are bringing the state into extreme peril",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0026/tlg002/tlg0026.tlg002.perseus-eng2.txt,"HYBRID_EXTRACTED (25 passages, 8 pages from original 48 pages)","birth, boy, citizen, citizens, citizenship, corrupt, corruption, estate, franchise, free, freed, govern, heir, men, mistress, mother, office, offspring, statute, work",0.175905,7972,751,Free persons,Non-citizens/Foreigners,Political participation
On the Embassy,Aeschines,-354,Second Athenian League,BIRTH_LINEAGE,Pure Athenian lineage required for full citizenship,Those of pure Athenian descent,"Those with foreign ancestry (e.g., Scythian)",Full citizenship rights and enrollment in citizen lists,Aeschines,"for Atrometus our father, whom you slander, though you do not know him and never saw what a man he was in his prime—you, Demosthenes, a descendant through your mother of the nomad Scythians—our father went into exile in the time of the Thirty, and later helped to restore the democracy... But I am amazed if you dare slander Philon, and that, too, in the presence of the most reputable men of Athens, who, having come in here to render their verdict for the best interest of the state, are thinking more about the lives we have lived than what we say. Aeschines insinuates that only by some extraordinary favoritism could Demosthenes, with his strain of Scythian blood, ever have been recognized as an Athenian of pure blood, and so enrolled in the citizen-list when he came to manhood.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0026/tlg002/tlg0026.tlg002.perseus-eng2.txt,"HYBRID_EXTRACTED (25 passages, 8 pages from original 48 pages)","athenian, athenians, blood, citizen, citizens, descent, edict, estate, exile, exiled, father, gender, heir, man, men, mother, squander, statute, wives",0.175905,7972,751,Nobles,Non-citizens/Foreigners,Citizenship
On the Embassy,Aeschines,-354,Second Athenian League,AGE,Age requirement for military service,Citizens up to age 40,Citizens over age 40,Military service obligation,Aeschines,"But when you had passed a decree that the Phocians should hand over these posts to your general Proxenus, and that you should man fifty triremes, and that all citizens up to the age of forty years should take part in the expedition, then instead of surrendering the Posts to Proxenus, the tyrants arrested those ambassadors of their own who had offered to hand over the garrison posts to you",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0026/tlg002/tlg0026.tlg002.perseus-eng2.txt,"HYBRID_EXTRACTED (25 passages, 8 pages from original 48 pages)","age, aged, citizen, citizens, citizenship, decree, govern, heir, man",0.175905,7972,751,Citizens,Elders,Civic obligations
Against Timarchus,Aeschines,-354,Second Athenian League,MORAL_CONDUCT,Prostitution bars citizens from holding political office and speaking in assembly,Citizens who have not prostituted themselves,Citizens who have prostituted themselves,"Political office (archons, priests), legal advocacy, public speaking rights, participation in sacrifices",Aeschines,"If any Athenian shall have prostituted his person, he shall not be permitted to become one of the nine archons, nor to discharge the office of priest, nor to act as an advocate for the state, nor shall he hold any office whatsoever, at home or abroad, whether filled by lot or by election; he shall not be sent as a herald; he shall not take part in debate, nor be present at public sacrifices; when the citizens are wearing garlands, he shall wear none; and he shall not enter within the limits of the place that has been purified for the assembling of the people. If any man who has been convicted of prostitution act contrary to these prohibitions, he shall be put to death.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0026/tlg001/tlg0026.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (25 passages, 8 pages from original 51 pages)","archon, assembly, athenian, athenians, citizen, citizens, citizenship, estate, herald, man, office, old, permit, permitted, priest, priestess, prohibit, prohibited, prostitute, prostitution, resident, senate, statute",0.171315,7856,713,Morally upright,Morally condemned,Political participation
