rule_uid	file_id	perseus_author	perseus_title	period	criteria	rule	group	resource	directionality	verbatim	reasoning	contemporary	factuality	confidence	resource_materiality	materiality_reasoning	resource_generality	generality_reasoning	resource_persistence	persistence_reasoning	group_immutability	immutability_reasoning	rule_contemporarity	contemporarity_reasoning	opinion_vs_fact	opinion_vs_fact_reasoning	tautology	tautology_reasoning
tlg0007.tlg056.perseus-eng2::0	tlg0007.tlg056.perseus-eng2	Plutarch	Comparison of Demosthenes with Cicero	Hellenistic & Early Roman (165 BCE – 105 CE)	['Occupation', 'Nobility']	Magistrate entitlement to local gifts	Roman governors	Right to retain local gifts	MORE	['whereas Cicero was sent out as quaestor to Sicily, and as pro-consul to Cilicia and Cappadocia, at a time when the love of wealth was at its greatest height, and when those who were sent out as praetors and governors, feeling that theft was an ignoble thing, resorted to open plundering, so that the taking of property was not thought heinous, but he who did this in moderation was held in high esteem']	Plutarch describes a prevailing social norm in the late Roman Republic where provincial governors were effectively expected and allowed to take property and gifts from local populations, provided it was done with a semblance of moderation, contrasting this with Cicero's exceptional refusal.	0	1	9.0	5	Retention of local gifts and property is a direct tangible wealth entitlement.	4	Covers a broad category of economic enrichment available to provincial administrators.	4	Gifts and wealth acquired during a term of office are typically retained for life.	3	Roman governorship is an elite political role reachable via a specific career path.	1	The text describes the era of Cicero, roughly 150 years before Plutarch wrote.	4	Plutarch reports a widespread social norm ('held in high esteem') as a historical fact.	0	Being a governor does not inherently mean one is entitled to local gifts; it is a normative practice.
tlg0007.tlg056.perseus-eng2::1	tlg0007.tlg056.perseus-eng2	Plutarch	Comparison of Demosthenes with Cicero	Hellenistic & Early Roman (165 BCE – 105 CE)	['Age']	Minimum age for Roman consulship	Minors	Eligibility for the consulship	LESS	['Cicero, on the contrary, was reproached in the senate by Laelius for sitting silent when Caesar asked leave to stand for the consulship, which was contrary to law, since he was still a beardless youth.']	The text explicitly mentions a law (lex annalis) that barred individuals deemed too young ('beardless youth') from standing for the consulship, citing Octavian's request as a violation of that existing legal rule.	0	1	10.0	4	Eligibility for the consulship is a major legal right with significant material/political power.	3	Specific to a single high office, though the pinnacle of the Roman system.	3	Eligibility is bounded to a specific life stage (age) and a specific term of office.	5	Age ('beardless youth') is a biologically fixed status at a given moment.	1	Refers to the Lex Annalis in force during the late Republic.	5	The verbatim cites the law as a factual barrier to Octavian's request.	0	A minor's definition does not implicitly exclude them from high office without specific laws.
tlg0007.tlg059.perseus-eng2::0	tlg0007.tlg059.perseus-eng2	Plutarch	Comparison of Demetrius and Antony	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship']	Roman prohibition on polygamy	Romans	Right to marry multiple wives	LESS	['Antony, on the contrary, in marrying two wives at once, in the first place did what no Roman had ever dared to do; and in the second place, he drove away his Roman and lawfully wedded wife, in order to gratify the foreigner, with whom he was living contrary to law.']	Plutarch contrasts Macedonian royal custom with Roman law/custom, explicitly stating that no Roman had ever dared to marry two wives at once and that Antony's conduct was 'contrary to law', highlighting a group-specific restriction for Romans.	0	1	10.0	4	Marital rights involve legal standing, inheritance, and social status directly impacting material life.	5	Marriage is a foundational societal axis governing family and property.	4	Polygamy affects the long-term structure of a household and lineage.	4	Roman citizenship was a structural birth-status, very hard to change.	1	Describes Roman norms from several centuries before Plutarch's time.	5	Plutarch states the prohibition on polygamy as a clear legal and historical absolute.	0	Being Roman does not logically entail monogamy; it is a specific cultural/legal restriction.
tlg0007.tlg059.perseus-eng2::1	tlg0007.tlg059.perseus-eng2	Plutarch	Comparison of Demetrius and Antony	Hellenistic & Early Roman (165 BCE – 105 CE)	['Nobility']	Macedonian royal polygamy custom	Macedonian kings	Right to marry multiple wives	MORE	['Further, Demetrius, in making several marriages, did not do what was prohibited, but what had been made customary for the kings of Macedonia by Philip and Alexander; he did just what Lysimachus and Ptolemy did, and held all his wives in honour.']	The text establishes that for the specific group of Macedonian kings, taking multiple wives was a recognized and 'customary' right, unlike for other groups (implicitly Romans, as contrasted in the next sentence).	0	1	10.0	4	Right to several marriages impacts property, succession, and elite household resources.	5	Polygamy is a major structural feature of kinship and inheritance.	5	Marital status and the resulting lineage are lifelong and generational.	4	Macedonian kingship is a hereditary nobility/birth-status.	1	Describes customs of the Successor kingdoms (4th-3rd c. BCE).	5	Cited as a customary fact with historical precedents (Philip and Alexander).	0	Kingship does not inherently imply polygamy, which is a culturally specific entitlement.
tlg0007.tlg063.perseus-eng2::0	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship', 'Nobility', 'Lineage']	Noble access to magistracies	Aristocrats	Eligibility for the chief magistracy	MORE	['The city of Sicyon, as soon as it had fallen away from its pure Doric form of aristocracy (which was now like a harmony dissolved)... Timocleides and Cleinias were chosen chief magistrates, men of the highest repute and influence among the citizens.']	The text describes the traditional Doric aristocratic system of Sicyon where men of high repute and noble lineage (like Cleinias) were the ones selected for the highest magisterial offices before the period of tyrants.	0	1	9.0	4	Chief magistracy provides direct legal authority and control over city resources.	3	Focuses on the specific role of 'chief magistrate'.	3	Magistracies were typically term-limited roles within a life stage.	4	Aristocracy/nobility in this context is based on hereditary lineage.	1	Refers to the historical constitution of Doric Sicyon.	4	Describes the traditional system as a recognized (though past) historical fact.	0	Nobility does not automatically guarantee magisterial power by definition.
tlg0007.tlg063.perseus-eng2::1	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Freedom']	Slave participation in private militias	Slaves	Right to bear arms	MORE	['As for men, each of the friends of Aratus in Argos furnished him with ten out of the few they had, and he himself equipped thirty of his own servants with arms.']	In the context of private political enterprise and 'robbery forays' described as common at the time, domestic slaves (servants) were equipped with arms by their masters to serve as a private military force.	1	1	8.0	5	Possession of arms is a tangible physical resource involving bodily survival and force.	3	Covers the specific right to be armed for private military purposes.	2	Equipping for a specific 'foray' is an episodic/procedural use of the resource.	4	Slavery is a legal birth-status or condition difficult to leave.	1	Refers to the Hellenistic period (Aratus' life).	5	Reported as a factual observation of Aratus' actions.	0	Slavery usually entails a lack of arms; the rule describes a specific empowerment.
tlg0007.tlg063.perseus-eng2::2	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Gender']	Female provision of banquet music	Women	Right to provide professional musical services	MORE	['and another talking with the women that regularly furnished music of harp and flute at banquets.']	The text mentions a specific class of women whose regular social/economic role was to provide musical entertainment (harp and flute) at banquets, a recognized occupation in Sicyonian/Argive society.	1	1	9.0	3	Musical service is a professional role with economic payoff from fees/wages.	2	Narrowly scoped to a specific professional setting (banquets).	4	Regularly furnishing music implies a stable, long-term occupation.	5	Gender is a biologically fixed/immutable status.	1	Descriptions of Sicyonian social life in the 3rd century BCE.	5	Stated as a standard social observation using the term 'regularly'.	0	Being a woman does not define one as a banquet musician.
tlg0007.tlg063.perseus-eng2::3	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship']	Citizen assembly voting	Citizens	Right to vote in the assembly	MORE	['Day was now breaking, and the theatre was thronged with people... until the herald came forward and made proclamation that Aratus the son of Cleinias invited the citizens to secure their freedom.']	The restoration of 'freedom' after the tyranny is contextually represented by the herald summoning the 'citizens' to the theatre (the standard meeting place for the assembly) to resume their political rights.	1	1	8.0	4	Voting in the assembly has direct material effects on laws and property.	5	Political participation is a foundational societal axis.	5	Citizen rights are typically lifelong once adulthood is reached.	4	Citizenship is a structural status hard to change.	1	Historical event during the liberation of Sicyon.	4	Description of a herald's proclamation and the crowd's assembly as facts.	0	Citizenship definition often includes voting, but 'freedom' here is the restored right.
tlg0007.tlg063.perseus-eng2::4	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship']	Exile property restitution claims	Foreigners	Right to retain property	LESS	['Aratus restored eighty exiles who had been banished by Nicocles, and those also who had fled the city during the reign of former tyrants, to the number of five hundred. These had long been wanderers, yes, for close to fifty years. And now that they had come back, most of them in poverty, they laid claim to the property which they had formerly held, and by going to their farms and houses threw Aratus into great perplexity.']	The text describes a legal and social conflict where returning citizens (former exiles) claim land currently held by others (the 'possessors'). This indicates that those who had acquired the property during the exile's absence lacked secure, permanent rights to retain it once the original citizen-owner was restored.	0	1	9.0	5	Right to property/farms is a tangible wealth and subsistence entitlement.	5	Property ownership is a foundational societal right.	5	Property claims cover lifelong assets and inheritance.	3	Exile is a legally induced state that can be remedied (restored).	1	Historical account of the return of exiles to Sicyon.	5	Explicitly details legal claims and physical conflicts over possessions.	0	Being a 'foreigner' (exile) does not inherently imply lack of property rights in all systems.
tlg0007.tlg063.perseus-eng2::5	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship']	Macedonian garrison control of Greece	Greeks	Political power	LESS	['For the Isthmus of Corinth, forming a barrier between the seas, brings together the two regions, and thus unites our continent; and when Acrocorinthus, which is a lofty hill springing up at this centre of Greece, is held by a garrison, it hinders and cuts off all the country south of the Isthmus from intercourse, transits, and the carrying on of military expeditions by land and sea, and makes him who controls the place with a garrison sole lord of Greece.']	The passage describes a systemic geopolitical rule where the presence of a foreign garrison at Acrocorinthus strips the Greek city-states of their autonomy and ability to conduct independent military or commercial policy south of the Isthmus.	0	1	10.0	5	Control of garrison/territory involves military power over physical transit and trade.	5	Political autonomy and militaire sovereignty comprise a broad class of outcomes.	5	Garrison control is a structural, long-term geopolitical status.	4	Being 'Greeks' vs. 'Macedonians' is a structural ethnographic status.	1	Describes the geopolitical reality of the Hellenistic age.	5	Stated as a geopolitical rule of thumb regarding the 'shackles of Greece'.	0	Being Greek does not logically necessitate being occupied by a garrison.
