rule_uid	file_id	rule_name	rule_category	group	resource	resource_category	directionality	proof	reasoning	specificity	specificity_reasoning	confidence	criteria	is_contemporary	verbatim_type	sampled_for	valid	comment	factuality
tlg0006.tlg018.perseus-eng2#24	tlg0006.tlg018.perseus-eng2	Paternal marital consent	Marriage restriction	Maidens	Right to choose spouse	Marriage and family	LESS	[§20] Zeus betrothed her, and her guardian gave consent. | [§20] it is not for girls to know such things. | [§20] As for him, to whom you have betrothed our daughter, I know his name, it is true, but want to learn his lineage and the land of his birth.	The text demonstrates that the power to betroth a daughter resides entirely with the 'guardian' (the father). Iphigenia is excluded from the knowledge of her own marriage arrangements, and Clytemnestra confirms that Agamemnon is the one who 'betrothed' her.	4	The rule applies specifically to daughters under the guardianship of their fathers.	10	Age|Gender	1	fact	Age			1
tlg0627.tlg006.perseus-eng4#49	tlg0627.tlg006.perseus-eng4	Age-based medical vulnerability protection	Protection from bodily harm	Elders	Protection from complications of minor injury	Body integrity	LESS	[§63] Many were attacked by the erysipelas all over the body when the exciting cause was a trivial accident or a very small wound; especially when the patients were about sixty years old and the wound was in the head, however little the neglect might have been.	The text identifies a specific age group (sixty years old) that suffers disproportionate physical harm (erysipelas, bone loss) from trivial injuries, indicating a lack of the natural resilience or medical safety enjoyed by younger adults in this environment.	4	The rule targets a specific age bracket (60+) within the broader population of the sick.	9	Age	1	fact	Age			3
tlg0627.tlg010.perseus-eng2#3	tlg0627.tlg010.perseus-eng2	Child labor in medicine	Obligation of public duty	Children	Protection from use as medical counterweights	Body integrity	LESS	[§4] But if the patient be very light, a light child should be suspended behind along with him.	The text describes a medical practice where children are used as physical ballast/counterweights during the reduction of a shoulder. This indicates that children lack the resource of protection from being used as mechanical tools in a medical procedure.	6	This applies specifically to 'light' children in medical settings where a light patient is being treated.	9	Age	1	fact	Age			3
tlg0010.tlg019.perseus-eng2#51	tlg0010.tlg019.perseus-eng2	Wealthy youth educational encouragement	Access to elite education	Wealthy young men	Social authorization to pursue philosophy and higher education	Economic privileges	MORE	[§304] If, however, you are wise, you will put an end to this confusion, and you will not continue, as now, to take either a hostile or a contemptuous view of philosophy; on the contrary, you will conceive that the cultivation of the mind is the noblest and worthiest of pursuits and you will urge our young men who have sufficient means and who are able to take the time for it to embrace an education and a training of this sort.	Isocrates describes a social rule where the pursuit of higher education (philosophy) is specifically directed toward and authorized for those with 'sufficient means' and leisure time, identifying wealth as a prerequisite for this resource.	3	This applies to a broad demographic (the wealthy youth) within the citizen body.	8	Wealth / Properties|Age|Gender	1	fact	Age			3
tlg0061.tlg003.perseus-eng1#1	tlg0061.tlg003.perseus-eng1	Paternal control of youth	Restriction of personal freedom	Youths	Freedom of conduct	Freedom	LESS	[§12] Then again, at Athens even those who were subject to paternal control had countless temptations to indulgence, youth is the susceptible time, a neglected ward could have lived as irregular a life as he chose	The text mentions that young men at Athens were 'subject to paternal control,' a legal/social status that restricted their autonomy unless they were 'neglected wards.'	3	This applies to all male citizens of a certain age range who have living fathers.	9	Age	1	fact	Age			3
tlg0026.tlg001.perseus-eng2#22	tlg0026.tlg001.perseus-eng2	Bribery capital punishment	Protection from bodily harm	Citizens	Protection from execution	Body integrity	LESS	[§87] it would have been absolutely necessary for the one man to testify that he gave a bribe, the other, that he took a bribe, though the law threatens each of them with death precisely as in this case if anyone hires an Athenian for a disgraceful purpose, and again if any Athenian voluntarily hires himself out to the shame of his body.	The author explicitly mentions that Athenian law mandates the death penalty for both the giver and taker of bribes, as well as for those involved in the hiring of an Athenian for prostitution.	4	While any citizen could theoretically be targeted, it specifically concerns those participating in the assembly or courts.	9	Citizenship	1	fact	Citizenship			4
tlg0019.tlg003.perseus-eng2#8	tlg0019.tlg003.perseus-eng2	Bacchic festival participation	Access to public resources	Citizens	Right to participate in state-sponsored musical and theatrical festivals	Religious access	MORE	[§8] Chorus. ...and with the approach of spring the Bacchic festivity, and the rousings of melodious choruses, and the loud-sounding music of flutes.	The Chorus identifies the seasonal Bacchic festivals and musical choruses as a standard, institutionalized feature of the land of Pallas (Athens), implying a communal right to participate in these sacred/civic events.	2	These festivals were central public events involving a large portion of the Athenian citizen body and their families.	9	Citizenship	1	fact	Citizenship			3
tlg0557.tlg002.perseus-eng4#3	tlg0557.tlg002.perseus-eng4	Roman citizenship acquisition	Citizenship access	Non-citizens	Right to obtain Roman citizenship	Citizenship	LESS	[§24] My friends will be unassisted. What do you mean by unassisted? They will not have money from you; nor will you make them Roman citizens. Who told you, then, that these are among the things within our own power, and not rather the affairs of others?	The text identifies Roman citizenship as a material resource that is difficult to obtain and 'beyond our power,' implying that it is restricted and requires External intervention or specific legal mechanisms to confer.	2	Citizenship rules affect all non-citizens within the Roman Empire.	10	Citizenship	1	fact	Citizenship			3
tlg0030.tlg004.perseus-eng2#1	tlg0030.tlg004.perseus-eng2	Impeachment restricted to orators	Legal procedure protection	Ordinary citizens	Protection from impeachment (eisangelia) for general speech	Legal standing	MORE	[§4] It is certainly wrong to maintain, as Polyeuctus did in his speech for the prosecution, that defendants should not insist on the impeachment law; which lays it down that impeachments shall be reserved for the orators themselves, when they speak against the interests of the people, but shall not apply to every Athenian.	Hyperides cites the impeachment law to argue that the specific high-stakes legal process of 'eisangelia' is legally reserved for professional orators/politicians, shielding private citizens from its application for their advice or speech.	2	This rule distinguishes between the entire body of private citizens and a small group of professional politicians.	10	Citizenship	1	fact	Citizenship			4
tlg0031.tlg005.perseus-eng2#48	tlg0031.tlg005.perseus-eng2	Roman trial requirement	Access to judicial protection	Roman citizens	Right to a public trial	Legal standing	MORE	[§611] But Paul said to them, 'They have beaten us publicly, without a trial, men who are Romans, and have cast us into prison!'	Paul explicitly invokes his status as a 'Roman' to challenge the legality of his treatment, citing the lack of a trial as a violation of his specific rights as a citizen.	2	Citizenship was a broad but distinct category within the Roman world with codified legal protections.	10	Citizenship	1	fact	Citizenship			3
